	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_37	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTpositive_cell_33	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
2010305A19Rik	195.6	0.08	70.08	137.03	55.82	64.57	0.0	0.0	0.19	0.0	170.74	0.0	0.0	0.0	15.33	1.84	28.18	12.11	0.0	30.43	0.0	1.03	0.0	0.06	38.43	102.34	55.07	77.51	0.0	44.28	31.29	24.78	28.42	17.2	20.56	22.07
2700090O03Rik	270.43	0.0	0.0	348.72	152.69	0.0	0.0	160.34	0.0	67.85	113.51	0.0	153.65	0.0	0.0	15.81	67.4	0.0	17.37	0.53	115.96	178.57	0.0	63.83	122.46	0.0	63.95	0.0	0.0	115.62	151.52	162.8	50.17	67.46	85.26	74.52
5330426P16Rik	0.0	0.0	0.0	0.24	0.23	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.14	0.0	0.0	5.68	0.0	0.0	7.05	8.31	4.79	3.68
6720456B07Rik	618.01	1074.21	657.08	908.47	790.65	879.97	859.79	452.52	671.35	491.62	753.07	218.47	718.37	970.58	336.13	407.24	1135.11	1145.48	1040.77	1135.51	1189.0	1101.79	802.68	461.63	981.33	350.87	1066.49	876.58	925.62	1132.88	1039.89	1132.67	1174.91	988.19	1261.24	1153.21
AI450353	1.28	23.79	0.33	77.33	109.05	0.67	0.44	0.0	0.67	0.0	0.69	138.98	0.81	0.58	75.44	0.13	98.61	0.29	2.17	0.0	77.9	0.68	0.66	0.25	118.92	110.99	0.57	0.0	0.0	21.07	46.4	46.82	20.72	72.19	61.21	37.58
Acin1	52.45	0.34	10.3	80.27	72.81	0.29	0.83	0.89	1.75	17.96	4.49	12.75	27.91	0.0	16.3	0.0	0.54	1.82	9.11	10.44	10.81	16.67	40.23	8.38	1.03	9.58	6.72	15.39	0.0	6.64	18.38	16.16	14.24	11.74	9.67	9.79
Acsl1	0.0	0.1	0.0	51.58	81.01	0.0	0.0	0.0	0.0	72.29	20.87	0.0	71.2	23.51	0.1	0.0	0.0	0.0	73.01	3.83	2.11	0.0	0.0	0.05	0.03	0.0	0.0	10.04	151.39	25.5	9.3	22.69	21.6	8.99	14.59	20.66
Akap17b	0.0	0.02	0.47	129.0	0.0	0.0	2.21	0.0	0.0	0.0	21.9	0.0	0.0	0.0	0.02	0.0	0.0	0.0	3.78	0.05	0.64	0.27	0.0	0.06	26.43	20.57	14.73	0.0	0.0	3.95	4.7	0.91	3.33	3.78	3.7	3.85
Ankar	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.12	0.05	0.21	0.0	0.22	0.08
Atm	0.0	0.04	0.0	32.44	0.88	22.94	0.0	0.04	0.53	0.08	0.02	0.06	0.96	0.0	8.6	3.93	8.76	0.03	0.22	0.01	0.03	0.0	0.33	5.66	0.66	0.02	8.04	1.32	0.0	3.65	7.51	0.89	3.96	1.84	2.47	1.54
Bbip1	80.73	58.15	337.01	438.78	245.46	4.2	109.36	64.43	5.08	5.9	21.43	9.76	51.89	121.81	16.33	159.33	117.81	72.69	92.58	2.35	218.71	5.47	6.19	26.27	69.51	159.18	26.66	77.27	0.3	95.38	161.26	117.21	82.7	112.9	98.51	107.51
Bbs9	311.75	0.21	0.0	15.28	2.34	0.0	0.0	0.47	0.0	0.06	1.87	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	37.81	18.06	11.02	0.0	5.77	0.03	0.0	0.29	0.0	0.0	14.26	40.06	25.59	13.5	15.78	18.24	16.83
Bcl2l1	0.0	77.81	119.82	184.27	142.03	0.0	4.42	80.72	5.56	0.0	68.53	0.0	55.89	0.0	134.69	0.05	73.32	0.14	343.9	59.15	161.25	94.43	105.86	0.0	25.68	0.05	82.51	71.36	0.0	73.5	133.06	138.51	111.48	99.74	82.13	101.39
Bud31	274.44	131.1	10.62	482.86	0.0	0.0	86.71	44.99	0.0	186.08	115.28	0.0	656.28	429.96	56.02	114.16	178.57	231.96	100.06	23.99	203.96	10.85	0.0	162.7	0.16	89.13	70.39	0.0	271.14	139.91	178.59	142.96	171.46	154.86	177.69	150.92
C130022K22Rik	0.44	0.18	140.55	255.21	100.49	0.0	0.0	59.03	0.0	0.11	0.19	0.0	62.42	14.25	2.05	0.0	0.0	0.0	115.46	0.0	2.65	0.0	0.0	76.61	0.06	0.06	0.7	5.52	78.26	20.91	32.9	20.34	35.4	47.79	44.4	45.81
Chic1	58.06	1.84	1.16	140.7	67.93	0.82	1.42	0.38	27.38	51.12	0.84	43.41	90.94	39.18	2.14	0.32	29.59	0.27	26.71	14.12	26.08	61.12	1.68	1.69	14.34	10.73	4.73	0.45	85.38	23.39	17.59	17.45	6.14	31.53	16.77	17.34
Chst10	0.0	0.03	123.14	198.37	0.0	49.47	0.0	0.0	140.06	0.0	87.21	0.0	0.25	0.0	2.04	0.0	0.0	0.21	0.13	0.0	23.1	17.58	0.0	106.05	1.97	26.56	0.0	0.0	0.0	18.41	13.58	9.34	20.79	11.35	15.3	11.77
Coasy	0.0	0.0	0.0	137.01	159.16	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	47.97	0.0	0.0	0.0	0.0	0.15	0.04	9.74	92.1	0.0	0.0	6.31	8.32	13.28	7.4	4.39	8.1	9.64
Commd3	457.11	355.94	293.2	683.83	388.88	217.0	245.68	0.0	236.4	245.96	493.71	288.32	0.0	306.96	179.84	547.73	659.89	902.29	429.82	429.72	782.92	371.52	719.49	533.07	635.71	224.52	274.34	114.43	354.76	466.66	423.78	514.4	666.2	409.12	348.56	397.87
Crim1	1.05	0.05	0.0	0.34	10.77	0.0	0.0	0.02	0.09	0.1	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.09	27.61	5.49	0.56	0.16	7.07	0.02	0.02	11.0	0.29	0.0	4.0	6.24	0.37	1.64	1.33	1.04	1.2
Dcaf4	0.0	0.05	1.64	205.11	194.27	0.0	0.0	0.0	255.62	0.09	52.97	0.0	0.98	0.21	0.05	0.0	0.0	274.73	3.03	0.0	72.39	24.18	0.0	0.36	0.0	0.0	0.94	0.0	0.0	32.23	43.5	33.97	33.39	31.84	33.57	29.54
Def8	0.0	0.0	0.0	128.22	19.62	0.0	0.12	0.0	0.0	1.04	11.06	0.0	4.98	0.0	1.44	0.0	0.42	0.0	20.8	0.0	1.29	7.44	0.0	0.02	103.22	0.03	0.0	0.0	0.0	20.24	16.39	7.97	13.77	13.09	16.85	15.38
Dhodh	40.81	0.18	0.0	292.88	10.03	0.3	0.0	0.0	0.0	0.0	177.55	196.14	0.0	92.49	0.13	99.62	0.13	0.02	0.0	0.0	54.62	0.55	0.0	0.12	90.37	199.97	74.03	111.4	0.0	10.78	13.3	8.66	25.51	19.38	21.61	13.23
Dock7	0.0	0.63	0.0	55.86	32.47	0.19	0.0	0.0	0.0	2.45	0.21	0.41	7.48	16.42	0.63	0.14	1.09	0.0	3.46	0.04	18.62	27.57	0.0	10.02	0.79	0.44	28.1	6.71	0.22	0.17	0.72	1.8	2.55	6.31	3.95	5.11
Ep300	0.0	0.02	0.0	13.87	0.0	0.0	0.0	0.04	0.0	0.02	0.87	0.0	0.0	3.46	5.86	0.0	0.04	0.0	3.67	0.03	0.03	2.1	14.73	64.04	0.0	0.0	0.03	2.45	0.0	2.43	1.52	1.79	0.76	2.52	2.95	1.64
Exosc2	49.98	357.89	95.72	311.81	228.3	56.45	79.84	22.34	156.33	43.1	221.79	49.73	175.59	58.36	143.36	19.39	54.02	24.16	28.68	39.36	35.47	33.11	44.34	50.01	88.48	21.19	33.88	21.88	12.05	82.48	88.7	74.62	134.68	113.92	105.85	128.36
Faf1	0.53	0.18	0.0	9.43	21.78	0.0	0.0	0.0	0.0	3.33	0.0	0.0	2.75	0.0	0.0	0.0	0.0	6.19	0.0	0.45	0.0	30.12	0.0	0.0	0.0	0.0	0.71	0.26	0.0	6.45	4.69	0.61	3.36	9.08	10.81	6.53
Fam190a	0.0	0.05	0.08	8.81	0.0	0.0	0.0	0.06	0.1	0.1	0.0	0.13	47.34	0.0	0.0	0.0	8.92	0.06	0.07	0.0	2.83	0.52	1.33	34.06	0.0	10.26	0.0	0.0	0.0	3.34	3.61	3.22	0.8	4.95	6.08	5.46
Fhad1	0.72	0.0	0.05	33.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	21.97	0.09	0.0	25.36	0.39	0.0	0.0	0.02	0.37	0.0	0.0	0.0	2.93	4.81	15.9	7.45	9.65	6.97	9.05
Fis1	311.87	495.9	141.02	765.56	613.83	521.64	222.92	303.65	409.95	536.42	376.53	0.0	494.35	807.24	853.18	460.83	359.55	136.03	321.88	517.25	545.92	355.64	430.16	462.68	972.71	566.97	639.93	675.18	785.19	582.99	567.51	444.29	553.33	514.29	570.4	563.05
Gart	0.0	68.54	0.0	83.63	88.86	0.0	0.0	0.0	0.0	0.0	28.93	0.0	0.12	0.13	0.03	0.0	0.77	60.37	0.0	0.0	6.99	56.86	21.85	0.08	0.0	0.03	0.22	124.39	0.0	12.3	12.11	16.78	11.54	17.69	7.73	14.14
Gm13139	0.0	0.0	0.11	32.67	32.25	0.0	0.0	0.23	0.48	1.85	0.0	0.0	0.0	0.62	0.0	0.0	0.0	18.91	0.0	5.02	0.0	27.77	0.0	1.66	0.0	0.0	0.0	0.0	0.0	14.41	1.89	9.18	8.07	9.64	15.59	15.23
Gm13315	0.0	0.05	0.0	18.42	0.0	0.35	0.0	0.5	0.0	0.0	0.09	0.0	0.0	10.97	0.21	0.07	0.49	0.0	0.0	9.09	0.0	0.81	0.0	0.09	0.05	0.19	7.27	0.0	0.14	1.02	1.66	0.36	1.21	0.15	0.0	0.35
Gm19710	0.0	0.0	0.0	12.66	8.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	0.0	0.0	0.0	0.97	3.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	1.34	2.33	0.5	4.63	0.58
Gpr137	0.55	0.0	0.0	133.76	0.0	0.0	0.0	0.0	0.0	3.62	0.83	20.47	0.0	0.3	0.22	0.28	0.0	0.0	125.86	0.0	31.37	56.49	49.3	0.13	0.69	0.08	0.16	177.12	0.0	24.6	7.09	20.69	5.41	12.59	12.15	14.5
Gtpbp8	0.0	0.09	0.0	138.52	93.28	75.44	0.0	0.0	0.0	4.18	11.58	0.0	27.43	0.0	5.32	0.0	46.47	0.0	0.0	0.0	50.15	0.0	67.71	0.0	2.47	0.0	27.76	0.0	0.0	18.55	15.33	5.31	13.33	26.56	10.0	9.27
Gucy1b3	60.36	12.52	15.25	442.26	286.75	21.73	246.73	27.71	76.6	170.44	520.44	413.56	381.69	160.44	181.58	239.99	0.0	93.17	193.66	91.62	369.39	166.73	8.72	695.5	69.92	48.1	301.19	141.79	83.49	121.27	103.23	84.2	86.56	99.22	118.79	94.53
Hdac11	2.15	2.52	0.09	34.5	174.99	0.27	1.72	0.0	0.22	113.58	48.69	0.0	49.64	0.17	0.04	0.0	0.13	0.0	0.0	0.81	11.81	10.7	0.0	139.1	1.04	0.05	97.26	0.0	0.0	37.0	34.12	39.47	14.61	21.58	23.23	21.91
Hjurp	0.0	0.0	0.0	3.17	7.4	0.0	0.0	0.0	0.0	0.25	0.07	0.0	0.13	0.0	0.14	0.0	0.71	0.0	0.0	5.8	0.07	2.2	0.0	0.0	0.02	0.0	0.53	0.0	0.0	0.15	0.27	0.71	0.72	0.42	0.33	0.47
