	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTnegative_cell_14	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39
1700047I17Rik2	17.93	0.68	4.16	26.14	12.09	17.95	4.51	4.87	12.26	2.82	1.38	30.82	5.09	15.98	16.78	14.56	23.68	2.67	2.02	1.41	2.13	11.25	13.41	30.11	43.09	1.8	1.3	56.74	0.96	8.04	2.23	22.38	32.53	5.94	6.07
2210420H20Rik	0.37	0.4	0.0	1.81	0.0	0.5	0.0	1.33	0.0	0.58	1.4	0.0	0.0	0.0	1.66	0.0	4.83	0.28	0.0	0.0	3.23	0.34	0.0	1.84	0.0	0.78	1.19	0.76	0.0	0.42	1.39	3.71	0.0	1.15	0.42
2810021J22Rik	0.0	0.0	0.0	134.75	0.08	0.0	0.16	68.53	0.0	0.22	0.25	4.32	0.11	0.52	2.01	1.56	0.84	0.04	0.0	0.0	1.49	2.19	2.11	0.11	0.0	0.06	0.19	0.18	0.12	0.05	0.0	0.49	0.51	0.07	0.05
5730494M16Rik	116.63	30.0	8.24	49.85	20.63	157.35	41.6	7.41	0.97	92.83	35.75	73.57	16.02	138.52	65.03	45.81	150.67	10.76	0.0	123.83	79.69	53.67	79.25	9.45	136.29	1.01	3.49	65.12	20.53	3.29	5.52	67.64	102.13	122.3	28.16
9430016H08Rik	0.0	0.0	0.0	95.75	0.29	0.0	0.0	0.0	0.0	23.83	0.0	0.0	0.0	0.0	28.59	0.44	0.0	0.51	0.0	0.0	0.0	56.87	49.57	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	115.35	57.05	0.0	0.0
Akr1e1	145.87	132.52	0.0	0.0	0.0	0.0	96.02	83.81	82.1	186.59	0.0	18.92	12.91	210.93	103.16	0.0	18.49	0.48	0.0	209.67	0.0	84.17	106.95	0.0	0.0	127.94	0.14	105.21	88.48	0.0	0.0	289.88	73.21	143.69	1.44
Alad	29.59	81.57	0.0	118.97	0.0	105.08	0.0	87.38	2.24	98.14	326.31	213.04	66.58	52.54	18.43	12.46	66.97	0.0	0.0	218.41	0.0	22.47	32.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.77	67.05	0.0	0.0
Alox8	7.58	4.33	10.38	13.93	7.11	10.21	9.5	6.93	6.74	8.28	10.1	8.99	5.88	11.6	13.57	18.32	18.67	6.74	5.64	14.17	14.54	10.98	9.21	20.51	6.25	7.72	5.43	11.32	7.54	4.35	3.98	13.85	13.45	18.67	10.71
Amy2a2	0.27	0.15	0.0	0.57	0.08	0.44	0.54	0.11	0.18	0.18	0.08	0.07	0.08	0.34	0.25	0.35	0.11	0.0	0.0	0.2	0.15	0.27	0.24	1.42	0.03	0.14	0.05	0.05	0.1	0.08	0.63	0.14	0.08	0.4	0.5
Amy2a3	0.27	0.15	0.0	0.57	0.08	0.44	0.54	0.11	0.18	0.18	0.08	0.07	0.08	0.34	0.25	0.35	0.11	0.0	0.0	0.2	0.15	0.27	0.24	1.42	0.03	0.14	0.05	0.05	0.1	0.08	0.63	0.14	0.08	0.4	0.5
Amy2a4	0.27	0.15	0.0	0.57	0.08	0.44	0.54	0.11	0.18	0.18	0.08	0.07	0.08	0.34	0.25	0.35	0.11	0.0	0.0	0.2	0.15	0.27	0.24	1.42	0.03	0.14	0.05	0.05	0.1	0.08	0.63	0.14	0.08	0.4	0.5
Atg12	135.71	62.59	0.0	135.0	18.83	77.52	95.16	80.21	0.0	38.3	3.78	5.51	0.32	66.32	58.93	34.91	142.68	196.35	0.0	150.63	70.44	74.87	90.46	215.94	96.63	0.0	39.95	0.18	9.41	26.36	0.0	198.01	49.29	197.48	90.03
Braf	19.95	32.67	106.93	373.43	348.77	164.49	119.22	200.49	75.2	9.44	17.62	31.94	69.31	88.73	120.09	93.03	175.21	63.35	0.0	242.5	133.89	43.04	339.38	230.99	83.27	21.55	10.39	37.55	24.62	13.03	110.82	139.09	136.54	231.37	134.06
C030034L19Rik	0.5	0.3	0.24	3.37	2.65	0.77	0.6	0.13	0.8	0.14	0.0	0.35	1.51	0.97	2.24	2.45	1.52	0.9	0.0	2.48	0.89	0.43	0.46	4.94	0.0	0.26	0.23	0.28	0.1	0.08	0.14	1.4	1.59	0.35	1.65
Calm2	20249.89	18003.48	15155.27	17062.36	20813.5	20740.74	19081.81	18662.45	24749.41	19971.06	20654.99	19749.13	19103.2	16381.97	18187.15	18504.84	19736.86	18784.2	2751.38	20660.56	19581.9	18644.66	18004.95	19423.54	22860.58	23322.9	18237.98	25106.81	19256.69	21777.08	23557.63	18864.48	19735.95	19141.42	19191.1
Cdk17	121.75	44.47	15.39	121.23	37.14	164.98	149.96	2.51	52.71	21.76	115.66	35.53	33.14	156.83	62.54	64.93	101.2	0.4	0.0	11.76	7.59	46.01	56.85	99.08	0.7	5.87	0.07	9.18	0.25	36.9	0.0	85.02	87.51	5.19	29.17
Colec12	18.84	9.18	16.49	39.06	18.71	20.82	22.14	13.23	13.11	11.81	9.98	18.56	30.03	18.37	25.94	37.49	33.32	17.13	16.56	29.71	24.7	19.87	20.1	53.26	16.1	20.7	13.63	14.03	11.92	18.18	15.93	34.5	36.01	54.76	41.37
Cpped1	68.64	0.0	0.0	5.53	223.57	11.85	0.0	0.0	104.96	0.0	0.0	0.53	0.15	66.61	24.91	0.0	0.51	0.06	0.0	12.43	54.74	24.65	29.71	0.2	0.0	0.0	84.43	0.0	53.12	10.56	0.0	180.87	70.62	68.3	105.94
