	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
4930481A15Rik	1.68	8.19	16.98	0.0	0.0	19.1	0.0	2.95	3.8	0.0	12.67	3.61	14.95	5.52	8.16	6.6	10.63	12.48	14.07	14.42	2.55	8.08	4.21	9.68	52.7	12.29	17.63	10.02	8.27	7.68	5.37	55.08	0.0
Afap1	6.58	19.39	17.29	60.13	1.68	123.42	0.0	0.72	71.06	14.07	45.66	64.18	63.02	83.22	68.96	35.54	45.05	40.87	241.19	147.3	63.41	49.33	75.76	79.68	92.27	89.93	48.53	90.1	55.7	100.17	39.27	75.45	0.43
Anapc1	0.0	1.42	0.0	0.0	2.63	0.35	0.0	0.11	1.2	0.2	13.59	2.15	17.19	23.18	5.58	26.4	33.14	24.34	23.96	23.67	0.31	11.78	10.01	9.1	0.43	0.41	1.8	19.59	0.69	0.11	19.64	21.53	0.0
Ank	0.13	79.73	0.0	0.0	0.0	0.18	0.0	0.0	46.09	0.51	1.13	83.68	88.31	114.14	93.4	119.23	219.19	84.49	89.15	234.87	137.81	116.63	136.53	62.81	128.44	72.33	47.91	90.53	51.84	87.76	209.05	122.45	0.0
Arhgef3	0.0	202.08	0.68	0.0	0.0	112.27	0.0	0.08	114.41	0.0	57.17	113.27	76.75	98.61	115.76	44.87	228.64	73.57	155.66	42.58	122.63	155.12	142.61	94.9	176.69	30.24	20.41	69.81	91.03	82.21	128.44	183.6	0.0
Banp	0.09	5.73	30.73	0.0	0.0	0.23	0.0	0.0	10.27	2.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.74	17.98	1.39	1.82	0.1	1.93	16.98	4.11	37.7	13.69	0.0	0.33	27.59	13.89	16.79	0.0
Cfl2	0.0	58.48	204.14	0.0	0.0	186.35	0.0	0.0	198.69	0.0	50.77	0.47	176.19	83.53	195.51	249.71	267.94	229.14	141.68	169.91	251.75	110.41	114.23	259.04	83.47	175.6	138.3	18.79	112.24	111.13	267.95	204.17	0.23
Chm	0.0	0.06	0.0	0.0	0.0	30.07	0.0	0.0	15.28	0.0	6.03	16.63	58.12	48.69	68.24	7.8	74.37	68.15	47.27	25.67	41.09	16.79	26.36	23.48	33.5	10.21	34.45	2.78	43.86	93.53	47.79	70.09	0.0
Dimt1	0.0	0.0	0.58	0.0	0.0	17.57	7.01	0.0	36.64	0.0	11.07	9.4	41.23	44.63	73.38	49.31	27.63	20.99	25.09	74.65	79.36	22.12	26.52	25.8	34.28	22.71	11.16	49.2	31.41	25.28	49.49	50.67	0.0
Dlgap2	0.0	0.0	0.11	0.0	0.0	49.63	0.0	0.0	21.13	0.0	4.05	5.45	27.55	4.15	25.0	8.62	43.55	26.3	23.56	167.8	47.12	11.62	42.08	86.15	57.1	10.19	12.87	5.45	10.77	27.83	18.35	35.26	0.0
