	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_22	Calb2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_22	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_36	Vip_tdTpositive_cell_70	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700034K08Rik	0.0	0.0	0.0	0.98	0.0	0.0	0.43	0.0	0.0	0.0	0.0	3.93	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.61	0.44	0.95	0.52
1700052K11Rik	0.56	0.56	0.0	0.0	0.99	0.15	0.1	0.07	0.0	0.0	0.58	1.9	0.0	0.23	0.39	0.0	0.0	0.0	0.0	0.22	0.08	0.23	0.0	0.0	0.0	0.0	0.0	0.43	7.2	6.21	7.79
1700063D05Rik	0.0	4.06	0.0	0.89	0.0	2.27	1.48	0.0	0.0	0.0	0.0	11.46	0.0	0.0	2.27	0.0	2.29	0.0	0.0	2.34	0.0	0.0	5.31	0.0	0.0	0.0	0.0	2.61	5.26	5.72	6.69
5530601H04Rik	2.52	20.19	1.17	45.99	1.12	17.69	4.45	11.19	18.31	42.83	15.57	64.2	1.77	2.91	2.04	13.21	0.84	0.55	0.0	7.56	0.0	1.29	3.96	1.36	4.56	0.86	5.08	11.06	7.47	5.22	6.09
9030025P20Rik	0.0	2.78	0.0	0.98	0.0	1.29	2.41	0.0	3.53	2.86	1.09	18.46	0.0	0.0	1.23	0.0	2.01	0.0	0.0	3.43	0.0	0.0	13.34	0.0	3.75	0.0	0.0	4.79	15.83	13.52	16.88
Acap2	0.0	16.04	0.0	0.03	0.0	0.57	8.04	0.0	0.0	7.08	0.0	21.63	0.79	0.0	0.97	7.03	22.96	0.0	0.0	29.51	0.0	0.0	0.0	0.0	7.82	0.0	0.12	8.29	56.56	51.78	55.9
Acin1	0.0	40.54	0.0	1.84	0.0	21.68	16.59	32.32	33.79	13.69	6.31	34.16	0.0	5.3	1.98	30.56	16.94	0.0	0.0	12.58	0.9	0.26	0.33	4.55	16.92	12.67	1.97	9.79	81.9	86.64	75.72
Adck2	0.0	0.0	0.0	0.0	0.0	26.19	0.0	0.05	0.0	0.0	0.0	185.43	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.98	14.22	15.66	15.45
Apold1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.06	0.41	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	7.34	5.87	2.69
Camk2g	1.84	30.87	0.0	48.66	0.99	24.8	9.03	76.84	103.38	3.05	1.35	215.86	85.32	14.45	47.07	58.2	8.48	0.0	0.0	19.87	0.0	61.48	0.0	24.0	52.34	0.0	0.0	61.68	180.29	188.2	179.49
