	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Calb2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_19	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_112	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_36	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310004N24Rik	0.0	462.76	0.0	95.04	0.0	81.34	24.52	80.38	0.0	7.25	0.0	0.0	1062.25	6.87	122.46	0.0	0.0	0.0	142.99	0.0	131.72	132.42	40.72	57.45	207.19	0.0	0.0	57.84	0.0	0.0	0.0	75.26	75.56	73.32	37.26	37.89	33.62
6230400D17Rik	0.0	0.0	0.0	19.08	0.0	1.44	0.0	0.23	0.0	0.0	0.0	0.0	38.23	0.0	0.0	0.0	0.38	0.0	0.57	0.0	0.0	3.38	2.51	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	3.6	0.99	5.56	5.33	3.35
6230409E13Rik	0.02	27.84	0.0	2.03	13.59	12.29	19.66	14.41	0.0	0.0	0.0	0.0	92.67	0.03	0.02	23.51	3.27	4.28	14.11	0.04	25.77	10.73	4.37	6.55	0.07	0.0	0.03	0.0	0.0	0.0	0.0	12.11	8.2	6.48	39.2	35.11	38.13
A930005H10Rik	0.0	0.0	0.0	17.05	95.41	32.95	0.0	0.0	0.0	0.0	0.0	0.0	135.93	0.0	0.0	3.78	163.71	17.31	0.0	0.0	12.93	0.0	63.22	47.11	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	30.4	26.45	17.92	16.1	15.8
Bicd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.95	0.0	0.0	0.0	0.0	195.72	0.07	0.0	17.94	0.0	0.0	1.72	0.0	0.0	0.0	14.27	4.99	0.0	0.12	0.29	0.0	0.0	0.17	0.47	3.54	3.92	8.44	39.32	38.42	41.42
Ccdc136	10.4	0.0	0.19	11.75	0.0	7.38	0.0	2.78	0.0	0.0	0.0	0.0	88.39	0.0	1.62	0.0	0.0	21.93	17.71	0.12	0.11	20.03	5.2	2.25	0.0	32.91	0.08	30.53	0.0	0.86	19.4	2.89	3.31	1.58	43.78	44.7	42.68
Ccdc28b	0.0	105.41	0.0	3.28	116.02	188.29	38.34	71.4	0.0	0.0	0.0	0.0	376.69	0.39	0.0	8.81	0.0	191.79	0.0	178.45	3.51	88.21	56.75	40.78	0.0	0.0	10.56	0.0	0.0	25.18	0.0	47.35	44.78	30.85	32.46	32.51	28.53
Ccdc48	7.02	0.82	2.51	49.71	2.32	0.97	4.31	0.67	0.83	11.27	0.36	1.1	108.94	3.64	1.41	3.98	5.65	1.17	3.1	3.44	1.0	0.77	11.67	4.71	1.42	3.67	2.13	2.14	13.0	4.18	6.99	4.47	4.16	10.28	8.33	7.33	8.4
Ccdc9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.54	0.0	87.45	8.58	35.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.59	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	1.21	44.1	43.99	40.77
Chchd10	0.42	0.99	0.0	10.72	0.0	0.0	3.8	1.89	1.03	0.0	0.0	0.0	68.75	2.39	0.72	2.9	0.45	34.0	9.14	0.0	1.56	2.13	17.0	16.79	3.41	0.0	0.29	0.0	0.0	0.0	0.0	6.27	11.73	8.02	219.56	249.09	250.7
Cnksr2	0.0	0.08	0.13	0.03	0.0	9.92	0.0	5.61	0.56	0.11	6.61	0.0	14.43	0.06	0.0	0.0	0.34	6.52	0.06	0.0	0.0	13.06	17.57	23.98	5.9	0.0	0.0	0.0	0.0	0.0	0.0	18.65	22.99	19.76	114.68	103.4	116.88
Cnr1	5009.66	10009.06	712.02	14271.7	14712.45	18446.25	9089.03	33283.94	19184.04	6610.37	19801.43	16437.47	480.64	6746.03	17862.67	19681.78	7913.61	17646.7	12520.63	14140.41	22064.64	33041.05	145.79	227.37	12766.46	4501.41	14288.55	25768.68	16287.97	23267.78	1642.99	58.46	54.8	65.45	80.79	75.85	84.42
Col24a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14	2.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.05	0.05	4.26	3.9	5.15
D10Jhu81e	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	3.88	10.24	0.97	0.0	26.85	0.0	0.0	0.0	0.0	0.0	1.35	3.87	3.13	85.3	93.83	90.89
Dkk3	0.0	0.0	0.0	0.11	0.0	1.34	107.05	4.08	32.19	0.0	0.0	0.0	225.92	0.0	0.0	0.0	0.0	0.0	2.69	0.0	3.06	47.47	61.52	39.57	0.18	0.23	0.0	0.0	0.0	67.55	97.56	249.65	266.8	264.79	240.89	232.88	229.09
Dlat	0.05	0.89	0.0	61.0	0.0	2.41	13.7	0.0	28.18	1.54	81.85	0.0	167.08	0.15	0.0	0.0	0.0	0.0	1.34	22.79	78.59	43.5	27.75	39.32	59.87	0.38	3.05	0.0	0.0	0.0	0.0	1.85	11.69	13.08	70.3	71.53	64.97
Dnttip1	0.0	4.83	0.0	0.0	0.0	0.0	0.0	0.0	18.49	0.0	0.0	24.31	71.32	0.0	0.0	0.0	0.68	0.0	0.75	0.0	17.01	0.0	11.63	7.69	0.0	0.0	0.0	0.4	0.0	0.0	0.0	4.46	4.26	9.46	38.55	38.59	37.63
E130309D14Rik	0.0	0.0	0.0	2.88	0.0	17.78	0.0	0.61	0.0	0.0	0.0	0.0	38.08	0.0	0.0	0.0	0.0	5.74	0.0	0.0	1.99	21.58	6.67	3.15	0.0	0.0	0.0	0.0	0.0	0.0	0.13	3.35	2.39	2.59	22.12	25.86	22.76
Ehbp1	1.24	0.0	0.0	8.24	0.0	8.94	7.82	0.15	10.17	0.1	19.34	0.0	36.99	0.0	0.0	0.0	2.3	17.57	7.95	37.27	2.62	10.04	14.74	11.24	18.91	0.61	0.05	0.1	0.0	2.13	0.0	3.7	4.32	6.09	29.47	28.16	27.18
Etv3	0.04	0.0	0.0	0.0	0.14	0.0	2.66	0.0	0.0	0.0	33.03	0.0	118.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.25	0.93	4.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	3.18	3.14	19.55	18.4	16.42
Fam109a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.73	0.0	0.0	0.0	0.0	2.09	1.3	0.0	0.0	0.0	0.19	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.74	0.6	11.56	10.73	9.53
Fan1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	47.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	3.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.89	1.29	7.54	8.08	8.45
Fbxw11	0.05	0.22	0.0	65.49	0.37	0.0	23.47	38.59	0.0	16.74	0.0	0.0	205.14	1.23	0.0	0.0	0.0	54.01	66.75	19.8	0.0	38.44	26.89	28.93	40.35	0.0	63.75	0.0	0.0	0.1	0.0	8.16	26.8	23.35	96.8	95.03	97.22
Fem1c	0.0	0.0	0.0	0.0	0.0	2.89	0.0	2.4	0.0	0.0	0.0	0.0	6.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2	5.69	19.13	16.43	17.19
