	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1300018I17Rik	0.0	0.0	0.0	0.0	23.4	0.0	0.0	0.18	0.0	5.0	43.83	49.49	52.89
1700029F12Rik	0.0	0.55	0.0	0.0	3.0	0.52	0.0	0.0	0.0	0.22	0.58	0.11	0.44
1700031M16Rik	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0
2410002I01Rik	0.0	0.0	0.0	0.0	4.05	0.0	0.0	0.0	0.0	0.62	13.45	14.61	14.03
2810408M09Rik	0.51	0.71	0.0	0.75	1.34	0.0	0.0	1.66	0.0	1.51	20.07	24.51	22.35
4833412C05Rik	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	19.9	1.67	1.14	1.69
9330182L06Rik	0.0	6.2	0.05	0.05	197.2	0.0	0.0	0.0	0.0	9.89	28.95	23.15	28.39
A930005H10Rik	0.74	0.0	0.0	0.0	616.24	0.79	0.0	0.0	0.0	26.45	17.92	16.1	15.8
Acbd4	0.0	0.0	0.0	0.0	317.16	0.0	0.0	0.0	0.0	6.06	27.58	31.16	27.4
Acta2	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	9.56	12.04	11.19
Adam19	0.0	0.0	0.0	0.0	105.07	0.0	0.0	0.0	0.0	2.85	10.59	9.39	11.15
Adamts1	0.0	0.0	0.1	0.0	102.15	0.0	0.0	0.0	0.07	0.14	6.81	6.92	7.5
Alkbh4	0.0	0.0	0.0	0.0	436.77	0.0	0.0	0.0	0.0	10.68	6.35	6.99	6.45
Ap1g1	0.0	0.0	0.0	0.03	8.8	0.0	0.15	0.0	0.0	13.73	48.4	47.39	45.92
Arv1	0.0	0.0	0.0	0.0	457.55	0.0	0.0	0.0	0.0	12.59	10.29	10.91	10.15
Atxn2l	0.0	3.55	3.21	0.06	91.17	0.0	3.69	0.0	5.34	1.58	111.62	109.65	119.26
BC037032	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.59	0.46	0.67
BC067068	0.0	0.0	0.0	0.0	306.71	0.0	0.0	0.0	0.0	2.06	5.93	5.9	6.12
Bbs12	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	12.51	4.72	4.09	5.09
C2cd4c	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.22	7.37	7.59	7.28
Calr3	0.0	0.0	0.0	0.0	505.3	0.0	0.0	0.0	0.0	1.69	1.34	1.44	0.98
Camta2	0.0	0.0	0.0	0.05	20.64	0.0	0.0	0.0	0.0	8.28	170.0	169.56	174.78
Ccdc109a	0.0	0.0	0.08	0.08	180.36	0.0	0.0	0.0	0.12	109.91	26.71	27.69	26.87
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.98	30.63	28.29	22.96
Cdc27	0.08	0.0	0.0	0.0	247.54	0.0	0.0	0.0	0.0	15.38	29.52	27.72	29.59
Ctdsp1	0.0	0.0	0.0	0.0	170.5	0.0	0.0	0.0	0.0	1.63	18.16	21.12	19.48
D330022K07Rik	0.0	0.0	0.74	0.79	2.22	0.21	0.0	0.2	0.0	1.52	3.97	3.26	5.42
D630003M21Rik	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	3.7	3.62	3.29
Dnalc4	0.0	0.0	0.0	0.0	444.56	0.0	0.0	0.0	0.0	21.09	59.26	60.98	61.02
Efcab10	0.0	0.0	0.0	0.0	1.98	0.0	0.0	0.0	0.0	14.87	3.2	3.6	3.83
Efhc1	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.16	1.52	1.14	1.57
Efs	0.0	0.0	0.0	0.0	186.64	0.0	0.0	0.0	0.0	0.0	6.31	7.78	7.51
Eln	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.27	5.82	7.74	6.25
Eml5	0.0	0.06	0.54	0.02	47.45	0.0	0.0	0.0	0.0	17.7	32.58	26.15	37.17
Ephb1	2.48	0.0	0.0	0.0	146.85	0.0	0.0	0.0	0.0	16.89	26.22	26.79	26.3
Fam109a	0.0	7.77	0.0	0.0	5.91	0.0	0.0	0.0	0.0	0.6	11.56	10.73	9.53
Fam199x	0.0	0.0	0.0	0.0	54.66	0.0	0.06	0.0	0.0	3.63	5.28	4.65	4.91
Fam60a	0.0	0.0	0.0	0.09	233.13	0.0	0.0	0.0	0.0	2.5	2.66	2.65	2.32
Fblim1	0.32	0.0	0.0	0.08	0.41	0.0	0.0	0.0	0.12	0.0	1.51	1.07	1.24
Fbxw10	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	2.01	0.51	0.4	0.53
Fbxw22	0.0	0.0	0.0	0.0	10.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fbxw26	0.0	0.0	0.0	0.0	2.89	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0
Fbxw7	0.26	99.34	0.0	0.51	63.01	0.0	10.97	0.0	0.0	266.01	133.56	127.17	139.13
Fchsd1	0.0	0.0	0.0	0.0	5.14	0.0	0.0	0.0	0.0	0.0	6.64	6.92	6.15
Fgfr1op	0.0	2.84	0.08	0.08	132.48	0.0	0.0	0.0	0.0	24.65	14.94	14.73	15.73
Ftsjd1	0.0	0.0	0.07	0.0	3.87	0.0	0.0	0.0	0.0	5.6	5.33	6.01	4.48
Gabrr2	0.0	0.0	0.0	0.0	253.42	0.0	0.0	0.0	0.0	0.0	0.55	0.72	0.85
Ggct	0.0	202.53	0.0	154.72	495.51	0.0	0.0	0.0	0.0	19.29	18.22	16.19	15.77
Gm10033	0.0	0.0	0.21	0.26	3.92	0.0	0.29	0.0	0.0	33.92	5.35	4.23	4.63
Gm129	0.0	0.0	0.0	0.17	515.77	0.0	0.0	0.0	0.0	46.01	31.04	38.55	18.46
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.98	30.63	28.29	22.96
Gm14124	0.0	0.0	0.0	0.0	21.45	0.17	0.0	0.0	0.0	0.34	0.25	0.28	0.12
Gm14139	0.0	0.0	0.0	0.0	9.79	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.41
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.98	30.63	28.29	22.96
Gm5086	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	1.83	1.52	2.04
Gm5113	11.44	6.95	14.13	12.89	194.22	20.63	4.56	7.85	14.8	29.45	19.33	18.27	19.75
Gm6402	0.0	0.79	2.44	1.83	80.98	0.0	2.34	0.39	3.06	1.62	0.95	0.44	0.49
Gna13	0.0	0.0	2.23	0.16	36.01	0.08	0.18	0.23	0.0	2.66	25.82	24.97	25.3
Hilpda	0.0	0.0	0.54	0.54	428.95	0.0	0.0	0.0	0.0	37.39	9.75	7.83	9.75
Hipk1	0.0	0.0	0.09	0.06	91.93	0.0	0.0	0.0	0.04	40.83	48.53	47.48	48.46
Htr5a	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	1.42	10.69	10.48	9.74
Il15ra	0.0	0.0	0.0	0.16	0.82	0.0	0.0	0.0	0.0	0.0	5.23	4.77	5.14
Ivl	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kbtbd3	0.0	3.08	0.0	0.1	172.14	0.0	0.0	0.0	0.0	30.01	6.04	5.69	6.46
Laptm4a	0.0	0.0	9.2	0.0	267.11	0.0	0.0	0.0	0.17	40.7	193.36	200.91	180.4
Lrrc4b	15.24	26.15	4.72	10.98	23.0	6.17	6.4	18.82	4.59	5.24	130.37	161.98	150.12
Lrrfip2	0.0	0.0	0.0	0.0	159.43	0.0	0.0	0.0	0.0	10.01	24.5	24.87	24.53
Magi1	0.07	0.0	0.0	9.46	86.24	0.0	0.0	60.47	0.0	35.78	52.61	50.18	51.81
Mib1	0.0	0.0	0.0	0.0	2.13	0.0	0.0	0.0	0.0	3.64	49.4	40.57	49.68
Mir3064	0.0	0.0	0.0	0.0	105.12	0.0	0.0	0.0	0.0	45.63	216.63	192.59	174.23
Mtmr14	0.0	0.0	0.0	0.09	3.97	0.0	0.0	0.0	0.0	3.25	15.6	13.83	12.34
Nfil3	0.0	0.0	0.0	0.0	327.75	0.0	0.0	0.0	0.0	8.96	13.09	10.32	9.66
Nfkbie	0.0	0.0	0.0	0.1	0.45	0.0	0.0	0.0	0.0	0.86	1.96	2.38	1.18
Nmnat3	0.0	0.0	0.0	0.0	1.46	0.0	0.0	0.0	0.0	6.95	2.48	3.15	2.18
Nt5m	0.0	0.0	0.0	0.0	406.5	0.0	0.0	0.0	0.0	19.06	47.02	55.78	51.63
Nthl1	0.0	0.0	0.0	0.0	358.6	80.22	0.0	0.0	0.0	1.33	4.01	4.4	4.05
Orai1	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	5.47	6.31	7.51
Pafah1b3	0.59	0.0	0.0	0.86	237.49	0.0	0.0	0.0	0.0	19.25	17.06	14.09	12.3
Plaa	0.14	0.0	0.72	1.13	17.23	0.0	0.52	0.82	0.0	9.66	17.38	15.98	17.12
Pomt1	0.0	0.0	0.0	0.0	172.35	0.0	0.0	0.0	0.0	1.6	10.93	10.55	13.22
Ppm1m	0.0	0.0	0.0	0.0	12.98	0.0	0.0	0.0	0.0	2.34	25.96	25.35	25.84
Ppp1r15b	0.8	0.0	38.9	0.3	126.95	0.0	0.0	0.0	0.0	4.49	33.88	32.71	26.96
Ppp1r8	0.0	0.0	0.0	0.12	298.99	9.57	0.0	0.0	0.0	14.57	34.14	36.42	31.18
Prelp	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.19	13.35	13.3	11.56
