	Ctgf_tdTpositive_cell_3	Scnn1a.Tg3_tdTnegative_cell_11	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4933430M04Rik	0.0	0.0	0.0	0.0	0.39	0.14
5730409E04Rik	2.46	2.35	17.06	76.02	78.84	72.68
A130049A11Rik	0.0	0.0	0.0	2.63	2.34	2.33
A230070E04Rik	0.0	0.0	7.37	16.6	19.01	17.56
A930011G23Rik	0.0	0.0	0.0	0.82	1.08	0.82
AY074887	2.92	1.72	11.08	13.24	12.48	12.87
Aak1	0.03	0.0	17.76	77.03	72.23	78.8
Adcy3	0.0	0.0	2.63	39.07	40.04	37.65
Apba3	0.0	0.0	0.82	17.6	19.89	18.64
Atp2a2	191.61	0.0	134.82	513.24	490.71	517.28
BC100451	0.0	0.0	0.0	0.25	0.24	0.21
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Camta1	0.0	0.12	38.31	87.9	82.51	86.09
Caprin1	0.0	0.0	21.73	140.83	135.83	136.58
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Col8a1	0.0	0.0	0.0	1.77	1.64	1.41
Esrra	0.0	0.0	1.7	43.22	51.27	47.48
Fam189b	0.0	0.0	1.01	35.65	38.7	42.02
Foxp4	0.0	0.0	0.17	18.34	21.45	18.34
Frmd5	0.0	0.0	0.49	19.48	18.99	21.43
Gatsl2	0.0	0.0	10.78	48.97	45.54	51.81
Gm4745	0.0	0.0	0.0	0.08	0.0	0.08
Gpr12	0.0	0.0	0.7	21.23	22.13	24.39
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Khsrp	1.02	22.05	24.19	57.01	58.93	59.96
Kif5c	46.64	0.0	43.86	410.62	385.0	413.29
Lrrc10b	0.0	0.0	0.0	48.67	53.01	45.61
Mapk9	30.43	0.0	17.35	154.54	146.91	148.44
Mapkbp1	0.72	0.0	3.81	28.61	27.57	30.3
Mgrn1	0.0	0.0	89.31	150.24	149.55	151.89
Mtap1a	0.35	0.18	8.04	314.16	309.4	342.35
Myo5a	0.07	0.09	36.0	147.23	132.38	154.8
Nsg2	0.0	0.0	50.1	642.61	673.47	621.36
Obox5	0.0	0.0	0.0	0.15	0.14	0.16
Pde4d	0.0	0.0	15.81	28.4	26.53	24.67
Plekhg5	0.0	0.0	4.9	54.79	56.74	54.57
Prmt8	0.0	0.0	46.33	89.09	88.89	85.48
Ptprn2	0.09	0.0	24.08	221.75	226.44	219.46
Purb	0.0	0.0	56.89	202.04	181.97	195.46
Rab6b	0.0	0.0	99.92	557.19	534.18	552.91
Ric8b	0.0	0.0	8.02	45.42	45.68	43.24
Rin1	0.57	0.0	7.28	40.41	39.93	40.75
Rundc3a	0.0	0.0	16.35	259.19	288.36	272.51
Sephs2	0.0	0.0	34.43	33.96	38.32	36.32
Shank1	6.62	4.61	10.95	148.7	139.9	181.16
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Snap91	0.0	0.0	61.66	254.03	253.8	241.24
Spnb1	0.0	0.0	0.42	53.65	51.12	57.7
Spock1	0.0	0.0	85.81	143.7	145.55	144.61
Stxbp1	0.0	0.0	329.23	685.86	704.66	673.08
Syn2	0.0	2.15	78.46	385.63	397.76	386.53
Syngr1	0.0	0.0	77.2	373.26	376.32	379.56
Syp	0.0	0.0	258.19	1149.48	1186.08	1128.2
Syvn1	24.49	0.0	3.26	39.85	39.11	39.72
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tcp10b	0.0	0.0	0.0	0.48	0.35	0.5
Tm9sf3	0.06	0.0	18.71	83.98	79.45	86.75
Tmem121	0.0	0.0	0.22	21.36	26.4	26.49
Tmem134	0.0	0.0	4.29	28.74	31.09	31.77
Tmem86b	0.0	0.0	5.79	9.2	8.74	9.75
Tnfrsf25	0.0	0.0	3.05	11.56	10.34	5.71
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Upf2	0.0	0.0	13.5	25.26	20.63	25.13
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Wbscr16	0.0	0.0	4.04	12.91	13.88	15.34
Zdhhc18	0.0	0.0	0.36	22.2	21.34	22.92
Zfand3	0.0	0.0	4.48	55.03	62.08	56.61
Zfp473	0.0	0.0	0.09	0.7	0.85	0.63
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	6370.03	2006.54	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
