	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_13	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Scnn1a.Tg2_tdTpositive_cell_21	Scnn1a.Tg3_tdTnegative_cell_12	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70
1110001J03Rik	98.72	106.14	3.36	77.05	26.28	0.0	0.0	0.0	122.7	153.19	59.51	158.92	139.21	0.0	24.1	126.61	0.0	305.72	460.77	214.53	170.72	85.1	61.06	39.96	98.34	0.0	0.0	0.0	0.0	241.07	0.0	56.82	496.54	0.0	174.69	68.38	543.07
1110038F14Rik	1.96	0.19	0.18	78.53	83.87	0.0	0.0	0.0	0.0	17.51	0.0	0.0	0.0	0.0	0.0	63.43	0.0	0.0	231.75	0.0	9.78	0.0	4.01	47.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.19	0.0	57.22	213.18
2310001A20Rik	199.67	0.0	0.0	176.03	0.17	0.0	0.0	0.0	0.0	0.17	258.16	111.85	0.0	401.16	4.32	130.3	0.0	143.31	448.37	0.0	0.0	0.0	0.0	155.01	84.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	471.11
3110099E03Rik	0.1	0.0	0.0	0.17	0.05	0.0	0.0	0.0	0.28	0.0	0.65	0.0	0.0	0.39	0.37	1.21	1.26	0.0	2.48	0.5	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59	0.0	0.18	0.22	3.23
6330439K17Rik	1.01	86.7	19.13	86.3	109.53	0.06	0.16	0.28	36.67	25.04	218.34	102.18	57.35	7.17	67.41	0.2	12.74	0.13	299.47	70.57	13.73	109.14	73.69	31.12	77.87	0.1	0.0	0.0	0.0	0.48	0.63	188.16	264.95	74.56	0.07	7.39	285.89
Adprh	392.34	75.47	0.0	90.21	178.75	0.0	0.0	0.0	127.27	115.7	81.15	147.18	7.85	142.38	35.0	0.0	0.0	0.0	700.53	0.0	0.0	0.0	185.75	68.66	141.09	0.0	0.0	0.0	0.0	615.5	0.0	12.73	0.0	0.17	0.31	393.23	292.53
Aldh5a1	12.05	1.72	0.1	21.39	3.94	0.0	0.0	0.0	0.0	18.62	0.0	7.83	0.2	47.52	0.17	0.0	0.06	47.51	141.5	90.3	0.0	0.0	19.33	0.12	11.35	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.67	0.88	1.15	0.0	0.0
Amy2a2	0.09	0.14	0.1	0.73	0.36	0.0	0.0	0.12	0.04	0.15	0.21	0.02	0.24	0.41	0.81	0.16	0.64	0.07	2.18	0.0	0.0	0.23	0.1	0.15	0.1	0.0	0.0	0.0	0.0	0.6	0.07	1.43	0.4	0.21	0.15	0.33	0.87
Amy2a3	0.09	0.14	0.1	0.73	0.36	0.0	0.0	0.12	0.04	0.15	0.21	0.02	0.24	0.41	0.81	0.16	0.64	0.07	2.18	0.0	0.0	0.23	0.1	0.15	0.1	0.0	0.0	0.0	0.0	0.6	0.07	1.43	0.4	0.21	0.15	0.33	0.87
Amy2a4	0.09	0.14	0.1	0.73	0.36	0.0	0.0	0.12	0.04	0.15	0.21	0.02	0.24	0.41	0.81	0.16	0.64	0.07	2.18	0.0	0.0	0.23	0.1	0.15	0.1	0.0	0.0	0.0	0.0	0.6	0.07	1.43	0.4	0.21	0.15	0.33	0.87
Anks1b	22.22	45.82	0.65	19.42	13.37	0.0	0.0	0.0	30.38	37.82	60.56	12.8	55.35	29.33	0.11	47.35	0.07	54.47	77.67	6.03	14.33	62.47	24.33	36.02	43.9	0.0	0.0	0.0	0.0	10.86	0.0	12.58	28.35	20.11	17.03	23.2	28.45
Bccip	135.98	151.7	0.0	102.98	184.72	0.0	0.0	0.0	258.74	250.81	293.8	267.24	58.41	0.43	42.96	187.84	158.95	203.3	332.83	0.0	193.23	137.16	84.22	334.56	122.15	0.0	0.0	0.0	6.18	0.0	0.0	454.74	0.0	466.75	253.14	264.31	747.87
Chrnb2	17.64	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	3.93	44.93	0.0	0.0	1.17	0.0	12.74	126.22	65.76	0.08	4.8	0.0	0.0	12.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.15
Cnr1	878.95	635.78	5009.66	10009.06	14271.7	0.07	0.06	0.0	14712.45	18446.25	9089.03	33283.94	19184.04	6610.37	19801.43	16437.47	6746.03	17862.67	3106.57	19681.78	7913.61	17646.7	12520.63	22064.64	33041.05	0.08	0.0	0.0	0.0	4931.9	0.0	12766.46	4501.41	14288.55	25768.68	23267.78	1764.01
Cplx2	36.41	234.99	7.24	164.27	236.0	0.16	0.0	13.41	153.08	186.88	157.41	192.99	79.64	24.42	78.61	152.68	6.12	211.7	285.49	107.86	10.02	80.71	126.59	223.51	226.51	0.0	8.59	11.64	0.0	8.32	2.54	222.47	218.7	105.87	99.06	83.41	258.62
Cttnbp2	12.1	75.63	85.43	90.35	31.43	0.0	0.0	0.0	54.89	6.16	39.94	20.81	10.88	3.99	11.98	7.7	10.5	26.69	377.09	40.99	16.31	70.7	31.35	16.17	5.39	0.0	0.0	0.0	0.0	10.51	0.0	4.73	9.53	371.37	20.36	4.86	119.31
Cyb5r3	0.4	300.05	105.39	250.68	236.87	0.0	0.0	89.56	181.62	264.64	3.88	64.57	273.62	1.22	305.19	0.61	6.23	124.83	795.48	141.23	3.7	51.02	446.82	212.45	246.52	1.76	5.28	0.41	0.0	390.43	0.96	11.69	280.57	239.2	140.76	336.36	888.01
Dhrs7b	0.0	0.25	0.12	0.0	175.11	0.0	0.0	0.0	0.0	89.13	95.21	102.99	49.93	0.0	0.0	0.0	0.0	0.0	323.08	24.8	0.27	0.0	25.64	0.0	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	103.48	98.93	311.09
Dnajc18	82.62	122.44	177.88	381.09	42.91	0.35	156.49	0.0	118.67	117.09	185.56	131.21	224.8	166.11	218.04	301.88	136.06	178.46	560.74	416.05	0.17	305.49	135.68	241.21	138.33	0.27	0.13	0.0	21.59	411.91	0.51	145.43	0.63	157.93	90.77	133.66	164.53
Emg1	380.83	281.97	0.19	100.05	91.12	0.0	0.0	0.0	154.91	111.82	187.42	229.78	67.56	0.0	369.95	39.5	0.0	158.21	632.02	24.45	0.0	0.0	167.84	79.3	95.82	0.0	0.0	0.0	0.0	447.66	0.0	239.7	0.0	216.57	0.48	0.0	302.33
Fam118b	249.15	176.07	17.31	111.07	0.0	0.0	1.67	0.0	0.0	47.44	0.0	42.18	89.04	118.58	0.0	0.0	0.0	248.7	395.55	21.72	257.47	193.28	0.0	150.4	72.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.87	214.72	0.0	0.25	373.26
