	Cux2_tdTnegative_cell_6	Nr5a1_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.22	0.2	0.22
1700003L19Rik	0.0	0.0	0.14	0.0	0.14
1700008K24Rik	0.0	0.0	0.21	0.0	0.52
1700009J07Rik	0.0	0.0	0.11	0.0	0.11
1700011H14Rik	0.0	0.0	0.09	0.0	0.18
1700024P03Rik	0.0	0.0	0.21	0.0	0.21
1700030A11Rik	0.0	0.0	0.23	0.0	0.35
1700047G03Rik	0.0	0.0	0.24	0.0	0.12
1700061J05Rik	0.0	0.0	0.11	0.0	0.11
1700066O22Rik	0.0	0.0	0.11	0.0	0.22
1700095A21Rik	0.0	0.0	0.09	0.0	0.1
1700120G07Rik	0.0	0.0	0.06	0.0	0.12
1810019J16Rik	0.0	0.0	0.29	0.0	0.12
2410003K15Rik	0.0	0.0	17.7	19.74	18.67
2810404M03Rik	0.0	0.0	0.08	0.0	0.17
3100003L05Rik	0.0	0.0	0.31	0.0	0.32
4922505E12Rik	0.0	0.0	0.05	0.0	0.1
4930415O20Rik	0.0	0.0	0.92	0.0	0.38
4930455B14Rik	0.0	0.0	0.09	0.0	0.09
4930528F23Rik	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.07	0.0	0.07
4931406H21Rik	0.0	0.0	0.15	0.0	0.03
4931423N10Rik	0.0	0.0	0.22	0.2	0.22
4931440J10Rik	0.0	0.0	0.11	0.0	0.24
4932414J04Rik	0.0	0.0	0.03	0.0	0.07
4933407I05Rik	0.0	0.0	0.77	0.0	0.26
4933424G05Rik	0.0	0.0	0.06	0.0	0.12
9230104L09Rik	0.0	0.0	0.16	0.0	0.16
9930111J21Rik2	0.0	0.0	0.31	0.0	0.42
AY358078	0.0	0.0	0.23	0.0	0.07
Adamdec1	0.0	0.0	0.04	0.0	0.04
Akr1c12	0.0	0.0	0.08	0.0	0.08
Akr1cl	0.0	0.0	0.07	0.0	0.08
Aldoart2	0.0	0.0	0.37	0.07	0.13
Antxrl	0.0	0.0	0.05	0.0	0.1
Anxa13	0.0	0.0	0.32	0.0	0.08
Aqp12	0.0	0.0	0.09	0.0	0.1
Arl9	0.0	0.0	0.27	0.0	0.28
Atf7ip2	0.0	0.0	0.04	0.0	0.1
B3galt5	0.0	0.04	22.83	23.77	23.8
Bpifb4	0.0	0.0	0.05	0.0	0.05
C630031E19	0.0	0.0	0.48	0.09	0.37
Capn13	0.0	0.0	0.04	0.0	0.04
Capza3	0.0	0.0	0.16	0.0	0.08
Catsperg2	0.0	0.0	0.05	0.0	0.12
Ccl2	0.0	0.0	0.13	0.0	0.13
Ccl5	0.0	0.0	0.39	0.0	0.41
Ccr3	0.0	0.0	0.03	0.0	0.03
Cd200r4	0.0	0.0	0.24	0.0	0.42
Ceacam15	0.0	0.0	0.07	0.0	0.07
Cfi	0.0	0.0	0.05	0.0	0.1
