	Cux2_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_57	Rbp4_tdTnegative_cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110059G10Rik	0.0	0.0	290.66	6.97	7.2	6.83
1190005F20Rik	0.0	0.0	415.23	27.73	26.34	23.51
1810018F18Rik	0.0	0.0	2.23	0.16	0.0	0.12
1810031K17Rik	0.0	0.0	877.64	22.47	21.79	22.66
4833418N02Rik	0.0	0.0	42.64	0.98	1.18	1.14
4931431C16Rik	0.0	0.0	169.83	0.78	0.49	0.46
A530032D15Rik	0.0	0.0	3.31	0.0	0.0	0.1
AF067061	0.0	0.0	58.1	0.0	0.0	0.0
Adrb2	0.0	0.0	258.99	2.39	2.09	1.29
Akap8l	0.0	0.0	1216.4	131.54	137.91	145.39
Aldh3a2	0.0	0.0	757.47	38.73	39.62	38.0
Alox12	0.23	0.0	2.74	0.71	0.51	0.96
Ash2l	0.0	0.0	1005.53	38.56	37.74	37.65
Avpr1b	0.0	0.0	1.05	0.16	0.08	0.0
B4galt5	0.0	13.8	116.26	26.52	28.02	29.16
BC035044	0.0	0.0	1304.53	0.45	0.82	1.3
Bex6	0.0	0.0	5.43	0.0	0.0	0.0
Brd1	0.0	0.0	209.91	30.53	33.71	28.77
Brwd1	0.0	1.42	335.85	77.01	70.69	76.65
Btbd8	0.0	0.0	370.15	5.77	4.6	5.31
C5ar1	0.0	0.0	1940.27	0.64	0.49	0.41
Cd180	0.0	0.0	114.31	2.08	2.52	3.2
Cd80	0.0	0.0	182.48	0.68	0.58	0.73
Cdan1	0.0	0.27	426.88	12.72	12.84	12.6
Cel	0.0	0.0	32.0	0.19	0.14	0.05
Chchd8	0.0	0.0	1490.25	9.16	5.06	5.67
Cish	0.0	0.0	1050.24	6.09	6.85	5.44
Cnnm3	0.4	3.8	354.87	16.26	16.32	16.88
Cnot7	0.0	0.0	1187.97	75.27	68.94	71.07
D17H6S56E-3	4.77	0.0	92.27	0.78	0.72	0.77
D1Ertd622e	0.0	0.0	792.5	59.85	58.61	55.96
Dapp1	0.0	0.24	1213.03	4.44	4.03	3.57
Derl1	0.0	0.0	624.63	49.5	53.94	49.46
Dnase1	0.0	0.0	754.32	4.66	5.65	5.08
Dtymk	0.0	0.0	971.41	44.76	46.48	49.68
E330012B07Rik	0.0	0.0	0.54	0.0	0.0	0.0
Etaa1	0.0	0.0	492.29	5.25	5.89	5.8
Evi2b	0.0	0.0	367.45	0.47	0.37	0.39
Exosc5	4.77	0.0	925.33	17.53	20.94	15.77
F9	0.0	0.0	236.39	0.14	0.1	0.15
Fam49b	3.36	0.0	548.7	103.94	106.46	100.9
Fam96a	3.26	24.85	1072.86	28.85	27.42	28.14
Fgd3	0.0	0.0	686.94	5.42	6.06	6.28
Gm15880	0.97	0.0	593.37	0.33	0.11	0.24
Gm3143	1.28	3.06	8.79	7.91	5.51	8.67
Gm6034	0.0	0.0	148.29	0.12	0.06	0.0
Gm6402	0.0	0.0	331.87	0.95	0.44	0.49
Gna12	0.0	0.0	472.14	61.33	66.07	72.07
Gnai2	2.19	0.0	1391.38	159.13	172.93	169.97
Gramd1a	0.0	0.0	1146.15	82.45	89.35	84.35
Herc2	0.0	0.0	313.09	67.41	63.82	69.15
Hist1h2bq	0.0	0.0	0.14	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.14	0.38	0.28	0.38
Hrh2	0.0	0.0	819.87	6.88	6.71	5.29
Ifngr2	4.75	8.41	436.78	53.45	56.7	50.92
Ikbkg	13.03	11.85	549.21	19.29	19.03	19.07
Ikzf1	0.0	0.0	790.08	2.34	1.95	2.18
Invs	0.0	0.0	111.85	7.81	7.46	8.44
Itsn2	0.0	0.0	257.86	26.86	22.35	29.29
Kcnk6	1.52	2.3	202.9	3.52	2.75	3.76
Klra19	0.0	0.0	3.29	0.09	0.0	0.0
Klrb1f	0.0	0.0	0.2	0.0	0.0	0.0
Klrk1	0.0	0.0	260.89	0.0	0.03	0.03
Krba1	0.0	0.0	439.34	18.03	18.34	19.19
L3mbtl4	0.35	0.3	3.52	1.03	0.79	0.97
LOC100504703	0.0	0.0	789.85	4.33	4.71	4.47
Lair1	0.0	0.0	1646.57	5.1	5.25	5.32
Letm1	0.0	0.0	482.59	54.68	58.8	55.57
Lrit3	0.0	0.0	0.0	0.12	0.22	0.31
Lrrc45	0.0	0.0	637.51	50.3	50.55	54.57
Lsm14a	0.0	0.0	854.79	57.18	59.15	55.21
Lst1	0.0	0.0	1099.71	4.62	4.11	3.45
Ly9	0.0	0.0	144.8	0.2	0.15	0.25
Map3k3	239.44	0.0	1281.94	22.58	21.74	22.44
Mbd3	0.0	0.0	363.89	113.1	126.54	122.32
Mitf	0.0	0.0	564.17	4.09	4.02	5.0
Naip7	0.0	0.0	29.05	0.0	0.0	0.0
Nckap1l	0.0	0.0	1237.74	7.45	7.17	7.94
Ng23	0.0	0.0	416.26	0.28	0.43	0.0
Pbx2	0.0	0.0	282.13	39.55	41.16	37.27
Pbxip1	1.75	0.74	186.38	31.86	30.67	32.85
Pgm3	0.0	0.0	149.54	8.23	7.73	7.71
Plagl2	0.12	0.0	159.25	5.55	5.21	5.26
Plekhf2	0.0	0.0	507.03	7.22	6.12	6.48
Pola1	0.0	0.0	391.39	1.7	1.71	2.25
Pphln1	0.78	1.33	373.29	29.13	25.73	26.27
Pptc7	28.82	0.0	712.29	40.75	41.4	36.47
Prr14	0.3	243.85	1151.22	23.5	23.12	23.09
Psmb8	0.0	0.0	1161.72	3.78	5.18	4.15
Rad54l2	0.0	0.0	163.22	11.32	10.45	11.72
Rassf2	2.14	0.4	569.2	29.35	29.69	31.74
Rnf135	0.0	0.0	1426.73	2.79	4.25	4.39
Sec62	0.0	0.34	447.85	93.05	84.71	91.58
Sh2d3c	0.0	0.0	507.67	19.37	19.95	20.61
Siglec5	0.0	0.0	624.05	0.49	0.72	0.63
Sipa1	0.0	0.0	193.44	8.12	9.9	11.06
Slc15a3	0.0	0.0	452.61	1.41	1.53	1.5
Slc7a7	0.0	0.0	501.61	1.77	2.04	2.13
Snora78	0.0	0.0	107.01	1.62	0.76	0.84
Spata13	0.0	0.18	346.24	5.93	6.29	6.39
Stoml1	0.0	0.0	988.22	70.29	76.45	67.01
Tap2	0.0	0.0	677.38	7.0	8.13	8.42
Tcirg1	0.0	0.0	603.64	10.82	12.65	13.85
Tlr5	0.0	0.0	850.44	0.55	0.46	0.79
Tlr9	0.0	0.0	53.22	1.36	1.47	1.87
Tmed7	0.2	0.0	956.54	76.9	78.51	78.06
Tmem179b	0.0	0.0	1199.39	9.96	10.09	10.71
Trappc8	0.0	0.0	728.76	36.18	33.02	34.73
Trim30d	0.0	0.0	1355.17	1.22	0.9	1.04
Trim30e-ps1	0.0	0.0	43.48	0.16	0.15	0.05
Ttc7	0.0	0.0	324.59	6.53	5.61	7.2
Wbp7	0.0	0.0	212.32	25.14	25.82	27.79
Wdr13	0.0	0.0	923.72	136.96	138.91	138.76
Wdr41	0.0	0.0	688.5	30.24	29.73	28.79
Wnk1	3.6	0.0	316.9	63.79	56.84	66.46
Zc3h7b	0.0	0.0	405.51	86.81	85.92	92.81
Zdhhc14	0.0	0.0	769.25	32.19	31.16	34.7
Zfp174	0.42	1.87	522.02	4.55	3.91	4.73
Zfp870	2.32	0.0	763.75	5.5	5.5	6.1
c10_tRNA-Ala-GCY_	65.8	0.0	799.23	29.3	60.81	43.36
c18_tRNA-Ala-GCY_	62.84	0.0	400.67	12.88	24.82	35.18
