	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_12	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500010J02Rik	0.0	0.11	0.0	23.98	24.56	23.93
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1810048J11Rik	0.0	0.0	0.0	26.14	25.48	24.51
2010107G23Rik	0.16	0.0	0.38	26.49	31.34	26.69
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
A430088P11Rik	0.0	0.0	0.0	0.2	0.15	0.2
Abat	0.0	0.0	100.22	168.41	160.58	169.07
Amd2	0.0	0.0	43.11	116.44	128.88	96.43
Anp32e	0.0	0.0	63.94	85.52	81.08	87.83
Arhgap32	0.0	0.0	0.13	137.07	128.38	137.14
Arhgdig	0.0	0.0	0.0	88.82	95.75	99.37
Arhgef10l	0.0	0.0	0.1	26.99	30.38	29.12
Atp6v0a2	0.0	0.0	0.0	49.1	51.56	49.64
BC016423	0.0	0.0	3.05	12.72	9.83	12.3
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bmpr2	0.0	0.0	0.0	49.43	43.52	54.53
Bpifb9a	0.0	0.0	0.0	0.1	0.05	0.05
Bsnd	0.0	0.0	0.0	0.04	0.03	0.04
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Capn9	0.0	0.0	0.0	0.08	0.04	0.04
Cep76	2.4	0.0	0.23	5.28	5.2	4.94
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Crat	0.0	0.11	19.89	24.38	24.75	25.3
Cyp7a1	0.0	0.0	0.11	0.09	0.12	0.08
Dlx3	0.0	0.0	0.0	0.08	0.04	0.04
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
Dzip3	0.0	0.0	0.09	39.34	29.73	38.4
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Edem2	0.0	0.0	0.0	18.59	18.24	17.45
Eif5a2	0.0	0.0	18.46	34.63	32.62	33.4
Exog	0.0	0.0	2.1	16.92	17.23	16.07
Fam168b	0.0	0.0	24.94	190.42	187.9	191.71
Fmnl1	0.0	0.0	0.0	75.04	73.44	69.71
Fzr1	0.0	0.0	22.35	65.81	73.66	66.13
Gabbr1	0.0	0.0	45.74	381.73	382.23	380.88
Gas7	0.0	0.0	21.49	186.15	181.08	185.5
Gm12504	0.0	0.0	0.82	1.74	0.87	1.3
Gm14431	0.34	0.0	0.36	8.87	7.17	8.34
Gm166	0.0	0.0	0.0	5.05	5.42	4.43
Gm20554	0.0	0.0	0.0	0.08	0.06	0.08
Gm4070	0.0	0.0	0.0	3.43	1.62	2.49
Gm6531	0.0	0.0	0.0	0.27	0.16	0.29
Gm8898	0.34	0.0	0.36	8.87	7.17	8.34
Gpr82	0.0	0.0	0.0	0.08	0.04	0.04
Gvin1	0.0	0.0	0.0	0.62	0.39	0.56
H13	0.16	13.0	0.0	43.22	46.94	44.58
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Ift172	0.0	0.0	0.25	36.37	33.52	36.9
