	Cux2_tdTpositive_cell_53	Cux2_tdTpositive_cell_83	Htr3a_tdTpositive_cell_107	Nr5a1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_53	Ntsr1_tdTnegative_cell_50	Ntsr1_tdTnegative_cell_52	Rbp4_tdTpositive_cell_146	Scnn1a.Tg2_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_59	Scnn1a.Tg3_tdTpositive_cell_64	Scnn1a.Tg3_tdTpositive_cell_84
0610010B08Rik	46.5	6.3	35.25	0.84	0.44	5.73	12.43	4.36	22.42	0.06	1.46	40.89	20.95	0.21
1500012F01Rik	44.84	40.32	117.08	0.0	0.0	35.12	115.55	100.9	212.08	0.0	3.34	49.77	33.19	0.0
2810004N23Rik	1.21	0.0	11.65	0.0	18.51	0.0	71.29	11.43	47.16	0.0	0.0	50.51	0.0	0.77
Alyref	10.85	10.08	14.36	5.79	0.0	1.08	13.08	14.53	47.84	0.0	1.51	8.73	45.31	0.0
B230208H17Rik	6.39	0.0	17.96	11.45	0.0	47.37	11.05	6.87	24.25	0.0	15.92	32.0	10.82	3.93
Gm14430	10.14	3.98	4.86	0.0	0.5	0.98	14.91	5.23	26.91	0.07	0.0	2.45	25.13	0.24
Gm14434	10.14	3.98	4.86	0.0	0.5	0.98	14.91	5.23	26.91	0.07	0.0	2.45	25.13	0.24
Gm3317	8.21	0.0	1.94	0.0	0.0	0.2	11.97	4.25	2.7	0.0	0.1	9.85	0.36	0.0
Gm3383	6.47	0.0	17.72	5.24	0.0	0.0	15.24	1.86	11.18	0.0	0.0	12.52	3.74	0.0
Gm3494	8.21	0.0	1.94	0.0	0.0	0.2	11.97	4.25	2.7	0.0	0.1	9.85	0.36	0.0
Gm4724	10.14	3.98	4.86	0.0	0.5	0.98	14.91	5.23	26.91	0.07	0.0	2.45	25.13	0.24
Mmp17	31.47	0.0	0.0	0.14	37.28	58.7	95.6	38.04	104.71	0.0	0.0	41.6	35.92	0.0
N4bp2l1	0.0	0.0	44.81	0.0	0.0	0.0	33.91	16.63	132.17	0.0	0.0	0.0	18.32	0.0
Pak1	1601.51	1860.58	1840.24	2106.77	1632.41	2557.48	1885.43	2153.51	1706.02	2166.98	1745.72	2101.54	1773.29	1653.17
Plcl1	0.5	0.0	24.78	0.15	0.47	0.18	0.22	1.32	0.73	0.18	0.16	16.4	0.51	0.17
Slc25a22	107.64	47.57	124.79	15.41	82.7	79.32	299.07	120.72	150.28	10.23	100.14	180.46	139.48	68.06
Slc36a1	11.17	0.0	2.65	0.0	0.22	0.11	9.4	21.04	4.78	0.0	0.0	5.63	0.74	0.0
Trim46	0.0	0.81	12.04	0.0	0.0	0.0	0.0	12.43	26.71	0.0	0.0	42.88	21.85	19.41
Yif1b	152.91	55.61	190.77	0.0	0.0	99.19	42.82	166.59	128.43	0.0	31.61	240.43	186.24	30.12
Zfp599	0.3	0.42	9.93	0.0	0.0	0.17	0.93	41.56	23.16	0.12	0.0	88.96	65.6	0.26
