	Ndnf_tdTpositive_cell_7	Ntsr1_tdTnegative_cell_39	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610040J01Rik	0.0	0.0	0.0	3.72	4.35	5.98
1110018J18Rik	0.0	0.0	0.0	11.76	7.85	10.86
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
2410137F16Rik	0.0	0.0	0.0	3.38	2.78	4.46
4930483K19Rik	0.0	0.0	0.0	1.83	1.28	1.56
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
5430435G22Rik	0.0	0.0	0.0	2.82	2.77	1.95
6430573F11Rik	0.0	0.0	0.0	12.79	13.9	12.36
Akr7a5	0.0	0.0	0.0	23.99	25.78	25.58
Arhgap42	0.0	0.0	0.0	9.03	7.48	8.69
Arhgef5	0.0	0.0	0.0	1.49	1.32	1.25
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccl27b	0.0	0.0	0.0	30.63	28.29	22.96
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Fam102b	0.0	0.0	0.0	29.65	28.06	26.65
Fam35a	0.0	0.0	0.0	5.26	3.97	4.71
Fezf2	0.0	0.0	0.0	32.59	34.14	29.25
Fjx1	0.0	0.0	0.0	73.38	79.2	83.24
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gm10536	0.0	0.0	0.0	0.09	0.02	0.07
Gm13306	0.0	0.0	0.0	30.63	28.29	22.96
Gm2506	0.0	0.0	0.0	30.63	28.29	22.96
Gm2694	0.0	0.0	0.0	4.98	5.4	4.83
Gm5127	0.0	0.0	0.0	0.33	0.36	0.45
Gm8096	0.0	0.0	0.0	0.07	0.06	0.16
Gusb	0.0	0.0	0.0	12.51	12.94	12.05
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h1e	0.0	0.0	0.0	2.01	1.66	1.91
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lama3	0.0	0.0	0.0	2.18	1.91	2.55
Lipi	0.47	0.36	0.0	5.24	2.66	4.8
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Naglu	0.0	0.0	0.0	7.63	9.58	9.39
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Papd4	0.0	0.0	0.0	28.08	25.27	25.6
Patz1	0.0	0.0	0.0	19.41	21.84	19.87
Pknox1	0.0	0.0	0.0	9.2	9.16	10.02
Plin2	0.0	0.0	0.0	5.48	6.99	6.03
Ret	0.0	0.0	0.0	1.65	1.58	1.25
Rexo1	0.0	0.0	0.0	27.57	30.74	32.54
Rinl	0.0	0.0	0.0	1.52	2.38	1.61
Skp2	0.0	0.0	0.0	5.22	5.01	4.35
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem132c	0.0	0.0	0.0	3.9	3.58	3.94
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ushbp1	0.06	0.0	0.0	3.45	3.71	4.43
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c16_tRNA-Ala-GCY_	0.0	0.0	0.0	73.11	21.3	53.47
mt_AK131586	4908.34	0.0	0.0	25813.35	24091.17	24561.45
