	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_22
2310047M10Rik	0.0	0.0	0.0	0.0	13.27	0.0	0.0	11.66	0.0	1.26	1.21	0.0	0.47	21.84	0.0	0.0	0.55	0.0	0.0	0.0	17.54	0.0	0.0	0.0
2410018L13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.14	0.0	3.25	4.61	0.0	24.66	0.5	0.0	14.12	2.6	21.89	0.0	0.0	34.96	18.14	10.62	0.0
2610015P09Rik	0.0	0.0	0.0	0.0	5.49	0.0	15.01	7.09	0.0	6.21	8.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.16	0.0	27.16	22.2	0.0	0.0
2610037D02Rik	1.78	0.3	0.34	1.33	1.1	0.19	1.43	0.93	0.34	1.46	1.33	1.31	0.82	1.68	0.94	0.77	1.35	1.47	3.75	1.41	1.69	0.86	1.03	0.0
4930428E07Rik	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
5730455O13Rik	0.0	0.0	20.69	0.0	0.0	123.82	0.0	78.22	0.67	0.0	78.91	0.0	73.05	1.73	0.0	0.0	56.26	0.0	0.0	21.45	146.05	0.0	22.99	0.0
A730090H04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0
A830082N09Rik	0.37	0.14	0.32	0.14	47.53	0.16	0.29	4.02	0.47	0.82	1.81	0.47	0.95	0.79	0.47	12.0	0.52	0.6	0.54	0.64	0.87	20.32	0.65	0.0
A930011O12Rik	0.0	16.56	8.86	0.0	1.62	0.0	10.57	46.76	31.01	61.68	22.87	69.31	35.86	61.39	6.84	73.24	21.47	117.1	12.47	12.22	66.43	26.72	34.53	0.18
AK010878	0.0	3.08	47.53	3.15	153.13	142.71	130.01	12.21	33.68	176.93	237.2	6.38	51.79	40.33	50.35	2.89	7.82	16.67	100.67	116.05	162.59	105.49	53.09	4.46
Adrbk2	0.07	39.24	0.22	0.0	64.65	27.91	46.5	33.06	50.3	92.83	54.86	18.79	24.34	13.54	2.49	38.39	7.29	45.07	17.75	15.83	163.98	40.7	42.04	0.0
Amy2a2	0.05	0.03	0.0	0.08	0.11	0.0	0.14	0.18	0.04	0.07	0.14	0.18	0.14	0.15	0.7	0.23	0.12	0.16	0.08	0.41	0.22	0.04	0.09	0.0
Amy2a3	0.05	0.03	0.0	0.08	0.11	0.0	0.14	0.18	0.04	0.07	0.14	0.18	0.14	0.15	0.7	0.23	0.12	0.16	0.08	0.41	0.22	0.04	0.09	0.0
Amy2a4	0.05	0.03	0.0	0.08	0.11	0.0	0.14	0.18	0.04	0.07	0.14	0.18	0.14	0.15	0.7	0.23	0.12	0.16	0.08	0.41	0.22	0.04	0.09	0.0
Ankrd49	90.18	0.0	15.17	0.0	0.0	54.84	2.19	0.0	0.26	0.0	1.58	0.0	2.39	2.86	37.25	68.2	0.0	0.0	30.28	0.0	114.63	0.0	0.0	0.0
BC031353	0.0	0.0	0.0	0.0	0.52	0.0	0.0	2.47	0.76	0.35	0.44	0.16	0.07	1.27	0.0	0.0	0.0	1.67	0.15	0.0	27.29	0.09	0.0	0.0
Brip1	2.4	4.3	3.8	1.77	6.65	2.36	5.0	5.5	3.61	6.73	6.52	5.09	4.37	8.19	4.18	5.65	5.13	4.66	6.16	4.28	8.8	10.66	5.89	1.44
Ccdc153	0.45	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.26	0.19	0.78	0.0	0.0	0.51	0.0	0.0	0.83	1.86	0.58	0.0
Ccdc88a	0.0	0.04	0.0	0.0	6.22	0.0	16.21	24.65	13.56	2.96	10.0	0.0	7.8	12.51	14.12	4.72	9.2	31.15	6.28	21.19	36.33	34.63	26.12	0.0
Cd2ap	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.89	5.06	0.0	10.18	0.05	0.86	0.0	0.0	0.4	21.5	0.0	63.18	19.29	0.07	0.0
Cdkn2d	0.0	49.4	265.98	0.0	0.0	66.34	170.15	161.95	120.33	167.33	199.78	320.95	308.0	110.15	220.59	306.3	173.91	174.56	289.31	223.99	244.16	342.15	27.3	0.0
Cpsf1	0.0	0.0	0.0	0.0	0.0	0.0	15.81	0.0	0.0	26.43	15.34	35.88	28.3	8.47	0.0	34.9	1.23	31.98	0.0	19.15	39.72	2.85	13.58	0.0
Crtc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.43	0.0	0.0	0.0	13.66	0.0	0.0	0.0	0.0	0.5	0.0	0.0	14.79	50.6	44.19	0.0	0.0
Cstf3	0.0	0.0	0.0	0.85	157.4	91.01	61.53	109.12	28.04	120.38	9.92	71.0	67.3	145.39	95.59	90.5	61.2	30.78	116.44	34.38	166.92	45.51	64.94	0.0
Ctns	0.0	0.0	0.0	0.0	2.71	0.0	1.11	0.0	0.0	0.74	0.0	0.79	0.0	0.96	1.35	38.26	0.11	16.27	0.0	16.18	77.93	1.94	0.06	0.0
Cyp19a1	0.2	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.47	0.33	0.14	0.0	0.07	0.0	0.0	0.0	0.25	0.01	0.0	0.5	0.0	0.21	0.0
D930020B18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0
Dcaf12l2	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.06	0.05	0.0	0.28	0.0	0.0	0.24	0.0	0.38	0.32	0.0	0.0
Dctn1	0.0	28.56	0.36	2.82	21.32	1.44	9.57	10.31	14.94	39.47	86.68	27.89	6.27	13.17	0.48	5.36	24.47	8.91	60.33	5.12	70.69	34.19	16.26	0.0
Dnajc19	0.0	0.0	35.03	0.0	254.46	20.3	28.04	122.49	351.09	24.31	381.29	144.31	57.06	103.17	159.06	2.84	57.19	44.15	70.85	141.59	216.05	288.47	73.64	267.4
Dok5	0.0	0.18	0.78	0.27	235.38	166.67	232.14	68.16	175.74	149.49	157.81	93.66	74.13	116.52	88.35	90.39	83.28	0.65	2.28	1.8	341.13	264.79	52.59	0.34
Eif2ak2	26.68	7.01	13.47	19.12	25.99	0.0	12.52	17.59	17.7	23.84	24.96	10.36	14.09	21.08	22.27	33.13	18.62	26.45	37.73	27.3	47.75	37.51	17.91	0.0
Elk4	0.0	0.0	0.0	0.0	0.0	3.44	0.0	23.92	53.08	0.0	28.77	2.59	0.08	28.56	13.39	4.37	15.98	0.0	5.72	46.99	89.54	0.0	0.0	0.0
Eps15l1	0.13	0.0	27.73	0.0	0.0	42.31	65.01	24.7	24.87	71.15	159.78	56.25	35.32	8.46	33.42	51.5	20.37	13.34	1.09	76.17	130.9	0.11	24.3	0.0
Esm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.09	0.0
Fbxw11	85.79	0.0	0.0	0.0	9.39	0.0	1.77	45.27	13.72	57.88	6.15	0.0	16.62	0.81	0.0	44.47	29.9	3.6	0.0	8.71	145.7	0.0	0.0	0.0
Foxj3	0.0	42.96	9.13	0.0	48.3	16.06	17.47	13.38	9.45	0.0	10.61	26.18	37.53	0.28	4.96	0.01	0.07	28.82	1.63	7.17	12.87	72.58	17.48	0.0
Foxl2os	0.13	0.03	0.28	0.0	0.14	0.0	0.0	0.37	0.39	0.81	0.3	0.18	0.32	0.76	0.78	0.36	0.46	0.0	1.96	0.41	0.46	1.86	1.08	0.18
Gm10768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.27	0.0	0.0	0.0	0.29	0.0	0.0	0.22	0.0	0.0	0.0
Gm14322	3.13	0.32	14.95	16.33	24.72	39.08	37.72	36.17	32.22	15.69	15.39	18.86	4.53	4.44	4.02	35.01	23.56	4.11	19.83	43.87	91.28	59.04	9.66	0.0
Gm14430	0.0	0.0	0.0	0.0	7.02	0.0	14.72	13.46	12.83	3.07	11.03	10.87	13.57	23.36	4.08	0.32	1.49	0.54	0.0	8.34	28.79	40.89	2.38	0.0
Gm14434	0.0	0.0	0.0	0.0	7.02	0.0	14.72	13.46	12.83	3.07	11.03	10.87	13.57	23.36	4.08	0.32	1.49	0.54	0.0	8.34	28.79	40.89	2.38	0.0
Gm15663	0.17	0.27	0.11	0.0	0.87	0.07	0.59	0.81	0.43	1.62	2.19	0.51	17.82	2.05	0.64	1.37	0.73	1.04	1.91	0.73	4.26	1.92	1.34	0.0
Gm16596	0.0	0.0	0.0	0.0	0.0	21.36	65.69	0.0	22.44	0.0	0.0	0.0	39.05	0.0	28.12	84.44	60.24	0.0	0.0	43.09	194.85	47.22	0.0	0.0
Gm4724	0.0	0.0	0.0	0.0	7.02	0.0	14.72	13.46	12.83	3.07	11.03	10.87	13.57	23.36	4.08	0.32	1.49	0.54	0.0	8.34	28.79	40.89	2.38	0.0
Hbp1	0.0	0.0	0.0	0.0	112.88	31.95	6.67	23.84	53.72	1.9	74.21	0.0	52.35	68.42	21.5	2.78	42.29	2.74	26.25	121.93	71.82	123.81	56.59	0.12
Hibadh	4.41	0.0	0.14	0.0	0.0	0.15	0.0	129.27	7.5	22.42	112.92	91.51	22.23	62.65	0.0	3.56	71.22	77.46	55.12	107.11	415.34	78.96	88.09	0.0
Inpp5j	0.0	0.0	0.0	0.0	1.17	2.14	1.23	2.79	0.39	28.31	5.19	0.1	17.12	59.11	50.61	6.86	2.35	8.31	64.62	24.5	71.65	96.87	59.42	0.0
Ints8	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	25.61	0.0	0.0	0.0	6.5	0.35	9.12	8.2	0.48	0.0	5.09	0.38	58.95	0.45	1.48	0.0
