	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_74	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700029J07Rik	0.0	0.0	0.34	0.0	0.0	0.0	0.26	0.0	0.0	0.21	0.0	0.0	0.0	0.0	11.85	0.0	0.0	0.0	8.54	0.0	0.0	0.0	40.01	0.15	0.0	0.27	0.0	0.0	0.0	0.0	0.29	0.0	0.0	3.31	0.0	0.0	0.17	0.0	0.0	0.22	5.44	4.68	4.83
1700034F02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.55	0.0	0.0	0.14	0.13	0.14
1810030N24Rik	0.0	0.0	0.0	117.2	49.63	0.56	75.76	128.12	128.05	0.0	0.0	18.4	121.68	42.98	3.56	0.0	50.16	0.0	35.08	41.71	2.73	0.29	204.38	0.0	42.65	2.53	0.81	61.63	110.56	111.72	21.96	40.69	0.47	0.0	54.94	0.0	7.58	41.13	0.0	0.0	21.98	22.76	24.25
2010111I01Rik	6.04	0.0	0.0	0.0	6.19	0.0	21.07	0.0	0.0	24.25	0.16	0.0	0.0	0.54	0.22	23.43	0.0	0.0	37.94	61.48	0.0	7.33	86.59	28.79	49.38	0.0	24.54	8.98	0.0	0.0	0.0	51.51	10.58	0.11	31.45	1.73	0.0	33.42	32.42	0.0	12.6	12.52	12.62
2310007L24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.12	0.4
2900093L17Rik	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.96	53.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0
3000002C10Rik	1.92	0.77	0.0	2.55	0.0	45.05	2.29	0.88	0.87	0.65	0.46	1.76	0.0	4.24	0.71	1.32	4.24	27.69	2.64	0.67	1.48	1.47	122.74	2.34	0.99	3.14	24.47	47.03	3.02	0.67	1.29	0.38	1.41	4.66	1.49	0.44	0.79	0.0	0.39	1.06	7.46	6.35	8.06
3425401B19Rik	0.0	0.0	0.03	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.15	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.11	0.0	0.13	0.0	0.0	0.05	0.13	0.0	0.0	0.16	0.0	0.16	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.14	0.21	0.07
4732415M23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.43	0.0	0.0	0.0	19.78	14.18	0.0	0.0	4.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83	3.24	4.6
4930548H24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0
4931428F04Rik	0.0	0.0	0.0	2.14	23.03	18.48	0.0	28.05	0.0	45.57	11.87	34.65	0.0	0.0	0.34	42.13	6.1	0.91	1.22	0.0	12.88	29.38	77.54	0.0	0.0	1.42	47.18	0.0	7.28	0.0	0.0	3.33	0.0	0.27	0.0	0.0	29.86	1.41	10.94	5.55	20.35	19.11	17.19
4932411G14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.05	0.08
4932414J04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.07
4933416M06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15
4933431E20Rik	0.0	0.13	0.97	6.86	1.78	2.72	1.22	0.0	4.13	8.14	2.95	5.46	11.81	19.24	1.6	1.93	0.12	13.45	7.33	1.92	0.98	0.38	43.65	6.5	9.2	4.9	11.69	13.37	23.07	1.96	10.59	5.01	4.18	4.82	3.92	2.21	2.98	5.21	4.55	15.95	54.37	54.31	53.33
9130227L01Rik	0.0	0.13	0.0	0.0	0.44	0.65	0.0	0.0	0.0	0.41	0.3	0.29	0.0	0.0	0.0	0.85	0.29	0.0	0.69	0.0	0.0	0.27	1.18	0.44	0.56	0.2	0.0	0.0	0.56	0.21	0.0	0.0	0.22	0.0	0.0	0.31	0.0	0.0	0.0	0.59	1.52	1.1	1.77
A430071A18Rik	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.93	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.16	0.18
A630072M18Rik	3.44	0.26	0.44	0.91	1.15	1.13	0.19	0.88	0.6	0.25	0.73	1.17	0.51	0.29	1.46	0.82	1.17	0.44	0.61	0.96	0.45	0.46	15.38	0.7	0.63	5.95	0.78	0.63	0.88	1.24	0.73	0.84	1.31	1.12	5.35	1.51	0.4	20.1	0.48	1.63	4.79	4.03	4.74
AI428936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36	4.04	4.73
