	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_11	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
A230070E04Rik	0.0	0.0	0.0	0.0	0.0	20.25	0.0	24.6	21.91	5.06	16.82	4.94	15.63	48.15	0.0	7.18	27.23	0.0	0.0	0.0	0.0	46.93	28.68	15.01	0.0	37.94	0.0	36.84	58.25	0.0	0.0	67.43	0.0	23.27	0.0	0.0	0.0
Arfgef2	0.0	0.0	0.0	0.0	0.0	0.47	0.08	0.0	4.29	10.47	11.67	2.14	0.0	10.23	0.0	11.74	4.37	0.09	0.07	9.58	6.95	9.37	15.04	14.45	2.9	8.81	0.0	9.86	24.5	13.27	0.07	4.36	5.29	0.61	0.0	0.0	0.0
Asap1	0.0	0.05	0.0	0.0	0.0	24.62	10.61	19.18	9.2	23.09	41.73	23.65	16.58	57.51	6.34	29.6	16.72	43.39	0.13	0.3	6.13	2.99	40.93	4.15	26.58	12.87	29.02	27.85	21.53	24.86	45.83	40.53	9.57	44.2	0.0	0.0	0.07
Asb3	0.0	0.0	0.0	0.0	0.0	4.4	32.49	0.0	10.63	37.86	0.51	45.8	0.0	34.37	3.24	71.29	0.2	0.24	0.0	17.43	45.28	18.59	9.7	38.0	0.23	33.51	12.9	142.97	84.45	8.33	0.19	32.53	0.54	5.29	0.0	0.0	0.0
Bcas3	0.0	0.0	0.0	0.0	0.0	21.98	5.74	38.1	10.39	0.0	50.39	1.79	15.34	1.84	0.0	54.95	0.18	48.26	0.0	31.98	0.0	86.39	59.75	15.45	77.4	59.05	17.46	52.49	2.58	0.0	66.98	89.23	58.37	73.33	0.0	0.0	43.08
Cthrc1	0.0	0.0	0.0	0.0	0.0	90.18	40.93	0.22	101.47	53.82	183.15	55.14	0.0	112.87	2.44	45.47	68.34	0.0	0.0	1.62	13.52	48.89	16.72	342.88	179.93	299.5	65.49	129.95	415.33	78.7	13.92	223.87	65.47	259.7	0.0	0.0	6.04
Cuta	0.0	91.62	0.0	0.0	0.0	263.67	89.16	151.77	371.22	246.23	187.42	145.59	119.2	433.12	166.6	126.52	345.62	105.06	100.1	95.59	179.15	145.67	164.19	332.83	325.53	218.58	115.33	168.29	266.4	197.35	58.58	372.47	146.27	390.27	0.0	0.0	71.02
Fastkd3	0.0	0.0	0.0	0.0	0.0	21.4	40.83	0.0	33.29	23.89	148.33	95.59	39.27	44.49	0.0	56.1	79.71	0.0	20.09	32.92	39.9	21.38	18.17	71.66	0.0	45.24	31.63	72.25	60.95	0.23	0.0	111.13	42.48	70.71	0.0	0.0	0.0
Fgf9	0.9	0.36	1.2	0.0	0.24	82.88	26.73	33.44	31.18	74.08	63.21	116.6	77.43	84.64	25.79	87.86	98.43	43.11	58.79	80.84	86.98	63.82	40.85	135.02	134.87	148.24	76.05	105.77	102.62	54.34	78.21	153.02	21.88	29.65	0.0	0.0	10.01
Gm14430	0.0	0.0	0.0	0.0	0.0	31.03	36.04	0.0	14.72	1.87	10.3	14.72	6.05	13.5	5.35	16.5	13.46	3.22	0.84	12.83	3.07	11.03	13.57	4.08	11.25	0.0	0.32	3.81	9.13	0.54	0.0	8.34	13.81	2.38	0.0	0.0	8.24
