	Gad2_tdTpositive_cell_47	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310067B10Rik	0.0	0.0	0.12	0.69	0.1	0.19	0.14	0.0	1.36	0.24	0.0	2.64	0.0	2.9	0.0	0.55	4.45	0.0	4.71	0.52	16.64	8.49	0.33	19.45	4.29	0.07	0.1	0.0	11.92	8.36	37.54	0.64	0.0	0.15	39.04	41.23	42.57
2500003M10Rik	7.29	3.85	0.73	1.72	0.08	11.73	9.74	4.26	16.12	2.25	14.55	14.8	25.22	25.98	42.81	3.1	0.0	1.86	18.99	18.24	25.97	13.83	0.51	7.58	13.04	1.61	0.0	1.87	29.14	44.42	0.0	9.27	19.41	21.55	118.96	120.09	114.18
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930578N16Rik	4.33	0.25	4.16	0.0	0.0	1.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.79	0.0	2.73	0.0	7.63	0.0	1.44	2.09	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	1.26	0.0	5.34	3.16	2.06	2.97
9330175M20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.78	0.0	0.0	0.17	0.0	0.0	0.0	0.28	0.22	0.0	0.0	1.33	0.0	0.15	0.0	0.0	0.0	0.15	0.0	0.08	0.47	0.29	0.88
Adcy7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	4.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.07	4.16	4.16
Adrbk1	0.0	0.0	0.0	2.42	0.0	23.96	8.98	2.65	0.0	0.0	4.27	0.0	0.25	0.17	0.0	0.0	0.0	0.0	0.0	37.73	0.0	3.14	0.0	0.46	6.14	0.0	0.0	0.41	0.0	0.0	0.29	0.17	0.0	1.34	172.23	171.6	166.77
Arhgap17	7.85	9.12	0.0	0.0	0.0	8.49	0.73	0.0	0.0	0.0	0.33	0.0	0.0	0.0	12.67	0.0	4.07	0.0	0.0	0.0	0.0	3.5	0.26	1.34	0.0	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.91	10.35	12.26
Asb1	0.0	0.15	13.2	0.0	0.0	0.0	14.79	0.13	0.1	0.0	3.36	0.0	0.14	0.09	26.06	0.15	0.0	6.24	0.06	0.0	0.0	7.1	0.05	11.71	0.71	0.13	0.09	1.12	18.19	0.07	0.18	25.41	0.0	0.07	26.5	26.8	25.67
BC006965	0.49	2.35	1.18	1.34	0.53	2.46	2.74	1.99	1.17	0.33	2.63	1.48	0.0	2.05	17.42	2.22	0.62	3.39	0.87	0.45	1.11	0.0	1.02	1.08	0.88	0.45	0.8	0.65	0.5	0.67	0.67	0.24	2.09	1.66	1.97	2.28	2.02
BC037704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	45.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	1.92	1.49
Bambi	0.0	0.0	0.02	0.0	0.05	0.0	0.07	0.0	0.0	0.0	0.1	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.03	0.0	0.1	0.0	0.0	0.17	0.05	0.0	0.0	0.11	0.0	0.0	1.78	2.07	1.85
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
C130036L24Rik	3.31	2.42	0.47	5.65	0.68	1.9	3.28	3.12	4.92	4.75	3.77	6.82	5.75	7.94	66.47	3.59	2.41	12.31	5.42	1.7	5.5	1.16	1.38	0.97	2.05	4.2	3.78	7.46	3.35	1.95	5.73	10.54	1.48	4.53	7.17	5.13	8.21
C130060C02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.57	62.44	0.0	0.0	0.0	0.0	72.39	0.0	0.0	0.0	0.0	0.0	0.0	3.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.76	2.41	0.0	0.61	0.33	1.44
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Ccbe1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.67	4.4	4.37
Ccnb1ip1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.06	0.14
Cdca3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	1.01	0.9
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chrm1	1.53	3.94	3.72	5.59	0.04	3.57	8.53	8.52	5.04	0.34	9.57	1.33	1.65	17.37	26.22	2.95	0.9	1.22	2.96	6.91	1.72	20.23	1.21	4.52	1.42	14.17	7.42	2.44	10.41	5.56	1.9	1.62	3.57	0.87	75.01	77.79	71.99
Clasp2	59.13	39.97	44.76	46.35	12.65	11.09	44.42	65.44	38.35	43.96	57.2	57.61	48.06	29.86	96.89	73.96	69.13	47.18	23.07	36.52	122.43	46.4	32.49	21.09	57.1	71.18	72.72	29.63	20.71	27.8	54.81	51.8	19.86	63.03	146.85	137.13	148.79
Coil	0.47	0.0	0.0	23.14	0.0	0.0	3.8	0.0	12.49	0.0	0.0	1.28	0.0	11.25	46.29	13.21	15.66	1.49	0.0	0.0	0.0	14.81	0.11	9.21	0.0	19.13	0.0	0.0	0.0	0.0	0.0	0.0	3.47	0.0	19.05	20.55	19.08
