	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610007P22Rik	0.0	0.0	42.33	0.0	0.0	0.0	0.0	48.77	29.12	37.56	108.22	0.0	0.0	0.0	0.0	22.92	36.24	31.69	31.36	193.97	79.98	0.53	9.26	71.38	34.24	13.6	14.56	7.54	95.7	76.05	12.5	0.0	3.85	44.52	0.0	32.64	30.2	0.0	30.68	36.89	31.63
1700052N19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.05	0.0	13.65	0.0	77.69	10.75	0.0	45.04	46.63	38.9	0.0	107.45	0.34	0.0	0.0	146.46	61.24	0.0	0.0	27.28	71.27	0.0	37.45	0.0	2.77	0.0	0.0	5.48	100.65	0.0	22.47	20.67	21.18
2210010C04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.9	0.0	0.0	0.39	0.0	0.25	0.0	0.0	0.97	0.0	0.0	0.22	0.0	0.0	0.0	0.14	0.34	0.2	0.0	0.0	0.0	0.37	0.0	0.0	0.18	0.0	0.0	0.22	0.33	0.26
4930526I15Rik	0.0	0.0	8.58	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	8.82	0.0	0.0	9.85	11.43	11.1
Abr	0.0	3.67	33.66	0.0	0.79	1.61	7.17	15.85	67.65	69.67	36.46	51.48	40.9	34.83	64.69	26.02	10.93	17.28	24.3	60.19	28.85	25.26	42.92	42.33	20.8	1.73	61.3	49.73	51.59	44.64	61.53	28.69	18.05	41.38	0.7	74.12	22.05	0.0	272.97	271.82	286.04
Actr3b	0.28	0.0	0.0	0.0	0.0	0.33	0.0	55.87	0.0	0.0	0.0	34.8	0.0	0.0	37.41	0.0	7.71	34.21	47.65	118.91	0.46	0.0	2.44	30.01	0.0	37.68	3.45	14.82	42.27	19.35	50.11	24.49	50.23	45.34	0.0	0.8	0.23	0.0	131.44	138.4	129.11
Adcy5	0.0	0.0	10.55	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.09	0.0	0.0	0.0	0.0	13.16	0.0	0.0	25.53	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.51	0.0	0.0	0.0	0.63	0.44	0.07	0.0	0.0	139.88	145.98	149.99
Aida	2.15	0.39	0.0	0.33	2.41	2.31	1.77	0.2	7.74	0.0	24.33	14.32	1.52	22.02	34.26	40.79	0.49	0.47	16.72	241.42	50.28	86.28	0.41	23.86	0.45	27.95	17.43	12.94	0.42	34.73	0.23	1.28	0.37	37.73	1.2	0.71	48.02	4.73	36.55	33.92	32.54
Ampd3	0.0	0.0	21.27	0.0	0.0	0.0	0.0	7.04	0.0	12.95	0.0	0.0	0.0	0.66	59.43	0.0	0.0	1.85	0.0	78.21	0.0	0.0	35.01	0.0	0.11	46.79	9.55	22.95	1.42	0.1	1.73	0.0	0.0	0.0	9.34	0.0	0.0	0.0	15.92	15.86	16.86
Angptl6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.71	0.0	39.82	30.5	9.22	69.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.72	0.0	0.0	0.0	0.0	0.0	0.0	40.21	0.0	0.0	0.0	8.46	9.19	8.25
Ano5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.15	16.51	0.0	0.0	0.0	0.0	0.0	0.0	0.09	27.31	0.78	3.46	0.0	0.0	4.78	0.4	0.0	0.37	0.0	0.61	0.58	0.4
Apc	0.0	0.0	24.3	0.0	0.0	0.61	0.0	43.37	17.56	44.52	10.36	25.93	46.26	47.48	25.75	36.44	51.89	36.96	62.53	80.11	41.57	39.0	31.44	0.44	22.78	33.77	12.7	13.61	30.81	30.37	39.88	16.34	43.65	37.85	19.94	31.91	46.87	0.0	97.77	76.83	103.87
Api5	0.0	163.87	48.03	0.0	0.0	0.0	0.0	91.14	47.76	25.98	10.16	38.0	26.69	41.85	65.66	21.01	52.6	25.87	7.33	213.79	25.69	40.56	57.43	2.8	22.25	6.64	133.47	34.19	0.0	25.02	35.21	32.99	85.14	61.0	62.98	90.41	0.47	0.0	67.35	65.13	61.77
Arl8a	12.4	0.0	38.12	0.0	0.0	0.0	468.0	2.5	7.76	43.81	58.54	54.34	36.75	43.46	20.79	2.82	105.67	29.57	34.4	72.72	74.35	0.0	56.9	0.22	36.26	31.62	51.88	34.48	8.73	10.45	12.42	21.45	11.85	72.69	27.97	32.6	2.55	0.0	213.09	227.57	217.08
Armc5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.14	0.0	0.0	0.0	0.0	0.0	8.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.42	10.04	10.31
Arpc5l	0.0	0.0	101.25	0.0	0.0	0.0	0.0	239.23	68.84	276.07	94.4	78.26	138.53	6.59	204.53	158.39	207.13	87.5	164.44	298.41	77.19	174.14	162.77	12.63	107.44	147.24	139.68	66.35	66.8	90.72	115.42	30.21	77.73	46.54	45.26	64.3	194.38	519.15	115.47	120.0	115.6
Atg7	0.75	0.0	2.85	0.0	1.43	0.59	0.87	8.76	14.88	9.63	0.0	0.0	16.7	27.51	12.97	4.8	0.0	0.0	9.95	146.51	0.0	63.64	48.25	0.3	33.05	0.0	15.58	35.53	19.65	0.54	27.06	0.0	36.42	0.0	0.24	0.0	0.0	0.0	18.47	21.21	22.24
Atp11a	0.0	44.31	0.0	0.0	0.0	1.84	0.0	0.0	7.28	0.0	16.47	0.0	15.93	0.0	4.32	1.15	16.1	0.0	0.52	7.68	0.0	0.08	0.0	3.26	0.48	9.62	30.47	2.18	0.0	0.0	0.05	0.06	11.35	1.29	0.0	0.0	0.0	0.0	27.68	25.8	28.44
Bcl2	0.0	42.26	0.0	118.64	0.0	0.02	0.03	0.0	11.83	10.37	20.12	3.8	2.96	0.0	0.0	0.0	6.05	2.16	0.0	43.52	0.0	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	4.75	0.0	0.0	0.05	0.03	0.0	7.66	6.94	7.11
Brf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.3	0.0	37.27	73.18	54.0	0.0	0.8	48.51	0.0	0.0	0.0	28.29	43.33	0.0	0.45	0.0	0.0	0.0	0.0	13.38	0.0	0.0	34.39	0.0	0.0	0.0	0.0	27.03	27.57	47.79	0.0	20.9	23.16	20.38
Bsdc1	0.0	0.22	0.0	0.0	0.0	0.0	0.0	31.92	0.0	7.38	0.0	14.03	19.7	29.73	5.63	52.92	23.66	3.81	0.0	158.28	84.48	0.0	0.0	0.0	0.31	24.54	45.5	2.96	0.1	121.89	42.14	0.16	34.31	1.83	0.0	0.0	18.3	0.0	50.23	51.49	49.17
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	0.0	0.92	0.0	6.15	8.29	0.77	0.0	0.0	1.08	0.0	0.0	11.35	0.0	24.17	0.0	3.31	2.97	0.0	0.76	0.0	0.0	2.62	1.92	4.77	8.43	8.14	0.0	22.84	9.34	0.0	30.63	28.29	22.96
Cct4	0.0	0.0	325.85	0.0	40.69	0.0	0.0	175.12	356.01	94.55	3.19	15.69	197.54	139.45	51.17	213.32	115.78	98.63	281.07	526.82	66.48	100.47	142.53	21.61	49.77	148.1	243.56	81.8	31.21	99.73	199.42	148.09	116.21	58.92	144.61	2.77	156.27	0.0	98.82	101.13	95.22
Cd320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.76	0.0	0.0	0.0	18.22	0.0	0.0	24.09	0.0	21.22	0.0	65.01	0.0	0.0	0.0	0.0	25.86	0.0	0.0	0.0	20.35	41.82	28.63	0.0	0.0	21.35	0.0	0.0	0.0	0.0	11.83	10.6	11.07
Cisd2	0.0	31.41	38.47	0.0	0.0	0.0	27.18	39.14	70.56	13.91	22.89	39.6	94.49	95.31	34.74	39.88	111.46	97.6	112.13	274.25	90.24	20.91	195.8	90.71	15.81	54.93	38.79	74.44	36.76	109.14	48.26	89.6	59.29	120.76	77.08	2.94	0.07	0.38	47.25	41.44	44.67
Cln8	0.17	0.18	11.17	0.04	0.64	0.53	61.51	0.18	18.99	11.14	14.02	6.65	1.52	38.08	0.56	1.52	11.04	43.78	27.44	71.15	1.07	14.2	8.2	29.09	0.13	0.17	13.25	39.59	4.09	26.92	22.72	0.75	0.54	3.1	35.61	0.84	5.81	211.91	12.24	13.02	12.12
Cpt2	0.0	0.0	0.0	0.0	0.58	0.0	0.0	22.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.99	0.0	0.0	0.0	103.75	0.0	0.0	62.67	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.84	5.75	4.91
Dgke	0.18	0.33	0.12	0.0	0.46	0.14	0.58	10.14	29.3	35.89	0.0	27.92	27.07	9.69	0.16	0.46	14.53	15.51	14.91	68.3	0.0	0.45	0.4	52.92	24.22	9.0	2.7	33.0	6.57	20.96	16.11	6.79	16.85	18.64	0.0	0.4	0.15	1.85	49.07	47.9	46.81
Dohh	0.0	0.0	3.13	0.0	0.0	0.0	0.0	14.51	18.83	0.0	0.18	0.34	0.54	25.77	0.0	25.11	0.38	0.0	22.46	76.5	0.54	0.0	8.32	0.79	0.57	1.49	0.0	0.0	0.0	48.16	19.57	39.35	0.28	0.0	0.0	0.0	0.0	0.0	74.18	89.66	83.98
E030024N20Rik	4.35	3.02	46.04	0.0	6.02	3.35	2.23	5.74	12.93	26.6	9.38	21.13	7.86	22.06	6.96	27.85	5.96	11.16	9.23	66.87	36.85	25.37	28.11	10.53	8.82	6.51	22.24	21.41	10.04	11.02	19.36	26.66	21.07	26.65	18.83	6.34	25.55	0.0	0.4	0.52	0.44
Entpd5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	4.19	0.0	0.0	0.0	26.66	14.19	20.36	51.34	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	15.67	0.0	7.77	0.0	0.0	0.43	0.0	0.0	0.0	0.0	18.49	18.83	19.07
Etv4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.26	7.65	7.9
Fam125a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.3	0.0	0.0	34.0	15.01	13.27	41.19	1.54	16.4	34.08	15.81	95.5	0.0	0.0	0.45	2.18	0.4	0.0	61.04	0.7	45.76	4.38	33.22	0.85	0.0	30.47	0.0	30.62	69.85	0.0	26.88	28.8	27.65
Fam164a	0.14	0.0	92.63	0.0	0.0	0.0	0.0	267.96	63.14	80.17	132.57	162.16	0.0	112.53	401.84	170.2	136.17	150.95	284.0	510.98	213.28	339.85	117.42	230.52	17.81	90.85	342.41	131.79	188.51	69.36	100.89	151.24	122.24	76.38	154.5	123.46	49.72	0.0	57.24	55.11	50.66
Fbxo7	0.0	0.0	6.45	0.0	0.0	0.0	0.0	0.45	11.42	0.0	0.0	0.0	4.12	39.09	0.0	0.0	0.0	0.0	0.0	98.3	0.0	0.0	0.0	0.0	0.0	0.0	30.57	3.45	0.0	0.0	0.0	0.0	22.38	0.0	0.0	0.0	2.19	0.0	27.69	29.75	30.81
Fndc4	0.0	91.28	0.84	0.0	379.22	347.0	0.0	30.81	30.95	39.69	0.0	0.0	8.52	0.0	38.99	0.35	0.48	0.0	0.0	106.89	0.0	0.0	0.0	0.0	0.36	35.83	0.0	24.05	0.0	8.86	0.33	2.31	27.48	40.33	39.18	0.0	4.56	0.0	75.76	84.12	84.72
Gltpd1	0.0	0.0	44.1	0.0	0.0	0.0	0.0	107.83	81.32	66.91	53.15	1.08	99.6	128.6	180.0	68.6	200.06	207.66	0.73	319.9	0.29	0.23	117.04	101.02	315.27	118.2	62.07	163.67	163.73	111.47	69.55	57.12	181.84	0.0	76.08	243.49	50.95	0.0	14.28	17.26	14.12
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	0.0	0.92	0.0	6.15	8.29	0.77	0.0	0.0	1.08	0.0	0.0	11.35	0.0	24.17	0.0	3.31	2.97	0.0	0.76	0.0	0.0	2.62	1.92	4.77	8.43	8.14	0.0	22.84	9.34	0.0	30.63	28.29	22.96
Gm14430	0.0	0.0	17.66	0.0	0.42	0.0	0.0	3.32	31.03	36.04	0.0	14.72	1.87	26.14	10.3	6.05	13.5	14.04	13.46	29.72	3.22	0.84	12.83	3.07	20.8	2.82	11.03	18.55	13.57	4.08	11.25	0.32	19.5	0.54	8.34	41.52	2.38	0.0	7.67	5.07	7.49
Gm14434	0.0	0.0	17.66	0.0	0.42	0.0	0.0	3.32	31.03	36.04	0.0	14.72	1.87	26.14	10.3	6.05	13.5	14.04	13.46	29.72	3.22	0.84	12.83	3.07	20.8	2.82	11.03	18.55	13.57	4.08	11.25	0.32	19.5	0.54	8.34	41.52	2.38	0.0	7.67	5.07	7.49
Gm15881	0.0	0.0	47.92	0.0	0.0	0.0	0.0	4.6	2.6	6.91	0.0	1.05	29.52	19.7	16.4	170.68	64.25	32.21	115.21	394.63	61.72	0.0	147.71	167.85	83.65	0.0	106.98	85.42	43.54	13.42	110.38	19.56	84.63	0.59	39.11	212.44	46.8	0.0	0.0	0.0	0.0
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	0.0	0.92	0.0	6.15	8.29	0.77	0.0	0.0	1.08	0.0	0.0	11.35	0.0	24.17	0.0	3.31	2.97	0.0	0.76	0.0	0.0	2.62	1.92	4.77	8.43	8.14	0.0	22.84	9.34	0.0	30.63	28.29	22.96
Gm3230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.19	0.0	0.0	0.0	0.0	0.0	13.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.06	4.73	4.69
Gm4724	0.0	0.0	17.66	0.0	0.42	0.0	0.0	3.32	31.03	36.04	0.0	14.72	1.87	26.14	10.3	6.05	13.5	14.04	13.46	29.72	3.22	0.84	12.83	3.07	20.8	2.82	11.03	18.55	13.57	4.08	11.25	0.32	19.5	0.54	8.34	41.52	2.38	0.0	7.67	5.07	7.49
Gm9899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.73	0.0	15.34	0.0	12.82	16.12	0.0	0.49	0.0	0.0	0.53	14.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	41.96	0.0	0.0	0.0	24.27	0.0	36.38	0.0	0.0	11.38	10.75	9.92
Gm9958	0.0	0.0	0.0	0.0	0.0	0.0	660.03	0.0	33.57	0.0	0.0	46.96	27.85	0.0	0.0	0.0	0.0	0.0	27.47	67.82	0.0	0.0	0.0	20.61	0.0	0.0	0.0	0.0	0.0	30.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27	1.7	1.45
