	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Slc17a6_tdTpositive_cell_44	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2900092E17Rik	0.0	0.0	0.0	70.08	78.55	74.26
4832428D23Rik	0.0	0.0	0.0	0.25	0.28	0.3
6430706D22Rik	0.0	0.0	0.0	34.55	34.43	34.12
9430031J16Rik	0.0	0.0	5.21	8.38	6.63	8.52
AU019823	0.0	0.0	0.05	15.48	14.52	15.73
Aak1	0.07	0.0	8.9	77.03	72.23	78.8
Acbd6	0.74	0.0	0.14	56.59	68.62	59.92
Adcy1	0.0	0.0	44.56	224.96	212.91	233.52
Arl4c	0.0	0.0	6.42	36.08	39.32	37.31
Astn1	0.0	0.0	57.05	113.91	111.86	116.89
Atp2a2	0.0	0.0	238.49	513.24	490.71	517.28
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC068157	0.0	0.0	0.3	21.94	22.67	21.53
Bcl11b	0.0	0.0	0.15	35.56	39.1	36.72
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna2d1	0.0	0.0	29.26	99.54	89.77	97.68
Calm3	0.32	10.25	134.14	1592.64	1647.07	1645.95
Caln1	0.0	0.0	40.82	76.86	66.76	76.33
Camta2	0.0	0.0	8.62	170.0	169.56	174.78
Ccdc38	0.0	0.0	0.0	0.64	0.6	0.9
Ccl27b	0.0	0.0	16.22	30.63	28.29	22.96
Cd47	0.0	0.0	53.77	75.29	67.58	73.23
Chrd	0.0	0.0	21.91	27.09	30.65	28.33
Cpne7	0.0	0.0	0.0	70.78	77.82	81.68
D10Jhu81e	0.0	0.0	0.23	85.3	93.83	90.89
Dab1	0.0	0.0	16.73	56.31	51.9	51.74
Dgcr2	0.0	0.0	17.04	77.48	82.51	80.68
Diap2	0.92	0.0	1.89	11.58	10.44	11.07
Dst	0.0	0.0	15.58	86.74	75.28	94.07
Dtl	0.0	0.0	0.0	7.48	6.4	7.6
Eid1	0.0	0.0	38.05	219.68	227.68	212.38
Fbxo32	1.37	0.0	0.87	11.67	10.29	12.21
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gadd45gip1	0.0	0.0	0.0	35.59	37.49	35.41
Git1	0.0	0.0	1.71	228.58	244.29	233.42
Gm13306	0.0	0.0	16.22	30.63	28.29	22.96
Gm14430	0.25	0.0	0.0	7.67	5.07	7.49
Gm14434	0.25	0.0	0.0	7.67	5.07	7.49
Gm2506	0.0	0.0	16.22	30.63	28.29	22.96
Gm4724	0.25	0.0	0.0	7.67	5.07	7.49
Gm5607	3.58	0.0	7.78	10.94	9.85	11.52
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bq	0.1	0.0	0.14	0.38	0.28	0.38
Hist1h2br	0.1	0.0	0.14	0.38	0.28	0.38
Iscu	0.0	0.0	26.74	120.15	141.31	125.66
Kcnc1	0.13	0.0	2.02	96.03	98.54	104.01
Kcnc4	0.0	0.0	25.17	67.9	72.47	68.33
Kcnh7	0.0	0.0	0.0	22.8	14.34	23.96
Kif5c	0.0	0.0	55.31	410.62	385.0	413.29
Kndc1	0.0	0.0	15.8	47.74	47.05	52.63
Lime1	0.0	0.0	19.77	57.7	56.82	56.73
Lmtk3	0.0	0.0	0.0	112.57	125.74	129.11
Ncf1	2.54	0.0	3.73	9.87	9.09	9.17
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nt5dc3	8.14	0.0	36.8	67.85	65.67	69.07
Pcsk1n	0.0	0.0	1.15	383.89	483.91	457.22
Pgap1	0.0	0.0	10.79	14.52	12.46	12.69
Phf8	0.0	0.0	0.02	12.95	12.9	13.57
Ppp2ca	0.0	0.0	172.93	412.48	418.25	392.13
Pten	0.0	0.0	40.91	64.81	63.48	64.75
Rassf2	0.56	0.0	1.32	29.35	29.69	31.74
Rfwd3	0.0	0.0	10.15	19.01	18.56	18.54
Rnf112	0.0	0.0	29.86	274.94	298.54	287.09
Rragc	0.0	0.0	0.0	68.22	72.12	68.72
Slc1a1	0.0	2.01	46.26	81.77	88.56	82.67
Slc2a13	0.0	0.0	0.12	67.34	63.59	65.25
Slc4a3	0.0	0.0	9.84	97.14	100.66	102.08
Slc4a8	0.0	0.0	0.0	36.0	33.98	37.2
Snap91	0.0	0.0	18.44	254.03	253.8	241.24
Stx6	0.0	0.0	4.62	83.27	86.9	85.83
Sv2a	0.0	0.0	52.57	289.26	306.68	286.94
Tnk2	0.0	0.0	0.04	120.42	129.35	126.62
Ubr2	0.0	0.0	0.41	37.12	36.47	37.59
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zbtb7a	0.11	0.0	6.48	55.37	53.85	57.0
Zfand5	10.43	0.0	34.79	63.85	62.28	60.25
mt_AK131586	4908.34	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
