	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_83	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_22	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500009L16Rik	200.0	271.02	0.0	0.0	62.75	262.69	222.34	0.0	90.37	0.0	0.0	0.0	0.0	0.14	87.85	3.75	18.49	92.24	0.35	118.48	0.0	186.92	45.99	0.0	86.43	79.96	86.13	0.43	0.0	9.36	5.43	287.87	141.3	17.32	116.4	93.3	479.8	105.76	190.57	0.0	3.09	4.15	19.69	20.37	18.76
1700001L05Rik	0.0	0.0	0.0	0.0	0.0	0.0	46.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99	3.7	3.47
2410012M07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.11	0.0	0.0
4930509J09Rik	0.0	0.0	0.0	4.44	0.0	0.0	12.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.1	2.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17	0.0	0.0	0.0	0.13	0.0	0.14
4931429L15Rik	1.33	0.41	0.82	0.59	0.0	0.36	6.95	0.0	1.02	0.7	0.25	0.41	0.0	0.19	0.0	0.15	0.45	0.1	0.79	0.8	0.16	3.97	0.12	0.17	0.0	0.0	0.19	0.0	0.0	1.19	0.0	0.17	0.0	0.43	1.07	0.17	0.0	0.0	0.0	0.63	0.0	0.0	0.71	0.58	0.75
A230070E04Rik	0.0	0.0	0.0	0.0	0.0	0.0	23.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.82	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89	7.37	16.6	19.01	17.56
Aadat	0.0	0.0	0.0	0.0	0.0	0.0	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.32	0.06
Abcb10	0.0	2.37	0.0	0.0	0.0	0.12	51.16	0.0	0.0	0.0	0.0	0.0	0.0	25.79	8.63	0.0	0.0	0.0	0.0	0.29	0.0	25.79	26.85	0.0	2.74	26.51	10.43	0.0	0.0	1.43	1.65	0.53	0.0	14.18	0.0	0.0	48.28	0.0	35.9	0.0	0.41	0.79	16.53	18.62	18.24
Acaca	9.73	1.42	29.1	4.93	2.5	0.0	46.54	3.21	0.0	0.0	0.0	0.09	0.0	7.3	10.29	4.06	25.54	3.84	16.75	4.04	0.0	2.46	0.02	32.72	0.32	17.85	10.15	0.43	0.0	1.72	0.0	23.58	1.66	0.0	0.0	4.44	2.55	5.8	0.0	9.02	1.04	1.54	30.97	27.93	30.45
Adam33	0.0	0.0	0.0	0.0	0.0	0.0	35.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	6.57	5.99	5.76
