	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110018G07Rik	44.66	20.31	0.61	81.89	80.63	78.69
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700011F14Rik	0.0	0.0	0.0	0.19	0.09	0.19
1700023A16Rik	0.0	0.0	0.0	0.16	0.07	0.16
1700034F02Rik	0.0	0.0	0.0	0.14	0.13	0.14
1810033B17Rik	0.0	0.0	0.0	0.36	0.25	0.18
2010005H15Rik	0.0	0.0	0.0	0.2	0.37	0.2
2310043L19Rik	0.0	0.0	0.0	0.15	0.14	0.15
2310065F04Rik	0.0	0.0	0.0	0.07	0.14	0.07
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930447K03Rik	0.0	0.0	0.0	0.2	0.28	0.2
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
5830403M04Rik	0.0	0.0	0.0	0.16	0.31	0.16
5830411N06Rik	0.0	0.0	0.0	0.07	0.03	0.07
5830473C10Rik	0.0	0.0	0.0	0.18	0.17	0.09
9330111N05Rik	0.0	0.0	0.0	0.07	0.13	0.07
A4gnt	0.0	0.0	0.0	0.07	0.13	0.07
A530013C23Rik	0.0	0.0	0.0	0.05	0.04	0.05
AF366264	0.0	0.0	0.0	0.12	0.04	0.08
Adamts12	0.0	0.0	0.0	0.19	0.22	0.19
Anxa9	0.0	0.0	0.0	1.33	1.36	1.33
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B230119M05Rik	0.0	0.0	0.0	0.21	0.19	0.21
BC147527	0.0	0.0	0.0	0.18	0.06	0.12
Bhlhe23	0.0	0.0	0.0	0.08	0.18	0.08
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bmp15	0.0	0.0	0.0	0.26	0.15	0.13
Bsnd	0.0	0.0	0.0	0.04	0.03	0.04
Bst1	0.0	0.0	0.0	0.08	0.32	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Capn9	0.0	0.0	0.0	0.08	0.04	0.04
Ccdc11	0.0	0.0	0.0	0.32	0.3	0.16
Ccdc154	0.0	0.0	0.0	0.04	0.08	0.04
Cd209b	0.0	0.0	0.0	0.11	0.41	0.11
Cd37	0.0	0.0	0.0	4.99	4.47	4.99
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cpa3	0.0	0.0	0.0	0.07	0.06	0.07
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Defb1	0.0	0.0	0.0	0.11	0.21	0.11
Dhrs2	0.0	0.0	0.0	0.08	0.15	0.08
Dlx3	0.0	0.0	0.0	0.08	0.04	0.04
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dupd1	0.0	0.0	0.0	0.18	0.17	0.09
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
F630028O10Rik	0.0	0.0	0.0	0.07	0.17	0.07
Fam83b	0.0	0.0	0.0	0.06	0.18	0.06
Fam83g	0.0	0.0	0.0	0.02	0.08	0.02
Fgfr4	0.0	0.0	0.0	0.03	0.24	0.03
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabrr3	0.0	0.0	0.0	0.07	0.06	0.07
Gal	0.0	0.0	0.0	0.15	0.69	0.15
Gm10635	0.25	0.08	0.05	2.45	1.99	1.65
Gpc4	0.0	0.0	0.0	13.61	13.83	13.61
Gpr44	0.0	0.0	0.0	0.08	0.11	0.08
H2-Q1	0.98	0.16	0.0	1.4	1.37	1.36
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Igfbp1	0.0	0.0	0.0	0.07	0.12	0.07
Il17c	0.0	0.0	0.0	0.16	0.15	0.16
Il18rap	0.0	0.0	0.0	0.04	0.08	0.04
Il21r	0.0	0.0	0.0	1.58	1.55	1.59
Iqca	0.0	0.0	0.0	0.64	0.58	0.32
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrrc15	0.0	0.0	0.0	0.04	0.05	0.02
Mctp2	0.0	0.0	0.0	0.73	0.65	0.73
Mep1a	0.0	0.0	0.0	0.03	0.06	0.03
Mesdc1	0.0	0.0	0.11	23.57	26.69	23.74
Mpo	0.0	0.0	0.0	0.12	0.04	0.08
Mpz	0.0	0.0	0.0	0.1	0.14	0.1
Myom2	0.0	0.0	0.0	0.08	0.07	0.08
Naip6	0.0	0.0	0.0	0.38	0.22	0.38
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nova2	0.03	3.47	0.01	30.97	30.36	32.68
Nr0b1	0.0	0.0	0.0	0.06	0.1	0.06
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Otop3	0.0	0.0	0.0	0.04	0.12	0.04
Oxgr1	0.0	0.0	0.0	0.24	0.15	0.24
Pbp2	0.0	0.0	0.0	0.16	0.23	0.08
Ptx3	0.0	0.0	0.0	0.21	0.58	0.21
Ptx4	0.0	0.0	0.0	0.07	0.18	0.07
Qrfp	0.0	0.0	0.0	0.14	0.06	0.14
Rab44	0.0	0.0	0.0	0.12	0.18	0.12
Rbm12	10.03	0.0	0.0	14.81	14.72	15.48
Rnf133	0.0	0.0	0.0	0.08	0.14	0.08
