	PvalbF.Gad2_tdTpositive_cell_15	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1190005F20Rik	0.0	0.0	27.73	26.34	23.51
1600015I10Rik	0.0	0.0	0.04	0.0	0.04
1700001K23Rik	0.0	0.0	0.22	0.2	0.22
1700003L19Rik	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.11	0.0	0.11
1700024P03Rik	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.11	0.0	0.11
1700066O22Rik	0.0	0.0	0.11	0.0	0.22
1700120G07Rik	0.0	0.0	0.06	0.0	0.12
4922505E12Rik	0.0	0.0	0.05	0.0	0.1
4930419G24Rik	0.0	0.0	0.19	0.18	0.2
4930528F23Rik	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.07	0.0	0.07
4931423N10Rik	0.0	0.0	0.22	0.2	0.22
4933424G05Rik	0.0	0.0	0.06	0.0	0.12
9230104L09Rik	0.0	0.0	0.16	0.0	0.16
A230028O05Rik	0.0	0.0	0.18	0.07	0.15
A930041C12Rik	0.0	0.0	0.19	0.18	0.2
Abca14	0.0	0.0	0.02	0.0	0.04
Adamdec1	0.0	0.0	0.04	0.0	0.04
Afg3l2	0.0	0.0	75.78	70.05	68.28
Akap8l	5.08	0.0	131.54	137.91	145.39
Akr1c12	0.0	0.0	0.08	0.0	0.08
Antxrl	0.0	0.0	0.05	0.0	0.1
Arhgap31	0.0	0.0	9.94	10.09	10.81
Arhgap33	0.0	0.0	124.52	124.01	136.22
BC024386	0.59	0.0	0.46	0.97	1.15
Bpifb4	0.0	0.0	0.05	0.0	0.05
Calhm1	0.0	0.0	0.1	0.09	0.1
Capn13	0.0	0.0	0.04	0.0	0.04
Ccdc104	50.03	0.25	99.63	99.4	108.53
Ccl2	0.0	0.0	0.13	0.0	0.13
Ccr3	0.0	0.0	0.03	0.0	0.03
Cdk9	46.45	0.67	58.69	62.51	59.82
Ceacam15	0.0	0.0	0.07	0.0	0.07
Ces1a	0.0	0.0	0.05	0.05	0.05
Cfi	0.0	0.0	0.05	0.0	0.1
Clec12b	0.0	0.0	0.07	0.0	0.07
Cyp2c55	0.0	0.0	0.05	0.0	0.05
Cyp3a57	0.0	0.0	0.06	0.0	0.06
D630042F21Rik	0.0	0.0	0.03	0.0	0.06
D6Mm5e	0.0	0.0	0.1	0.09	0.1
Dicer1	0.0	0.0	20.73	20.39	20.97
Dnajc5b	0.0	0.0	0.11	0.0	0.11
Dspp	0.0	0.0	0.11	0.1	0.11
Dusp6	46.37	0.0	88.77	75.96	53.66
Dyrk4	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.1	0.09	0.1
Fmo4	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.02	0.0	0.02
Ganc	0.0	0.0	6.25	4.81	5.11
Glipr1l1	0.0	0.0	0.23	0.0	0.23
Gm12633	0.0	0.0	0.06	0.0	0.06
Gm14496	0.0	0.0	0.04	0.0	0.08
Gm1647	0.0	0.0	0.14	0.0	0.14
Gm4745	0.0	0.0	0.08	0.0	0.08
Gm9961	0.0	0.0	0.19	0.18	0.2
Gzma	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.04	0.0	0.04
Hectd1	12.75	0.0	48.3	45.41	49.95
Hist1h3f	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.07	0.07	0.07
Hspb3	0.0	0.0	5.1	5.18	5.94
Ibtk	0.08	0.0	14.46	13.45	13.46
Il34	53.59	0.0	70.82	74.72	72.67
Kctd19	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.05	0.05	0.05
Lect2	0.0	0.0	0.12	0.0	0.12
Lgals2	0.0	0.0	0.18	0.0	0.36
Lipm	0.0	0.0	0.11	0.1	0.11
Lrrc10	0.0	0.0	0.07	0.0	0.14
Ltf	0.0	0.0	0.04	0.0	0.04
Mir1954	0.0	0.0	29.23	11.45	26.43
Muc4	0.0	0.0	0.02	0.0	0.02
Mum1	0.3	0.0	25.0	27.75	26.37
Myl6b	1.32	0.0	23.55	26.98	24.06
Myog	0.0	0.0	0.07	0.0	0.07
Ncr1	0.0	0.0	0.07	0.0	0.07
Oas1e	0.0	0.0	0.06	0.0	0.12
Olfr1419	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.11	0.1	0.11
Olfr15	0.0	0.0	0.11	0.0	0.11
Otx2os1	0.0	0.0	0.14	0.0	0.14
Pabpn1	18.86	1.48	181.84	196.14	202.94
Pfn3	0.0	0.0	0.19	0.18	0.2
Poc1a	4.39	0.0	9.79	9.44	10.41
Raet1d	0.0	0.0	0.16	0.0	0.16
Rnf181	5.79	0.0	91.55	91.68	85.55
Robo3	0.0	0.0	18.16	17.81	25.42
Sct	0.0	0.0	0.21	0.0	0.21
Slc34a2	0.0	0.0	0.05	0.0	0.05
Slc4a1	0.0	0.0	0.02	0.0	0.02
Slfnl1	0.0	0.0	0.06	0.0	0.06
Svop	0.0	0.0	162.41	167.3	157.31
Tac4	0.0	0.0	0.08	0.0	0.08
Tas1r2	0.0	0.0	0.03	0.0	0.03
Tas2r137	0.0	0.0	0.1	0.1	0.1
