	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_43	Rbp4_tdTpositive_cell_89	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_45	Slc17a6_tdTpositive_cell_18
1700025N23Rik	13.11	11.86	0.0	13.28	33.92	10.12	12.09	4.65	1.78	15.87	9.1	10.14	13.8	16.69	15.23	0.77	3.41	12.22	31.64	13.04
4933408N05Rik	7.93	0.87	0.0	5.36	6.85	2.17	0.0	0.26	0.0	1.41	1.63	1.79	6.85	3.27	5.84	1.27	0.79	4.49	11.77	7.97
9430038I01Rik	1.1	0.42	0.0	1.16	2.08	6.43	0.62	1.32	0.0	2.84	1.09	1.0	63.16	0.9	2.5	0.0	1.55	0.66	67.49	2.57
A630075F10Rik	8.48	11.35	0.0	16.65	18.24	14.14	5.9	9.67	4.5	20.9	10.98	13.62	11.11	17.87	15.14	5.22	6.4	8.43	18.21	13.41
Amy2a2	0.13	0.0	0.0	0.41	0.19	0.45	0.05	0.01	0.0	0.15	0.08	0.23	1.4	0.25	1.27	0.07	0.05	0.1	0.43	0.38
Amy2a3	0.13	0.0	0.0	0.41	0.19	0.45	0.05	0.01	0.0	0.15	0.08	0.23	1.4	0.25	1.27	0.07	0.05	0.1	0.43	0.38
Amy2a4	0.13	0.0	0.0	0.41	0.19	0.45	0.05	0.01	0.0	0.15	0.08	0.23	1.4	0.25	1.27	0.07	0.05	0.1	0.43	0.38
BC033916	23.08	23.79	0.0	41.26	42.71	40.04	22.39	7.49	4.98	61.47	43.44	18.48	27.52	46.09	27.65	4.62	12.15	21.91	85.96	40.21
Btbd16	15.0	18.69	0.0	22.1	30.0	12.08	10.07	9.1	1.99	19.81	20.9	14.76	19.86	32.28	21.98	1.6	10.48	21.64	38.75	24.79
Ccdc78	5.81	3.26	0.0	9.99	6.88	7.94	2.11	0.95	0.0	1.91	5.02	3.93	6.11	6.89	4.81	1.06	0.7	5.08	10.32	2.61
Cln3	0.0	0.0	0.0	0.08	181.16	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.3	3.81	0.0	0.0	0.0	0.0	163.84	0.0
Colec12	29.4	16.49	9.39	52.5	26.36	32.09	21.59	16.07	0.9	48.21	30.09	21.73	37.2	41.65	36.63	1.76	10.57	30.73	43.01	31.19
Ddx58	0.46	0.32	0.0	0.5	0.48	0.1	0.18	0.0	0.0	0.24	0.14	0.16	0.61	0.96	1.4	0.07	0.22	0.16	2.85	0.27
Dnajb5	0.04	46.73	0.0	0.49	67.04	30.8	88.4	0.0	0.63	187.67	18.09	0.34	27.47	156.38	193.54	0.0	0.73	0.0	331.67	230.04
E130112N10Rik	11.21	10.41	0.0	16.44	25.4	12.84	6.39	1.46	0.0	25.26	6.84	4.1	12.26	18.51	7.65	0.0	0.42	7.23	24.41	10.51
Foxl2os	1.76	0.92	0.0	2.96	3.66	1.82	0.0	0.65	0.0	1.17	0.91	0.72	4.25	2.67	0.9	0.0	0.0	0.43	3.03	0.6
Gata5	5.26	2.12	0.0	7.2	3.18	3.9	2.7	0.93	0.0	1.82	1.38	2.47	5.7	3.53	3.12	0.39	0.09	1.76	4.22	2.85
Gtf3c3	0.27	1.01	13.01	0.37	1.02	6.37	0.0	0.0	0.0	1.89	0.04	0.52	41.22	2.56	0.44	0.0	8.7	0.0	201.12	1.77
Lmbrd1	144.44	76.98	2.76	253.74	163.85	126.93	47.0	13.05	78.83	72.95	41.59	4.18	59.84	82.37	11.81	220.87	0.0	89.22	235.64	126.95
Nipal4	0.25	0.0	0.0	0.45	0.45	0.3	0.26	0.22	0.0	0.09	0.07	0.03	0.28	0.45	0.02	0.0	0.0	0.0	0.5	0.2
Osbp2	18.61	43.83	0.0	40.24	93.78	37.56	5.77	0.09	0.0	20.41	1.26	3.4	58.87	38.82	4.34	0.0	46.49	3.87	38.0	29.41
Rdh1	55.34	33.51	0.0	83.87	65.1	34.19	29.26	11.98	0.1	45.49	42.0	52.25	63.93	60.67	38.43	3.23	4.61	33.13	71.11	31.82
Rgs4	4793.66	5481.44	2.55	5873.8	5539.67	5390.4	4377.15	3832.69	1369.28	5399.11	5219.32	5037.98	5187.94	4921.82	6274.8	5381.62	3732.04	4444.37	4012.11	6781.39
Rnaseh2a	82.27	1.29	0.0	1.47	14.85	13.67	2.02	0.55	0.0	160.99	16.42	57.28	1.72	63.83	1.92	0.0	0.8	0.69	100.87	0.97
Shisa3	0.77	0.41	0.0	0.82	0.95	1.04	0.67	0.07	0.0	0.26	0.19	0.39	2.18	1.4	0.44	0.0	109.76	0.0	185.53	0.74
Tfcp2l1	0.18	0.17	0.0	0.8	0.44	0.6	0.53	0.3	0.15	0.56	0.25	0.24	0.79	0.62	0.08	0.0	0.0	0.18	1.19	0.07
Tmem170b	255.65	95.87	0.0	404.32	217.64	253.19	38.24	178.41	0.4	370.0	61.95	12.9	222.34	269.3	54.61	270.71	40.03	80.1	316.11	140.51
Tmem45b	4.49	4.2	0.0	5.94	5.11	5.63	1.64	0.63	0.0	8.02	4.87	4.4	6.49	9.96	43.07	0.75	1.68	5.09	9.53	6.17
Tmem63b	18.0	0.12	0.0	25.18	113.27	0.0	0.42	0.0	0.0	26.15	0.16	4.39	1.07	0.96	1.02	0.83	0.0	0.98	144.98	32.62
Trove2	66.25	0.3	0.0	0.15	45.62	0.23	7.66	44.6	4.65	2.09	0.03	10.18	78.25	5.95	46.24	0.0	0.0	11.59	70.0	67.15
Vmn2r55	1.81	0.32	0.0	1.63	2.1	1.31	1.42	0.33	0.0	1.98	0.86	1.5	5.24	3.51	1.92	0.0	0.0	2.61	5.2	3.68
Ythdf2	15.49	22.61	0.0	15.71	24.01	179.87	44.59	3.91	13.86	13.06	49.6	117.96	76.6	81.12	6.7	41.09	22.74	73.08	122.53	33.42
Zfp933	4.23	1.73	0.0	25.11	4.1	4.92	3.08	2.23	0.17	4.39	121.87	2.95	12.44	5.07	6.08	2.33	1.58	4.27	91.08	11.4
