	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_32	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_71	Scnn1a.Tg2_tdTpositive_cell_18	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_17	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_1	Vip_tdTpositive_cell_64
1520402A15Rik	0.0	0.0	216.36	0.0	0.0	0.0	46.66	58.64	52.97	75.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	260.07	0.0	0.0	0.0	71.27	0.0	0.0
2900092D14Rik	199.65	0.0	456.17	0.2	118.58	0.0	88.38	97.26	87.77	20.58	790.89	0.31	0.0	184.88	244.77	136.82	135.47	0.12	204.89	6.59	160.46	35.16	51.62	48.44	153.75
4632428C04Rik	0.0	0.0	0.29	0.0	0.0	0.0	0.26	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0
4930533P14Rik	0.0	0.0	1.07	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9130401M01Rik	0.12	0.0	167.45	0.0	22.6	0.0	4.55	58.13	6.03	134.8	0.0	0.0	0.0	62.16	129.48	0.0	0.0	0.26	162.67	0.0	295.45	70.06	119.68	0.0	211.38
A130010J15Rik	0.51	0.45	1.79	1.47	0.28	0.03	1.72	0.75	1.05	0.95	0.56	1.11	0.6	84.48	1.11	0.47	0.63	0.0	0.53	0.05	1.15	0.56	2.01	0.76	0.37
Alg6	12.22	145.97	109.5	0.02	0.17	0.52	85.0	49.81	51.68	0.08	0.0	64.14	0.13	0.23	43.62	4.21	36.6	0.48	125.95	0.0	0.24	0.54	59.22	0.12	0.04
Anapc13	0.0	0.0	96.7	160.34	210.62	130.9	0.0	126.32	0.0	28.98	3.58	129.15	0.0	143.38	0.0	78.92	0.0	0.0	88.71	0.0	268.52	47.63	68.06	87.83	223.71
Ankle1	1.03	0.29	9.08	2.25	0.83	1.69	4.81	1.26	8.43	2.64	1.51	1.15	1.27	8.12	1.43	7.78	2.53	0.79	2.58	0.81	6.62	2.3	2.31	1.66	1.54
Atxn7l1	158.54	0.0	177.83	3.29	0.32	0.0	117.05	63.32	2.31	14.83	0.0	178.95	0.0	128.82	0.0	57.89	3.26	0.0	169.59	0.0	48.63	0.0	78.69	0.0	0.0
CK137956	0.07	0.0	0.67	0.0	0.0	0.0	0.53	0.38	0.04	0.17	0.39	0.2	0.0	0.26	0.15	0.12	0.2	0.0	0.16	0.0	0.0	0.13	0.0	0.19	0.23
Ccdc55	6.24	0.0	71.38	0.35	7.36	9.86	24.94	79.35	3.8	20.93	64.26	13.39	0.4	62.02	63.2	53.66	10.36	0.0	70.56	29.66	69.64	20.34	77.31	0.27	0.0
Cnksr2	3.28	33.85	115.17	10.27	0.0	28.65	68.1	56.98	42.13	72.77	0.08	7.55	0.0	70.6	1.26	98.09	53.96	20.44	78.62	0.0	47.98	39.45	40.43	0.0	0.09
Cr1l	0.0	0.0	161.1	0.0	0.0	3.69	0.0	0.0	0.0	2.78	0.0	12.62	0.0	1.42	0.0	0.0	0.0	0.0	204.99	32.89	0.0	16.53	0.0	0.0	0.0
Crem	0.69	269.67	555.57	0.27	0.0	0.0	423.92	67.34	179.43	222.65	138.06	177.33	0.0	1.36	193.06	82.56	107.97	0.0	64.04	25.86	449.57	39.19	103.18	320.89	0.0
Cuedc1	0.0	0.0	0.38	0.0	0.54	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0
D330041H03Rik	80.1	1.36	78.79	12.76	1.61	1.86	34.13	1.88	5.77	16.63	61.38	0.67	6.28	3.54	7.05	16.44	2.46	4.14	19.09	0.86	0.64	23.29	4.0	5.61	149.11
Efnb2	0.0	0.0	65.28	59.9	0.0	0.0	0.0	0.0	2.59	19.87	76.7	0.0	180.51	46.02	0.0	0.0	0.2	0.0	34.12	0.25	0.0	22.72	0.34	64.96	0.12
Exph5	0.02	0.0	129.9	39.72	0.0	63.05	33.86	23.59	23.41	0.0	0.0	0.0	0.0	30.92	0.0	0.0	0.0	9.05	75.76	112.65	93.55	0.0	0.0	0.0	0.0
Fbxl2	3.13	0.0	301.98	0.0	0.0	0.71	78.19	59.29	56.47	6.39	56.42	80.23	46.83	310.27	0.0	0.0	165.54	0.0	1.08	0.0	101.53	55.96	2.53	263.29	122.89
Fcrl6	4.01	0.45	3.59	0.92	0.91	0.79	1.35	1.48	0.36	1.84	1.37	1.07	4.42	2.51	2.58	3.32	1.4	0.0	2.25	0.0	4.83	1.23	1.14	1.99	1.94
Gm12504	3.03	1.48	0.83	1.36	0.24	0.57	1.3	3.44	2.55	2.14	2.15	1.79	1.74	4.41	0.13	2.08	1.4	0.61	4.55	1.21	0.36	0.36	1.24	5.76	3.23
Gm15800	153.88	51.11	120.18	66.57	20.11	24.18	87.81	87.42	87.5	15.7	16.71	60.52	0.03	44.22	42.11	61.8	39.73	55.78	102.24	35.74	74.65	42.52	75.66	44.85	24.39
Gm20597	0.08	0.0	3.32	0.62	0.08	1.14	1.0	5.81	2.76	3.01	1.07	0.62	0.08	2.28	0.95	2.98	2.77	0.0	4.91	0.0	1.2	2.23	0.8	0.62	1.29
Hltf	0.43	150.37	95.61	1.24	0.91	0.74	29.97	0.74	21.08	4.91	0.87	55.87	0.25	12.42	0.57	0.43	0.15	0.0	49.39	0.08	91.79	17.54	31.91	0.0	0.99
Hmbox1	0.0	0.0	84.25	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.15	0.0	0.0	56.18	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmga2-ps1	1.57	0.0	3.93	0.0	0.0	0.0	6.08	0.7	0.0	1.44	0.59	2.68	0.0	0.48	2.35	0.27	0.0	0.0	0.96	0.0	0.52	0.59	1.0	0.0	0.34
Hspa8	22360.42	24473.49	20649.84	17816.59	26297.86	15596.18	18093.3	17407.32	15759.15	22558.28	20651.28	23643.2	20789.46	16911.04	22280.51	21295.16	17242.33	14705.4	17775.73	13514.6	18674.14	17307.41	21156.27	17667.87	21321.96
Ift80	0.0	0.0	148.47	0.0	0.0	73.2	0.0	0.38	0.0	0.08	0.0	0.0	0.0	39.23	0.0	0.0	0.0	0.0	189.66	0.0	0.0	0.0	0.0	4.94	135.95
Il21	0.19	0.0	1.83	0.97	0.26	0.0	0.92	0.17	0.0	0.04	0.14	0.13	0.29	0.44	0.0	0.41	0.71	0.29	0.26	0.0	0.38	0.37	0.62	0.0	0.16
Isca2	153.27	60.23	483.36	0.0	185.31	232.96	330.29	513.76	59.43	233.47	200.18	98.33	0.0	45.96	103.86	149.51	219.97	0.0	398.86	154.06	129.18	72.35	244.41	242.01	265.07
Klhl3	0.0	0.0	44.13	0.0	0.0	0.0	45.21	4.63	0.0	0.0	0.0	0.0	0.0	0.0	1.65	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir1195	0.0	0.0	33.13	14.62	0.0	0.0	35.86	0.0	0.0	0.0	14.72	0.0	0.0	13.06	16.65	9.23	0.0	9.09	0.0	0.0	0.0	0.0	20.12	0.0	0.0
Ncor1	56.26	5.17	83.16	8.27	76.08	3.74	28.54	32.55	51.73	57.66	10.97	29.59	8.4	67.76	5.7	27.7	39.79	3.06	168.51	42.22	5.26	19.8	42.25	22.16	82.91
Nupl2	0.26	0.0	2.18	0.0	0.0	0.0	59.98	1.25	0.83	0.73	0.15	0.73	0.29	13.58	1.7	0.98	1.6	0.0	0.55	0.0	1.6	0.44	0.51	0.0	0.17
Olfr658	0.0	0.0	0.19	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0
Pcna	168.96	0.0	474.06	8.15	0.0	0.0	82.6	75.67	232.62	8.53	491.37	104.95	495.94	555.0	13.44	0.28	0.36	56.97	329.31	170.91	416.39	134.43	556.75	579.15	0.0
Pdcl	0.0	0.0	212.79	29.1	0.0	0.0	27.33	57.87	0.0	0.04	0.0	22.6	355.16	141.87	6.22	70.74	0.0	19.74	272.53	155.85	100.76	55.71	0.0	0.0	0.0
Pmm2	0.0	0.0	246.19	0.0	0.0	0.0	234.24	129.37	99.81	38.29	0.0	0.0	0.0	72.52	0.0	0.0	100.06	0.0	221.76	0.0	10.87	51.62	88.69	0.0	0.28
Polr3f	1.57	0.68	151.87	1.71	0.38	0.28	9.27	0.41	29.4	8.72	10.89	16.18	0.65	34.24	132.02	122.27	0.88	0.0	183.0	3.32	3.28	0.48	36.06	3.22	0.74
Ppapdc1b	0.0	0.0	160.0	0.0	0.0	0.0	146.75	177.51	90.67	18.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.51	182.36	0.0	0.0	0.0	12.78	1.73	0.0
Ppfia2	0.09	104.14	184.32	0.08	17.64	4.36	118.45	205.56	131.62	93.58	49.14	42.88	1.03	77.7	1.27	52.85	21.77	0.0	102.19	53.06	150.71	137.04	162.14	76.53	3.33
Rilp	0.0	0.0	138.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.89	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rpl7l1	47.84	4.45	343.34	6.47	5.2	93.1	11.08	142.39	86.55	134.13	262.41	120.15	212.07	325.28	22.75	100.04	10.28	116.57	256.36	86.44	141.08	9.3	100.82	10.9	11.24
Sbf1	0.0	3.66	96.8	7.57	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.56	0.0	0.11	0.0	0.0	0.0	2.32	86.18	0.0	0.0	0.0	0.35	0.0	0.0
Smek1	8.15	109.82	56.58	22.93	72.7	8.65	6.61	7.8	8.9	20.77	19.03	21.35	0.0	76.51	2.35	0.0	0.0	0.37	23.78	0.0	23.44	60.16	17.69	0.0	24.51
Tk2	0.0	0.0	197.06	0.0	0.0	0.0	0.0	0.87	3.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221.88	0.0	0.0	0.0	0.0	38.37	269.23
Tnks	0.17	2.25	49.45	0.0	0.0	0.0	29.01	2.78	1.64	0.02	1.18	0.07	0.0	1.41	14.05	16.32	0.0	0.0	0.0	0.0	61.4	0.87	26.38	0.0	0.62
Trim43a	0.42	0.0	1.3	3.57	0.0	0.81	1.4	2.01	0.68	1.97	3.15	0.0	2.29	3.97	2.44	1.41	1.01	0.0	2.14	0.0	1.14	0.0	1.17	0.59	0.0
Trove2	1.08	18.91	72.37	32.71	28.12	0.3	0.37	24.49	0.39	23.74	54.91	42.14	0.55	107.16	26.41	0.49	0.12	0.0	17.86	0.0	19.41	0.0	13.57	0.76	0.33
Ttc26	102.13	1.53	136.09	2.66	1.85	1.26	2.48	2.38	1.61	1.74	1.93	0.81	1.93	0.61	1.74	2.55	2.0	0.24	200.07	1.17	4.94	2.76	0.98	0.85	0.3
Ttll4	0.0	7.76	2.69	0.0	0.0	0.0	6.33	0.0	0.0	0.05	19.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.66	0.0	0.18	9.11	10.86	0.0	0.0
Ubap2	8.6	22.86	12.56	0.0	0.12	0.0	14.37	0.0	5.65	0.01	0.0	7.09	4.77	2.12	0.0	0.0	6.6	0.0	0.0	0.0	7.04	0.72	0.0	0.0	0.0
Ube2l3	52.04	208.23	451.63	67.52	87.35	5.14	242.61	121.89	202.0	166.39	38.96	264.15	0.0	218.63	167.07	167.51	22.47	36.33	360.66	197.37	155.79	77.58	128.08	144.23	299.87
