	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Trib2_CTX_250ng_1
1700047I17Rik2	2.63	2.8	0.82	8.99	6.26	12.91	9.76	3.15	14.27	5.76	53.44	7.18	19.37	429.48	17.14	0.4	1.39	26.7	17.92
2900026A02Rik	0.21	0.0	0.15	2.87	0.24	1.05	29.72	0.0	0.41	10.85	77.08	16.71	0.96	0.73	3.59	0.0	0.94	1.57	29.76
5730577I03Rik	15.13	0.15	68.16	0.73	1.34	41.37	32.77	32.5	73.33	69.13	226.27	102.4	91.23	81.3	80.72	27.32	77.59	19.85	14.5
7630403G23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19
Akr1c20	0.0	0.0	0.0	0.0	0.0	2.07	1.58	1.57	1.03	1.52	3.62	1.35	1.09	0.0	0.0	0.0	0.0	0.37	0.8
Arf4	0.0	0.0	0.0	0.0	0.0	209.8	132.76	137.95	138.82	117.74	588.25	411.5	287.96	1.44	1.14	6.13	11.68	354.32	99.33
Arhgap20	0.0	0.0	0.0	0.0	0.0	81.93	17.69	3.98	0.24	1.31	118.94	2.27	51.2	0.0	0.0	0.0	0.0	0.03	42.07
Atp11b	0.0	0.0	0.0	0.0	191.64	16.1	26.94	0.0	0.16	0.86	62.83	0.0	0.28	0.0	0.0	0.07	0.0	1.56	65.46
Atrn	0.28	0.0	0.3	0.04	0.0	27.85	32.76	40.44	11.35	1.55	50.82	30.67	8.29	0.58	0.39	0.46	0.25	12.19	91.7
B3galtl	0.0	0.0	1.25	0.0	0.0	1.99	0.0	0.0	0.0	0.0	65.65	0.0	8.37	0.0	0.17	0.0	0.0	0.0	13.76
Blcap	0.0	0.0	0.0	0.0	0.0	136.75	150.09	55.54	3.43	0.0	262.75	1.18	1.01	40.99	0.0	0.17	0.29	114.73	94.83
C1qbp	0.0	0.0	0.0	0.0	0.0	1.19	0.0	11.34	29.97	0.0	69.51	0.0	12.92	0.0	0.0	0.0	0.0	0.0	84.09
