	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_11	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_9	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_12
1700028J19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.58	75.39	0.0	0.0	9.82	0.0	0.0	0.0	0.0	0.0	76.02	78.64	74.96	0.0	0.0	0.0
2610528E23Rik	0.0	0.0	0.0	84.44	0.0	0.0	0.0	30.3	11.41	75.02	0.0	33.95	87.25	0.0	64.94	0.0	41.31	203.67	0.0	77.22	43.89	0.0	0.0
A730008H23Rik	5.03	0.0	0.0	2.3	0.0	0.0	0.0	0.25	0.0	3.86	1.11	1.77	0.19	5.9	22.38	0.74	0.0	38.82	43.94	0.0	0.1	0.0	0.0
Ankrd26	0.0	0.07	0.0	0.0	0.8	11.27	29.0	0.53	3.83	0.0	2.93	0.05	16.29	21.95	2.15	0.33	0.08	50.56	42.59	0.47	5.22	0.09	0.0
Blmh	0.0	0.0	0.0	99.12	98.81	202.4	22.6	103.11	115.91	152.81	102.01	69.13	115.72	35.91	159.27	14.43	42.93	255.63	113.85	158.96	156.42	0.35	0.0
Ccl27b	0.0	0.0	0.0	10.4	0.77	0.0	6.15	2.68	0.0	3.31	0.76	0.0	2.62	1.92	8.14	1.21	0.0	4.16	13.22	22.84	9.34	0.46	0.0
Cdr1	0.0	0.0	0.0	110.2	68.05	36.68	47.5	96.58	73.33	0.49	134.08	125.28	69.32	89.39	182.77	60.93	83.73	120.68	164.39	134.42	104.56	0.36	0.0
Dcun1d1	0.0	0.0	0.11	72.69	38.98	55.44	28.81	68.77	67.93	76.1	124.6	54.22	46.56	23.02	28.1	45.28	76.81	152.84	108.76	51.03	104.35	0.37	0.15
Dync2h1	0.0	0.0	0.0	12.97	6.83	0.0	5.35	3.31	12.11	0.03	3.09	12.21	12.1	1.5	0.65	6.46	0.0	14.51	24.52	0.0	7.05	0.06	0.0
Eif2a	0.0	0.0	0.0	160.23	4.01	0.0	15.03	83.03	32.04	105.66	54.02	75.83	158.72	166.03	99.4	18.69	83.47	139.23	74.07	215.32	144.29	69.67	0.0
