	Cux2_tdTnegative_cell_4	Rbp4_tdTpositive_cell_29	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
2210009G21Rik	0.0	0.0	0.0	8.74	7.61	6.82
2310005A03Rik	0.0	0.0	0.0	0.81	0.41	1.28
2610507B11Rik	0.0	1.77	16.06	108.1	104.63	107.37
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4933413J09Rik	0.0	0.0	0.0	0.2	0.18	0.15
5830418K08Rik	0.0	0.0	0.0	11.26	8.58	11.26
Adcy1	0.0	6.78	43.09	224.96	212.91	233.52
Ap1s3	0.12	5.49	3.8	10.15	9.11	11.48
Apoa1	0.0	0.0	0.0	0.1	0.0	0.21
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Atxn2	0.0	2.44	0.0	46.73	47.49	48.73
B230208H17Rik	0.0	7.53	0.0	117.59	113.13	118.71
B3gat3	0.0	73.88	8.25	138.52	165.08	159.06
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Cc2d1b	0.0	1.83	0.0	24.99	25.37	24.34
Cd4	0.0	0.0	0.0	8.68	8.33	8.41
Cdk16	0.0	0.12	0.0	206.47	218.5	219.97
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chrna5	0.0	0.13	0.2	3.0	2.42	2.85
Clcn2	0.0	34.38	0.15	45.55	48.57	47.78
Col8a1	0.0	0.0	0.0	1.77	1.64	1.41
Crtac1	0.0	63.15	7.59	62.95	67.27	66.8
Ctnnbip1	0.0	5.0	0.0	31.48	35.98	31.26
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dock4	0.0	2.87	5.05	54.79	49.85	53.18
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Epb4.1	0.0	6.41	0.0	19.44	16.96	18.44
Ercc5	0.0	12.15	0.0	14.77	13.8	13.53
F420014N23Rik	0.0	1.07	0.0	6.44	6.02	6.05
Fastkd5	0.0	0.0	0.0	7.6	6.7	5.72
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fzd4	0.0	0.0	0.0	5.84	6.79	4.19
Gas2l1	0.0	0.0	0.0	51.84	56.7	51.4
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm14015	0.0	0.38	0.0	0.55	0.48	0.54
Gpatch2	0.0	0.0	0.0	11.13	10.02	11.16
Gpr63	0.0	0.0	0.0	6.76	5.31	5.13
Havcr2	0.0	0.0	0.2	1.81	2.55	2.26
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hist2h2aa1	0.0	1.45	0.0	49.46	45.6	54.85
Hivep2	0.0	57.16	0.05	91.36	84.2	96.55
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Igsf8	52.66	16.01	2.41	177.56	211.72	181.99
Il2ra	0.0	0.85	1.41	1.66	1.62	1.43
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Kcnj6	0.0	0.17	0.79	35.49	28.94	38.3
Kctd9	0.0	0.0	0.0	11.47	10.83	11.3
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif21b	0.0	2.07	0.0	40.2	40.19	42.39
Klhdc8a	0.0	0.0	0.0	10.79	11.57	10.51
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Ldb3	0.0	0.0	0.0	5.58	4.94	5.38
Lipi	0.0	2.64	1.44	5.24	2.66	4.8
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lpgat1	0.0	24.01	11.87	138.31	127.47	133.8
Mapre3	0.18	0.0	35.5	190.73	200.75	198.18
Mrc2	0.0	0.06	0.0	3.82	4.74	3.02
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Myo5a	0.0	76.88	50.71	147.23	132.38	154.8
Mypn	0.0	0.0	0.0	1.76	2.17	1.54
Nedd1	0.0	2.9	0.0	3.29	2.99	3.1
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Noc2l	0.0	2.64	0.0	73.97	82.72	77.15
Nr2c2	0.0	22.56	0.0	47.92	44.91	49.08
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Oma1	0.0	0.0	0.0	8.67	6.53	6.26
Pcdhb13	0.0	0.0	0.0	4.35	5.11	5.2
Pcnxl2	0.0	8.42	0.0	45.59	44.85	48.1
Pdk3	0.0	0.0	0.0	38.63	36.34	39.56
Per2	0.0	9.76	0.0	20.12	18.62	13.79
Phkg1	6.4	6.93	10.54	16.95	18.38	19.54
Prickle2	0.0	39.17	12.29	85.57	84.5	85.69
Prr24	0.0	0.0	0.0	36.73	42.02	40.0
Qser1	0.0	0.0	0.0	7.33	6.0	6.65
Rab35	0.0	9.75	1.25	84.52	88.12	83.65
Rassf5	0.0	0.31	0.0	21.93	21.35	19.75
Rbm17	0.0	0.0	0.0	59.56	64.19	62.63
Senp3	0.0	0.0	0.24	68.89	64.51	65.4
Sepn1	0.0	0.0	0.0	16.31	17.33	17.31
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Son	0.19	93.17	30.49	120.76	112.75	125.09
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Thy1	0.0	58.1	16.9	659.66	677.75	653.67
Tspyl2	0.0	0.0	0.0	94.19	96.0	86.1
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Uggt1	0.0	0.08	2.92	23.11	20.72	22.85
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wbp7	0.0	10.36	0.0	25.14	25.82	27.79
Wdyhv1	0.0	17.32	0.0	23.23	23.31	20.38
Yipf2	0.0	0.0	0.0	21.82	24.06	23.67
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	22.17	9032.87	8417.95	8583.15
