	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_77	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110017F19Rik	0.0	0.0	0.0	0.42	0.2	0.96
1190003J15Rik	0.0	0.0	0.0	1.07	1.58	1.42
1300002K09Rik	0.0	0.0	0.0	0.08	0.05	0.03
1700007G11Rik	0.0	0.0	0.0	0.83	0.78	1.1
1700039E15Rik	0.0	0.0	0.0	0.17	0.05	0.12
1700113I22Rik	0.0	0.0	0.0	3.37	2.67	2.96
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930444P10Rik	0.0	0.0	0.0	1.15	0.4	0.89
4930526D03Rik	0.0	0.0	0.0	0.14	0.14	0.15
4930550C14Rik	0.0	0.0	0.0	0.08	0.08	0.59
4931409K22Rik	0.0	0.0	0.0	0.15	0.1	0.07
5830416I19Rik	0.0	0.0	0.0	0.19	0.19	0.12
6820408C15Rik	0.0	0.0	0.0	2.25	2.79	2.87
9030224M15Rik	0.0	0.0	0.0	1.24	1.6	2.69
9530053A07Rik	0.0	0.0	0.0	0.04	0.04	0.05
A630077J23Rik	0.0	0.0	0.0	0.32	0.2	0.33
A730020M07Rik	0.0	0.0	0.0	0.25	0.25	0.36
AF366264	0.0	0.0	0.0	0.12	0.04	0.08
Abhd16b	0.0	0.0	0.0	0.06	0.05	0.06
Adad2	0.0	0.0	0.0	0.1	0.1	0.43
Adipoq	0.0	0.0	0.0	0.08	0.08	0.25
Aire	0.0	0.0	0.0	0.26	0.1	0.16
Alox15	0.0	0.0	0.0	0.04	0.04	0.13
Ano2	0.0	0.0	0.0	3.63	4.01	3.67
Aqp6	0.0	0.0	0.0	0.24	0.05	0.2
Armc4	0.0	0.0	0.0	0.42	0.4	0.29
Asb10	0.0	0.0	0.0	0.26	0.2	0.4
Asb18	0.0	0.0	0.0	0.57	0.4	0.74
Asb4	0.0	0.0	0.0	0.51	0.4	0.71
Asmt	0.0	0.0	0.0	0.08	0.08	0.09
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC055111	0.0	0.0	0.0	0.1	0.05	0.16
BC147527	0.0	0.0	0.0	0.18	0.06	0.12
Bik	0.0	0.0	0.0	0.21	0.2	0.11
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bpifb9a	0.0	0.0	0.0	0.1	0.05	0.05
Brs3	0.0	0.0	0.0	0.32	0.1	0.18
C130021I20Rik	0.0	0.0	0.0	0.05	0.05	0.08
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Cd86	0.0	0.0	0.0	1.91	1.58	2.89
Ceacam16	0.0	0.0	0.0	1.04	0.8	0.88
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Ces1f	0.0	0.0	0.0	0.1	0.1	0.05
Ces2b	0.0	0.0	0.0	0.12	0.05	0.11
Chst5	0.0	0.0	0.0	0.72	0.72	1.16
Ckm	0.0	0.0	0.0	0.7	0.4	0.29
Cldn15	0.0	0.0	0.0	0.32	0.2	0.22
Col14a1	0.0	0.0	0.0	0.74	0.8	0.78
Col4a3	0.0	0.0	0.0	0.16	0.16	0.29
Cpsf3l	0.0	0.0	0.0	27.54	28.88	26.1
Creb3l3	0.0	0.0	0.0	0.87	0.2	0.36
Crxos1	0.0	0.0	0.0	0.23	0.26	0.3
Cstl1	0.0	0.0	0.0	0.68	0.8	0.53
Cubn	0.0	0.0	0.0	0.23	0.2	0.21
Cyp1b1	0.0	0.0	0.0	1.38	1.6	1.42
Cyp2c44	0.0	0.0	0.0	0.2	0.05	0.17
Cytl1	0.0	0.0	0.0	0.62	0.78	1.07
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
D730045A05Rik	0.0	0.0	0.0	0.17	0.1	0.71
Depdc7	0.0	0.0	0.0	1.44	1.58	1.37
Dlk1	0.0	0.0	0.0	5.73	6.24	6.19
Dnase2b	0.0	0.0	0.0	0.04	0.04	0.13
Dpy19l2	0.0	0.0	0.0	0.29	0.4	0.27
Dsc1	0.0	0.0	0.0	0.08	0.05	0.11
Dsg1c	0.0	0.0	0.0	0.32	0.32	0.43
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Duox2	0.0	0.0	0.0	0.02	0.02	0.03
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Egf	0.0	0.0	0.0	0.8	0.8	0.96
Elf3	0.0	0.0	0.0	0.2	0.1	0.11
Enpp3	0.0	0.0	0.0	0.46	0.4	0.36
Entpd4	0.13	0.61	2.93	98.2	97.74	126.54
Epyc	0.0	0.0	0.0	1.92	1.6	1.45
F11	0.0	0.0	0.0	0.04	0.04	0.05
Fam115c	0.0	0.0	0.0	0.44	0.39	0.31
Fasl	0.0	0.0	0.0	0.21	0.05	0.11
Fate1	0.0	0.0	0.0	0.32	0.2	0.22
Fbxo5	0.0	0.0	0.0	1.06	1.6	2.02
Fgf3	0.0	0.0	0.0	1.68	0.79	1.13
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fyb	0.0	0.0	0.0	3.17	2.67	3.65
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gabrq	0.0	0.0	0.0	1.44	0.79	0.97
Gbx1	0.0	0.0	0.0	0.76	0.39	0.78
Ggt6	0.0	0.0	0.0	0.05	0.05	0.34
Gltscr1	0.0	0.0	0.0	10.13	11.66	11.79
Gm11529	0.0	0.0	0.0	0.19	0.05	0.1
Gm14092	0.0	0.0	0.0	0.05	0.05	0.11
Gm15941	0.0	0.0	0.0	0.11	0.1	0.17
Gm2447	0.0	0.0	0.0	0.06	0.05	0.17
Gm4814	0.0	0.0	0.0	0.28	0.28	0.9
Gm4961	0.0	0.0	0.0	0.31	0.4	0.38
Gm5111	0.0	0.0	0.0	0.84	0.2	0.76
Gm572	0.0	0.0	0.0	0.14	0.14	0.07
Gm6260	0.0	0.0	0.0	0.22	0.1	0.11
Gm826	0.0	0.0	0.0	0.09	0.09	0.19
Gm9376	0.0	0.0	0.0	0.0	0.6	0.0
Gnb3	0.0	0.0	0.0	0.11	0.05	0.17
Gpr1	0.0	0.0	0.0	1.61	1.58	0.96
Gpr101	0.0	0.0	0.0	4.26	4.26	3.76
Gpr37	0.0	0.0	0.0	45.23	46.7	49.6
Gpr64	0.0	0.0	0.0	0.99	0.8	0.98
Gsg2	0.0	0.0	0.0	0.18	0.2	0.25
