	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_71	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_60	Gad2_tdTpositive_cell_80	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_69	Nos1_tdTpositive_cell_1	Pvalb_tdTpositive_cell_4
4930511M06Rik	39.41	97.04	6.66	44.02	130.23	48.01	129.96	270.72	135.48	98.31	88.91	70.56	54.33	28.21	88.67	191.32	38.48	10.35
A430107P09Rik	26.75	80.01	23.73	32.96	110.94	42.67	110.28	172.04	182.17	88.56	68.66	61.34	41.9	13.23	76.43	120.62	8.88	4.12
A730017L22Rik	33.72	78.65	14.52	44.45	165.96	47.94	121.61	150.66	143.88	116.97	55.02	63.68	47.11	34.53	90.68	183.64	22.16	0.58
Aim2	6.48	13.56	1.35	7.02	24.32	2.25	34.75	14.71	25.8	18.76	12.79	7.66	8.45	2.11	7.94	22.44	0.0	0.23
Bptf	2.88	14.5	0.0	0.69	33.0	0.0	47.55	32.66	160.75	45.38	29.67	0.67	5.88	23.12	7.09	25.65	0.0	0.0
Celf2	17.81	44.61	15.48	14.31	17.88	0.54	76.49	26.3	186.75	61.47	23.85	40.65	12.71	7.25	68.23	165.55	0.0	11.0
Cntn5	0.0	0.0	0.0	0.0	0.0	0.0	12.95	0.14	149.3	85.34	0.0	0.0	18.85	0.0	0.0	117.69	0.0	0.0
Colec12	17.24	17.01	12.39	16.63	39.82	16.12	45.46	56.0	51.34	25.55	28.2	19.66	24.13	13.32	25.19	44.32	6.75	6.16
Ephb2	0.27	4.45	0.55	0.62	2.28	0.0	1.36	1.12	4.84	1.33	1.62	1.74	0.92	0.15	1.05	2.06	0.0	0.05
Fcrl6	0.45	1.46	0.46	0.52	3.66	0.85	3.18	6.44	11.79	2.38	1.43	0.5	1.14	0.4	1.46	2.1	0.43	0.0
Gas5	54.14	212.0	113.05	186.79	61.29	46.56	192.8	579.8	770.46	185.93	49.47	26.42	110.2	77.53	97.38	114.14	0.0	40.1
Gjc3	14.46	46.3	6.86	17.5	38.92	27.67	64.76	71.41	99.0	42.57	47.82	31.42	28.11	9.35	37.06	70.69	10.41	0.6
Gm10785	11.3	20.76	1.74	10.87	25.82	9.88	32.14	38.62	302.09	30.1	27.2	13.21	8.58	9.35	23.69	32.11	6.5	0.45
Gm17821	133.44	213.86	62.19	114.51	393.56	184.0	384.3	500.14	437.14	370.57	208.81	223.86	202.99	112.57	313.93	460.32	30.1	7.38
Gm4262	14.46	55.54	1.99	5.14	16.47	6.0	35.69	30.11	47.54	17.51	17.18	16.15	13.71	1.96	20.27	12.63	0.55	8.13
Grina	133.33	35.96	0.0	16.03	241.28	503.64	270.38	556.88	1066.95	368.15	157.66	154.29	314.16	579.21	175.46	1056.75	0.0	35.76
H2-Q4	95.19	121.77	14.8	70.41	132.31	49.07	219.38	172.45	166.37	131.78	48.89	113.79	88.06	22.77	143.0	201.94	16.38	12.74
Kcnq1ot1	25.13	53.2	25.0	43.9	122.56	63.82	119.97	139.99	122.54	90.41	68.01	53.21	46.52	32.65	72.23	125.8	17.52	0.7
Olfr856-ps1	51.07	236.49	125.19	194.35	384.2	170.22	314.22	244.64	962.45	320.53	49.95	177.96	159.43	90.24	125.04	391.05	6.56	8.02
Pot1b	24.01	35.93	4.0	18.44	79.38	43.24	90.38	117.57	94.34	54.97	56.23	35.95	17.09	14.5	22.08	59.43	4.42	0.0
Prlr	2.0	1.79	0.04	0.54	1.1	0.21	2.15	2.67	4.36	2.96	2.9	0.81	0.38	0.23	0.93	2.58	0.0	0.0
Rgs10	188.5	980.95	408.94	1134.68	3808.23	0.42	1529.84	852.0	3593.79	456.81	0.0	672.83	218.18	315.31	1952.86	546.58	0.0	0.0
Slc24a3	0.43	29.74	0.0	80.48	304.77	0.1	212.62	175.15	327.7	191.79	14.47	0.0	3.61	65.41	112.82	193.38	0.0	0.0
Slc2a4	1.06	0.58	0.87	0.92	4.5	0.0	2.31	1.43	4.36	1.66	0.4	0.0	1.25	0.39	1.15	2.43	0.0	0.0
Ston2	0.27	1.05	0.16	0.2	1.3	0.93	0.81	1.46	4.26	0.73	0.55	0.41	0.37	0.18	0.39	3.56	0.11	0.0
Syt15	2.31	2.59	0.81	3.75	3.93	0.87	3.02	3.81	7.32	2.58	1.61	4.53	2.92	0.95	0.82	5.01	0.43	0.14
Tnfrsf10b	16.68	55.33	3.2	15.68	43.58	30.36	62.44	63.8	93.84	47.37	49.46	26.23	34.51	14.26	43.31	42.1	14.04	0.11
Vip	26849.21	27223.39	48402.26	35690.76	26835.38	42738.55	18697.63	20043.81	15292.85	39789.49	34420.5	53179.5	32676.37	46837.05	32241.62	19091.82	0.0	0.0
Zfp71-rs1	43.96	61.56	14.79	27.12	125.6	60.01	110.04	135.26	194.72	110.22	82.4	73.88	49.49	27.53	89.61	139.13	17.3	1.21
