	Calb2_tdTpositive_cell_38	Cux2_tdTpositive_cell_86	Gad2_tdTpositive_cell_3	Gad2_tdTpositive_cell_27	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_53	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_56	Gad2_tdTpositive_cell_59	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_76	Htr3a_tdTpositive_cell_8	Htr3a_tdTpositive_cell_9	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_16	Htr3a_tdTpositive_cell_26	Htr3a_tdTpositive_cell_28	Htr3a_tdTpositive_cell_30	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_53	Htr3a_tdTpositive_cell_60	Htr3a_tdTpositive_cell_61	Ndnf_tdTpositive_cell_14	Ndnf_tdTpositive_cell_18	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_12	Nkx2.1_tdTpositive_cell_14	Nos1_tdTpositive_cell_8	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_41	Nos1_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_80	Vip_tdTpositive_cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700031M16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930578N16Rik	0.0	3.02	0.0	15.36	0.0	0.0	0.0	3.95	0.0	0.0	26.0	0.0	20.15	4.36	0.0	0.0	0.0	0.0	0.0	0.0	63.46	0.0	0.0	0.0	21.53	0.0	0.0	0.0	0.0	24.17	0.0	0.0	0.0	0.0	3.16	2.06	2.97
8430410A17Rik	0.0	0.0	19.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	121.13	0.0	0.0	0.0	234.86	0.0	0.0	240.45	160.58	184.78	0.0	0.0	0.0	0.0	0.0	0.0	87.89	110.75	0.0	3.03	0.0	21.53	26.03	23.98
Arrb2	14.42	0.0	0.0	2.44	0.5	0.0	0.0	9.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.95	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.15	2.8	0.0	0.56	0.0	44.78	44.35	40.46
Arxes1	15.02	0.0	15.57	2.37	162.3	55.19	0.72	0.0	0.0	0.0	0.0	0.44	0.0	0.34	0.0	0.0	0.46	265.4	0.0	0.0	155.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.19	0.0	17.38	0.0	0.0	0.0	33.9	38.1	37.3
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Cables2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.56	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	82.93	0.0	25.74	27.62	25.95
Cacna1g	0.0	0.0	0.0	0.24	4.65	0.0	0.52	0.0	12.62	1.79	1.22	0.0	2.67	0.0	0.0	0.04	0.0	0.16	0.0	0.0	35.57	0.91	6.21	0.06	10.76	0.0	0.0	0.0	0.04	3.65	0.0	7.52	0.0	0.0	33.7	32.27	39.81
Casc3	0.0	0.0	0.0	39.26	0.0	0.0	10.01	0.09	0.0	0.0	25.93	0.0	54.31	0.0	0.0	0.16	0.0	0.0	0.0	0.0	141.36	0.0	14.84	60.59	0.0	0.0	0.0	30.28	0.0	33.89	0.0	36.38	4.59	0.0	46.6	47.1	45.84
