	Calb2_tdTpositive_cell_42	Cux2_tdTpositive_cell_48	Htr3a_tdTpositive_cell_109	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTpos_100cell_2
0610043K17Rik	0.0	3.94	0.0	0.0	0.0	0.0	0.0	1.2
1700047I17Rik2	3.28	35.61	1.32	11.32	9.49	1.75	24.95	14.19
1700049G17Rik	0.0	0.09	0.0	0.0	0.0	0.0	0.0	1.6
1700066J24Rik	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0
1700066O22Rik	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0
2310001A20Rik	121.12	172.74	128.94	3.63	0.0	128.67	82.26	37.77
2310047B19Rik	0.0	0.25	0.0	0.0	0.0	0.0	0.0	1.51
2610002I17Rik	0.17	99.57	1.18	0.0	0.22	0.12	0.0	13.67
2610528J11Rik	0.0	26.82	0.0	0.0	0.0	0.0	0.0	0.0
2900002K06Rik	0.0	0.56	0.0	0.0	0.0	0.0	26.97	1.29
3830403N18Rik	0.0	21.23	0.0	0.0	0.0	0.0	0.0	0.0
4632415K11Rik	0.0	54.02	0.0	0.0	0.0	0.0	0.0	6.16
4732491K20Rik	0.0	137.55	0.0	0.0	0.0	0.0	0.0	7.46
4921511H03Rik	0.0	8.5	0.0	0.0	0.0	0.0	0.0	0.0
4930443G12Rik	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0
4930448I18Rik	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
4930471C04Rik	0.0	16.21	0.0	0.0	0.0	0.0	0.0	0.0
4930548J01Rik	0.0	0.65	0.67	0.46	0.0	0.0	0.0	0.0
4930555G01Rik	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.22
4930556G01Rik	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0
4931402G19Rik	0.07	1.42	0.83	0.49	0.94	0.1	0.2	0.42
4933404O12Rik	0.35	36.12	0.77	0.1	0.28	0.43	0.24	7.36
4933438K21Rik	1.23	5.83	3.1	0.76	0.6	2.08	0.29	1.61
6230400D17Rik	0.0	2.94	0.0	0.0	0.0	0.0	0.0	3.6
6430531B16Rik	0.0	107.42	0.0	0.0	0.0	0.0	0.0	1.83
6430550D23Rik	0.0	0.5	0.0	0.0	0.0	0.0	0.0	1.55
8030423F21Rik	2.52	14.12	5.35	2.51	7.15	2.11	1.16	3.18
9330111N05Rik	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0
A230077H06Rik	0.76	3.36	0.65	0.86	1.43	1.12	1.52	1.45
A630075F10Rik	16.9	23.72	11.2	5.41	3.16	14.92	4.65	4.94
A730036I17Rik	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0
