	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_58	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
0610037P05Rik	911.37	31.96	0.0	1.01	274.79	182.73	114.17	72.19	90.13	284.44	195.44	207.3	92.84	285.27	164.82	215.2	2.0
1500012F01Rik	0.0	170.19	0.0	0.0	145.43	0.0	45.37	22.41	62.74	87.15	3.52	116.72	4.65	14.3	23.98	82.06	0.0
1810027O10Rik	0.0	239.28	1.78	229.71	340.94	405.37	461.78	240.04	105.5	271.15	402.14	525.16	255.35	182.45	233.46	268.15	0.0
3110057O12Rik	2.02	0.0	0.0	0.0	9.0	0.0	3.12	20.68	0.0	4.67	9.43	29.7	11.51	0.52	9.28	0.56	0.0
5830417I10Rik	4.49	5.32	28.05	4.66	6.33	7.38	7.79	11.89	3.94	7.28	4.52	19.97	14.38	8.1	6.29	7.07	6.96
A930001A20Rik	8.22	11.55	4.79	9.13	12.11	19.64	9.44	9.24	10.44	8.83	8.64	12.42	7.99	15.49	10.33	11.36	0.0
Actl6a	0.0	0.0	0.0	0.0	46.86	0.0	17.13	0.0	80.37	47.38	0.0	15.93	81.2	15.73	0.0	12.15	0.0
Adal	0.0	6.91	0.0	0.0	57.6	0.0	0.0	49.72	1.94	0.0	1.42	0.0	0.0	15.27	49.46	59.98	0.0
Ak1	0.0	80.52	0.0	70.78	218.01	284.56	232.96	62.64	204.23	295.93	84.37	243.32	113.73	138.01	132.47	266.83	0.0
Anapc13	0.0	0.0	0.0	65.16	216.83	219.29	324.56	172.1	259.2	211.97	53.56	83.68	94.71	128.77	176.99	192.56	614.9
Atp5j	276.1	1965.3	1072.52	1580.27	2152.7	3456.02	3234.76	1785.65	2047.83	2279.53	2067.64	2591.56	1511.07	2171.72	2121.22	1465.1	759.2
Atp5j2	12.16	1954.27	0.0	994.14	1039.18	1862.4	1421.62	1043.09	1300.18	1853.26	1732.7	2722.5	1463.22	1065.26	1858.03	1203.87	0.0
Atp5k	211.72	873.46	343.59	612.16	1275.7	1025.39	1629.29	1009.4	1408.12	2025.03	1264.84	1824.41	1057.44	1466.67	1329.68	1016.07	78.89
Cisd3	2.71	0.0	0.0	0.0	166.79	60.18	163.33	118.57	250.02	82.27	144.22	168.7	157.23	231.37	0.0	70.76	0.0
Cox7a2	0.0	1536.35	462.12	857.46	1465.8	1667.99	1430.66	1187.45	932.87	1371.58	1216.21	1509.89	1536.62	1251.52	947.86	1325.59	421.47
Dctn1	0.0	0.36	0.0	0.0	16.0	1.44	9.57	10.31	39.47	6.27	0.48	15.67	8.91	5.12	8.74	16.26	0.0
Dffa	0.0	0.0	0.0	0.0	53.82	63.38	62.75	84.59	42.22	116.58	16.12	59.63	0.0	98.92	25.11	107.21	0.0
Fam196a	0.0	0.0	0.0	0.0	68.49	72.22	215.36	59.82	38.09	154.2	71.35	70.07	59.27	90.98	36.75	91.58	0.0
Farsb	0.0	0.58	0.0	0.33	64.52	209.12	23.9	52.39	67.02	119.81	122.98	70.38	53.95	35.39	59.06	186.97	0.0
Hiat1	0.0	0.0	0.0	0.0	10.55	0.0	13.58	36.67	0.0	20.59	0.0	0.22	38.03	0.0	0.0	3.71	0.0
Kcnab2	0.0	0.2	0.0	29.71	39.01	47.5	45.26	89.61	34.78	113.61	33.32	59.43	64.08	35.72	25.17	98.54	0.0
Ldhb	7486.96	8970.97	2832.54	6067.88	8752.31	10118.08	10894.4	10165.1	11261.44	13571.31	12546.17	8013.75	11010.48	10182.84	7750.55	11746.38	5577.5
Mrpl16	0.0	0.0	0.0	78.95	130.52	85.48	5.7	26.81	79.38	97.94	129.32	98.53	0.0	177.32	1.26	4.1	0.0
Ndufs3	0.0	170.56	0.0	141.59	121.91	446.08	507.29	567.36	501.56	355.1	407.22	334.92	422.28	357.38	290.53	304.6	0.0
Pdcd6	0.0	151.55	4.07	1.88	208.17	156.73	379.62	146.91	129.89	234.83	157.34	226.82	237.21	148.1	97.77	198.65	0.0
Pvalb	0.0	0.0	0.0	1296.6	3332.67	1319.97	2144.98	1316.24	1740.57	1408.27	1731.8	2136.15	1295.74	1914.29	760.46	3516.69	0.0
Robo1	0.0	0.03	0.0	0.09	4.97	6.42	1.43	10.24	0.0	8.11	0.48	0.89	0.21	0.77	4.54	16.66	0.0
Rplp2	299.64	57.47	120.68	307.94	474.77	814.45	522.29	275.76	445.44	486.83	458.21	391.56	433.94	664.75	480.84	533.71	788.28
Snrpg	1.38	0.0	0.0	0.0	243.67	304.5	93.4	28.39	151.16	159.8	111.91	189.42	157.07	84.41	48.24	169.86	0.0
Ttc7b	0.0	14.43	0.0	1.22	3.58	26.27	3.59	17.09	19.67	40.09	3.88	49.45	37.76	55.54	14.72	31.34	0.0
Ubl5	64.54	186.61	114.72	64.89	119.05	115.84	140.04	60.8	84.68	130.27	143.66	137.67	97.89	94.08	70.91	102.88	0.0
Zrsr1	0.0	0.11	0.0	0.02	5.28	0.0	30.91	0.86	32.51	0.06	0.0	24.65	43.59	7.01	1.62	0.0	0.0
c16_SSU-rRNA_Hsa	0.0	0.0	0.0	0.0	0.0	419.5	648.71	0.0	0.0	71.1	236.96	25.48	0.0	282.1	0.0	0.0	0.0
c18_LSU-rRNA_Hsa	0.0	52.99	5.87	35.74	113.25	114.48	72.87	100.08	51.25	49.63	126.27	806.64	42.95	120.01	28.02	126.51	5.66
