	Calb2_tdTpositive_cell_13	Calb2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_40	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70
0610007P14Rik	60.31	652.01	0.16	0.0	0.0	0.0	361.14	33.73	188.07	71.32	302.28	411.33	185.25	910.75	0.0	0.0	54.02	89.17	0.0	0.0	61.9	166.78	91.62	101.83	5.39
0610030E20Rik	1.09	13.23	1.29	0.13	1.58	1.06	0.76	2.77	0.71	0.62	2.1	2.66	1.74	7.0	2.98	1.27	0.74	0.51	5.78	0.0	0.49	1.67	1.17	0.67	5.31
1700128F08Rik	56.01	90.9	71.15	2.55	15.09	0.0	59.55	39.53	13.69	49.57	69.14	66.6	66.68	102.73	97.54	68.28	38.72	16.75	12.65	0.0	39.01	66.69	67.81	67.0	118.96
4930413F20Rik	0.0	6.5	0.0	0.0	0.0	0.0	2.18	0.0	0.0	0.0	0.0	1.37	0.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.73
4930578E11Rik	0.54	2.89	0.54	0.0	0.3	0.0	0.29	0.0	0.0	0.3	0.62	0.7	0.16	0.54	0.78	0.34	0.16	0.15	0.0	0.0	1.21	0.31	0.0	0.0	1.47
6430548G04	14.84	38.4	9.03	0.0	0.0	0.0	4.06	5.44	0.93	1.56	9.86	13.05	9.02	19.67	0.0	7.13	2.47	6.18	20.08	0.0	25.48	3.43	19.07	10.35	0.0
A730017L22Rik	113.74	386.73	95.86	31.6	17.99	61.59	234.44	90.73	29.58	57.78	186.2	87.23	47.11	132.53	70.73	86.84	38.96	29.98	83.92	0.0	101.57	74.27	97.42	69.75	210.09
Amy2a2	0.14	1.24	0.36	0.07	0.0	0.0	0.04	0.15	0.02	0.24	0.81	0.16	0.07	0.52	0.0	0.0	0.15	0.1	0.06	0.0	1.43	0.21	0.15	0.33	0.87
Amy2a3	0.14	1.24	0.36	0.07	0.0	0.0	0.04	0.15	0.02	0.24	0.81	0.16	0.07	0.52	0.0	0.0	0.15	0.1	0.06	0.0	1.43	0.21	0.15	0.33	0.87
Amy2a4	0.14	1.24	0.36	0.07	0.0	0.0	0.04	0.15	0.02	0.24	0.81	0.16	0.07	0.52	0.0	0.0	0.15	0.1	0.06	0.0	1.43	0.21	0.15	0.33	0.87
Anp32b	0.0	135.21	79.49	0.0	0.0	0.0	0.0	0.28	49.81	23.32	0.0	11.51	0.0	183.16	0.0	62.98	35.08	9.19	0.0	0.0	45.89	0.0	5.82	1.18	0.0
Cacna2d3	0.49	276.21	119.15	0.0	0.0	0.0	152.94	109.62	69.99	41.07	5.6	47.56	0.0	12.98	94.99	179.51	52.13	13.14	0.0	0.0	305.67	8.74	50.29	92.65	207.07
Ccnl2	26.14	225.51	24.75	0.0	0.0	0.0	0.0	1.39	0.0	3.02	25.44	6.05	0.0	0.0	0.82	0.17	39.11	0.0	0.22	0.0	0.0	0.0	0.0	0.0	195.21
Cd200r2	14.92	22.26	7.43	1.91	0.0	0.7	7.52	4.18	2.88	5.39	10.24	13.39	2.89	20.0	11.84	18.66	3.24	4.22	0.59	0.0	4.81	4.86	9.13	8.69	26.3
Cnr1	635.78	712.02	14271.7	0.0	0.06	0.0	14712.45	18446.25	33283.94	19184.04	19801.43	16437.47	17862.67	1510.91	19681.78	7913.61	22064.64	33041.05	0.0	0.0	12766.46	14288.55	25768.68	23267.78	1764.01
Cpeb2	0.06	150.06	50.66	0.0	0.0	0.0	0.0	0.0	13.9	0.0	5.21	0.88	0.0	83.1	7.34	0.0	5.56	20.07	0.0	0.0	2.45	0.0	21.58	0.0	120.07
Cts8	0.79	3.73	1.4	0.21	0.0	0.71	0.64	1.67	0.16	0.2	2.98	0.0	0.81	2.36	0.84	1.8	0.17	0.67	0.0	0.0	1.2	1.61	4.29	1.34	1.97
Cxcl5	9.43	30.92	4.67	0.0	1.22	2.34	0.47	3.56	3.18	0.0	6.31	3.17	3.33	25.03	5.64	27.62	1.28	0.12	0.0	0.0	2.22	2.56	3.63	3.81	18.76
D030040B21Rik	2.63	6.84	1.06	0.43	1.32	0.67	4.63	0.98	1.57	1.33	2.21	2.65	2.15	3.21	1.71	2.19	0.48	0.67	4.72	0.0	2.61	1.93	1.72	1.57	5.15
D14Ertd668e	1.03	6.52	1.09	0.0	0.0	0.0	0.28	0.7	1.08	0.14	0.74	0.0	0.0	1.94	2.13	1.38	0.26	0.14	0.0	0.0	3.0	0.0	0.36	0.0	4.1
Ddx5	29.2	1127.1	297.48	516.69	0.28	0.13	66.5	112.92	129.98	224.29	105.51	179.04	99.98	390.9	178.5	373.65	167.71	166.04	15.0	786.64	327.52	331.62	164.69	202.94	1053.82
Exoc3	293.6	420.65	95.37	0.0	0.0	0.0	189.63	101.9	151.39	117.26	181.22	112.04	123.64	128.58	214.24	88.77	50.67	240.95	0.0	226.79	11.64	0.79	78.1	147.76	534.39
Fsd1	7.02	812.96	94.85	0.0	0.0	0.0	0.0	103.31	206.56	0.0	85.56	0.0	0.0	0.0	60.97	0.0	182.58	35.95	0.0	0.0	0.36	2.14	80.01	0.0	386.35
Fzd3	11.27	155.31	27.01	0.0	0.05	0.01	48.06	26.26	32.78	12.68	6.2	38.67	0.03	55.42	14.05	37.03	23.3	0.22	0.13	0.0	45.48	0.19	52.84	24.8	117.06
Gm10471	0.0	15.38	0.17	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.19
Gm4841	13.25	30.49	19.58	0.19	2.79	5.28	15.03	12.82	8.27	6.59	23.47	12.33	11.9	28.55	22.97	12.68	11.68	6.62	3.04	0.0	20.74	11.84	9.44	11.91	39.88
Gnptg	240.56	667.2	245.94	0.0	0.0	5.04	212.25	49.3	36.65	72.91	0.0	185.48	459.27	412.66	0.0	0.0	251.29	247.91	0.0	0.0	295.08	7.91	121.94	122.02	384.7
Grpr	286.96	920.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	89.37	758.69	0.0	166.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0
Havcr2	0.0	0.64	0.14	0.0	0.11	0.0	0.0	0.0	0.09	0.0	0.18	0.15	0.15	0.0	0.16	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.21	0.0	0.3
Hmmr	11.35	23.0	12.57	3.89	0.0	0.72	7.61	5.11	6.23	8.52	12.51	10.44	13.95	18.65	16.4	11.81	3.97	7.9	8.94	0.0	17.04	18.98	11.22	8.08	28.84
Il5ra	10.31	20.27	11.01	0.51	4.36	0.32	11.74	3.75	3.89	2.88	7.35	11.3	7.23	17.06	14.19	6.35	8.75	3.74	2.68	0.0	17.21	7.94	11.95	9.92	30.72
Letmd1	1.8	314.11	0.22	0.0	0.38	0.18	0.0	67.8	20.23	44.21	63.51	180.37	17.13	129.41	0.0	4.65	2.35	72.29	0.0	0.0	0.24	0.2	194.22	0.0	0.3
Limk2	0.0	361.3	1.75	0.0	0.0	0.0	0.0	0.1	14.03	0.0	3.88	10.38	45.44	0.0	0.0	0.09	3.94	8.85	0.0	0.0	10.84	3.06	0.21	0.0	382.71
Mcrs1	147.93	271.11	101.66	0.0	0.0	0.0	135.59	63.97	0.0	60.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	106.55	207.03
Msrb2	177.98	383.18	91.67	0.0	0.0	0.0	0.0	0.33	163.08	0.81	0.43	78.07	104.49	212.39	3.8	0.0	62.33	0.0	0.47	0.0	0.0	0.0	0.0	0.0	252.73
Mtmr6	0.05	634.02	112.54	0.0	0.0	0.0	11.38	116.64	154.06	79.78	167.14	114.25	26.92	192.77	63.69	0.0	187.32	101.98	0.0	0.0	11.9	44.42	1.64	105.35	406.44
Myh10	47.98	120.29	31.27	0.0	0.0	0.0	21.01	24.89	17.92	0.0	0.0	36.45	0.0	9.76	11.62	0.0	0.09	16.75	0.0	0.0	8.02	0.0	75.06	0.9	127.18
Nipal2	0.0	152.45	0.0	0.0	0.0	0.0	89.11	0.0	0.0	0.0	0.0	26.93	0.0	74.95	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	22.26	0.0	0.2
Nlgn2	4.28	89.64	16.94	0.0	0.0	0.0	32.82	0.67	32.65	0.3	0.0	0.07	31.22	0.0	2.7	13.07	33.56	9.15	0.0	0.0	0.0	0.0	1.93	26.22	77.87
Nlrc4	0.51	1.22	0.39	0.09	0.34	0.0	0.07	0.08	0.07	0.2	0.0	0.0	0.18	0.3	0.11	0.0	0.23	0.0	0.0	0.0	0.17	0.45	0.13	0.0	1.03
Nr2c2	0.26	113.46	29.4	0.04	0.0	0.0	2.19	0.08	1.72	5.27	22.06	0.22	52.15	0.0	6.39	78.68	0.0	8.65	0.0	0.0	70.62	0.0	0.0	77.81	137.97
Nrxn2	3.67	9.9	2.47	0.0	0.0	0.0	0.37	0.86	0.52	0.8	0.32	3.06	2.98	4.24	4.89	3.03	2.9	0.21	0.09	0.0	3.85	1.29	1.11	0.58	4.44
Nutf2-ps1	295.98	837.35	348.74	0.0	54.75	540.83	412.3	159.82	15.65	62.83	54.06	0.0	253.81	700.82	427.32	6.69	155.34	169.11	0.0	0.0	0.74	0.0	0.0	366.45	321.38
Onecut2	0.02	0.32	0.07	0.0	0.0	0.0	0.11	0.0	0.05	0.03	0.15	0.0	0.0	0.09	0.1	0.1	0.07	0.02	0.11	0.0	0.06	0.04	0.04	0.0	0.31
Peg3	12.84	366.97	119.21	0.0	0.05	0.0	33.3	67.55	38.81	57.22	40.72	85.36	20.61	11.54	103.91	5.35	69.71	78.33	0.0	127.79	253.61	88.26	63.39	62.34	269.39
Psmd6	165.95	1255.49	134.21	0.0	0.0	0.0	198.24	337.22	287.22	203.28	443.71	87.33	184.28	432.1	158.77	717.74	89.64	169.71	0.43	0.0	661.17	197.93	155.31	449.54	746.13
Rad50	0.0	111.13	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	10.85	34.46	0.0	51.32	26.25	0.0	27.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.66
Rpa2	99.23	334.9	0.11	0.0	0.0	0.0	0.0	0.0	0.0	57.08	84.99	0.0	99.29	0.0	132.3	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	301.14
Sdccag8	77.4	399.91	109.46	0.0	0.0	0.0	0.0	9.95	23.86	59.87	167.96	0.0	0.0	42.1	0.0	0.0	3.12	16.67	0.0	0.0	0.24	0.1	0.0	10.72	272.6
Selplg	0.94	4.9	0.44	0.0	0.0	0.0	0.0	0.63	0.19	0.0	0.0	0.24	0.42	0.0	1.28	0.17	1.71	0.37	0.0	0.0	0.0	0.37	0.14	1.43	2.42
Serpinb9d	0.0	0.58	0.09	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.15	0.11	1.36	0.27	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.38
