	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_32	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_71	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_23	Rbp4_tdTnegative_cell_4	Scnn1a.Tg2_tdTpositive_cell_18	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_29	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_33	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_64
2810405K02Rik	122.02	0.0	0.0	229.69	233.91	197.83	169.47	181.83	259.3	317.76	117.74	283.62	0.0	0.0	205.31	929.91	197.2	537.9	53.36	167.56	185.84	280.33	4.9	481.79	536.88	0.0	272.19	238.85	112.48	208.69	0.0	307.36	103.85
2810433D01Rik	22.0	19.75	3.95	1.42	7.52	30.23	17.91	3.54	13.1	6.83	3.75	12.29	9.59	0.0	6.87	2.76	10.86	23.42	23.06	23.75	10.49	30.09	21.94	36.0	41.58	13.3	18.19	35.38	11.05	7.77	44.39	32.84	2.73
4930555G01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	17.46	0.0	8.47	0.0	0.07	0.78	5.35	0.48	0.0
Acbd5	0.08	52.47	0.0	0.0	12.54	0.0	0.0	1.04	26.85	0.19	0.03	0.0	39.45	0.0	47.48	0.0	7.26	46.79	0.0	0.0	101.09	120.85	38.33	149.32	1.86	0.2	24.62	152.66	28.62	0.0	0.0	1.87	196.95
Acer3	0.04	0.0	0.0	0.0	0.0	0.0	0.0	33.2	26.55	30.75	0.01	0.54	0.0	0.19	0.12	0.0	0.07	0.15	0.0	0.0	0.0	0.18	50.94	121.88	0.0	0.0	0.0	109.22	0.23	56.19	46.19	0.0	0.0
Akap11	70.48	46.2	48.6	0.76	0.61	40.81	58.28	19.46	11.83	42.71	42.75	120.59	0.0	0.07	0.16	0.05	0.09	0.71	25.59	40.23	77.22	0.12	30.63	98.78	29.23	0.08	29.32	73.09	1.14	25.57	1.39	114.7	0.05
Akap5	30.22	71.17	5.44	5.14	348.13	103.38	397.18	328.86	294.32	173.16	493.29	33.39	20.43	1.95	11.74	2.38	375.81	151.42	187.64	342.57	240.59	250.55	284.13	561.76	430.46	306.91	404.52	558.9	277.45	555.69	71.53	169.2	4.5
Akt3	0.03	0.0	0.0	0.0	10.03	114.21	13.26	0.27	1.52	0.0	27.59	0.0	0.0	0.0	35.05	0.0	7.61	0.07	0.0	25.38	0.0	3.81	0.28	0.0	103.36	0.52	78.44	16.27	6.25	1.24	0.0	0.0	0.11
Anxa13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.17	0.0	81.6	0.0	0.0	0.0	0.0	0.0	0.0
Arap2	20.56	0.0	0.0	0.0	0.0	0.0	2.52	11.17	56.55	0.0	0.04	34.07	0.06	289.54	14.14	0.0	125.56	0.0	45.58	147.44	100.46	15.42	85.66	8.38	68.96	3.04	199.16	64.93	33.83	24.35	0.0	0.0	0.07
Atg4b	84.04	13.7	0.0	0.0	0.0	115.02	0.0	44.82	0.0	0.0	105.24	18.97	0.0	0.0	1.18	0.0	104.0	0.0	11.68	3.57	0.0	0.22	103.04	0.0	207.19	4.45	91.97	0.3	0.14	120.9	0.0	0.13	0.0
B3gnt1	165.04	126.57	374.92	146.4	0.0	279.68	19.36	238.29	82.24	0.0	157.89	5.23	113.84	0.0	79.7	0.0	0.12	65.09	173.47	311.51	137.96	0.0	309.44	441.82	244.52	0.0	662.25	201.66	121.5	159.78	153.79	0.0	261.16
Bicd1	1.36	0.0	0.0	0.0	14.28	64.75	20.48	38.24	4.49	29.98	0.05	0.0	77.69	0.0	10.53	0.07	19.47	28.94	0.27	3.24	42.37	18.72	21.45	13.09	57.84	0.0	91.85	0.0	6.84	13.87	0.0	0.0	44.84
Btf3l4	0.2	0.0	0.0	157.08	68.74	0.0	85.27	17.81	34.78	2.24	143.59	22.28	156.36	0.0	1.44	0.0	48.62	94.71	56.24	224.41	147.53	1.46	96.15	172.77	58.09	151.22	103.92	199.48	36.27	0.0	44.72	365.58	7.45
