	Htr3a_tdTpositive_cell_30	Htr3a_tdTpositive_cell_46	Sst_tdTpositive_cell_71	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.04	0.04
1700001K23Rik	0.0	0.0	0.0	0.22	0.22
1700003L19Rik	0.0	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.11
1700011F14Rik	0.0	0.0	0.0	0.19	0.19
1700023A16Rik	0.0	0.0	0.0	0.16	0.16
1700024P03Rik	0.0	0.0	0.0	0.21	0.21
1700034F02Rik	0.0	0.0	0.0	0.14	0.14
1700061J05Rik	0.0	0.0	0.0	0.11	0.11
1700113I22Rik	0.0	0.0	0.0	3.37	2.96
2310065F04Rik	0.0	0.0	0.0	0.07	0.07
4930403N07Rik	0.0	0.0	0.0	0.04	0.04
4930544D05Rik	0.0	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.0	0.07	0.07
4930562C15Rik	0.0	0.0	0.0	0.08	0.08
9230102K24Rik	0.0	0.0	0.0	0.15	0.16
9230104L09Rik	0.0	0.0	0.0	0.16	0.16
A4gnt	0.0	0.0	0.0	0.07	0.07
Adamdec1	0.0	0.0	0.0	0.04	0.04
Akr1c12	0.0	0.0	0.0	0.08	0.08
Ankrd1	0.0	0.0	0.0	0.17	0.17
Ankrd9	0.0	0.0	0.0	8.46	8.41
Apob	0.0	0.0	0.0	0.01	0.01
Atp8b3	0.0	0.0	0.0	0.04	0.09
Bhlhe23	0.0	0.0	0.0	0.08	0.08
Blk	0.0	0.0	0.0	0.04	0.04
Bsnd	0.0	0.0	0.0	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.09
Capn13	0.0	0.0	0.0	0.04	0.04
Ccdc154	0.0	0.0	0.0	0.04	0.04
Ccl2	0.0	0.0	0.0	0.13	0.13
Ccl27b	3.14	0.0	16.48	30.63	22.96
Ccr3	0.0	0.0	0.0	0.03	0.03
Chat	0.16	0.0	0.14	4.18	4.2
Clec12b	0.0	0.0	0.0	0.07	0.07
Cyp3a57	0.0	0.0	0.0	0.06	0.06
D830046C22Rik	0.0	0.0	0.0	0.08	0.17
Dhrs2	0.0	0.0	0.0	0.08	0.08
Dnajc5b	0.0	0.0	0.0	0.11	0.11
F630028O10Rik	0.0	0.0	0.0	0.07	0.07
Fam89a	0.0	0.0	0.0	2.44	2.44
Fmo4	0.0	0.0	0.0	0.06	0.06
Fndc3c1	0.0	0.0	0.0	0.02	0.02
Foxi1	0.0	0.0	0.0	0.04	0.09
Galr3	0.0	0.0	0.0	0.25	0.25
Gm12633	0.0	0.0	0.0	0.06	0.06
Gm13306	3.14	0.0	16.48	30.63	22.96
Gm15787	0.0	0.0	0.0	1.89	2.27
Gm16197	0.0	0.0	0.0	0.37	0.37
Gm1647	0.0	0.0	0.0	0.14	0.14
Gm2506	3.14	0.0	16.48	30.63	22.96
Gm4745	0.0	0.0	0.0	0.08	0.08
Gpr44	0.0	0.0	0.0	0.08	0.08
Gzma	0.0	0.0	0.0	0.12	0.12
Haao	0.0	0.0	0.0	0.25	0.25
Hal	0.0	0.0	0.0	0.04	0.04
Hemgn	0.0	0.0	0.0	0.04	0.04
Hhla1	0.0	0.0	0.0	0.04	0.09
Hilpda	0.0	0.0	0.0	9.75	9.75
Hist1h3f	0.0	0.0	0.0	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07
Il17c	0.0	0.0	0.0	0.16	0.16
Il18rap	0.0	0.0	0.0	0.04	0.04
Kctd19	0.0	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.0	0.04	0.04
Klhl10	0.0	0.0	0.0	0.49	0.97
Krt26	0.0	0.0	0.0	0.27	0.27
Lect2	0.0	0.0	0.0	0.12	0.12
Lipm	0.0	0.0	0.0	0.11	0.11
Ltf	0.0	0.0	0.0	0.04	0.04
Muc4	0.0	0.0	0.0	0.02	0.02
Myog	0.0	0.0	0.0	0.07	0.07
Myom2	0.0	0.0	0.0	0.08	0.08
Myrip	0.0	0.0	0.0	42.5	43.13
Ncr1	0.0	0.0	0.0	0.07	0.07
Nkx6-1	0.0	0.0	0.0	0.17	0.17
Nkx6-3	0.0	0.0	0.0	0.04	0.09
Nlrp12	0.0	0.0	0.0	0.07	0.07
Nox4	0.0	0.0	0.0	0.06	0.06
Obox5	0.0	0.0	0.0	0.15	0.16
Olfr1420	0.0	0.0	0.0	0.11	0.11
Olfr15	0.0	0.0	0.0	0.11	0.11
Otop3	0.0	0.0	0.0	0.04	0.04
Otx2os1	0.0	0.0	0.0	0.14	0.14
Pabpc4l	0.0	0.0	0.0	0.17	0.17
Phospho1	0.0	0.0	0.0	29.65	30.08
Ppapdc2	0.0	0.0	0.0	44.72	48.77
Prps1l1	0.0	0.0	0.0	0.06	0.06
Ptx4	0.0	0.0	0.0	0.07	0.07
Qrfp	0.0	0.0	0.0	0.14	0.14
Rab5c	0.0	0.0	0.26	172.31	176.72
Raet1d	0.0	0.0	0.0	0.16	0.16
Rnf133	0.0	0.0	0.0	0.08	0.08
Rtp1	0.0	0.0	0.0	0.16	0.16
Slain2	0.0	0.0	0.0	16.28	16.28
Slc10a5	0.0	0.0	0.0	0.08	0.08
Slc44a2	0.0	0.0	0.0	29.11	30.43
Slc4a1	0.0	0.0	0.0	0.02	0.02
Slc4a5	0.0	0.0	0.0	0.04	0.04
