	Cux2_tdTpositive_cell_121	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_44	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700003G18Rik	0.0	0.0	0.68	0.0	0.33	0.16	0.17
4930430J02Rik	0.0	0.0	6.82	0.0	0.0	0.0	0.73
4931406C07Rik	0.0	0.0	27.95	0.0	18.78	20.25	19.23
9830166K06Rik	0.0	0.0	49.28	0.0	2.34	1.86	2.18
A230072E10Rik	0.72	0.0	4.02	0.82	2.43	2.12	3.27
A4galt	0.29	0.0	3.67	0.85	2.19	1.99	1.52
Abcg3	0.0	0.0	0.38	0.12	0.49	0.28	0.13
Adam8	0.01	0.0	66.21	0.0	2.05	2.6	3.49
Adcy6	0.0	0.0	32.59	0.0	30.67	30.83	31.18
Adcy8	0.01	0.0	46.3	0.0	17.69	19.45	16.65
Akr1c14	0.0	0.0	0.16	0.0	1.62	1.49	2.25
Angptl3	0.0	0.0	7.13	0.0	0.25	0.12	0.32
Apcdd1	0.0	0.0	35.25	0.0	24.99	23.13	23.25
B4galt1	0.0	0.0	27.48	0.0	3.8	3.65	3.0
Bod1l	4.68	0.0	88.33	15.24	19.38	12.91	19.53
Bpifb5	0.0	0.0	0.24	0.0	0.0	0.11	0.0
Camk2n2	8.99	0.0	24.3	0.0	102.8	123.63	121.54
Catsper4	0.0	0.0	26.49	0.0	0.0	0.0	0.07
Ccna2	0.04	0.0	101.27	0.0	2.38	2.69	2.51
Cd109	0.0	0.0	0.46	0.0	0.68	0.83	0.59
Cd6	0.0	0.0	207.95	0.0	2.74	2.17	2.38
Col7a1	0.0	0.0	0.71	0.0	1.26	1.66	1.5
Coro2a	0.0	0.0	36.46	0.28	24.12	25.94	24.68
Csf2ra	0.0	0.0	26.12	0.0	27.45	27.1	31.23
Cul1	17.83	0.0	120.23	86.64	97.08	96.03	97.26
D19Ertd737e	0.0	0.0	52.52	0.0	18.94	17.62	19.41
D730040F13Rik	0.11	0.0	22.78	0.38	22.62	16.53	21.26
D930048N14Rik	0.0	0.0	81.15	0.0	3.76	4.45	3.96
Dcp2	2.02	0.0	41.81	4.01	28.37	25.38	28.36
Dnlz	0.01	0.0	69.9	0.0	26.8	29.73	28.72
Dpp6	120.84	0.0	121.45	0.0	153.64	153.5	151.46
Dr1	0.01	0.0	100.83	52.06	41.32	40.01	35.96
E130311K13Rik	0.77	0.0	64.76	3.46	10.83	10.52	11.46
Epc1	24.85	0.0	47.62	11.14	30.79	31.26	29.54
Fam105a	0.0	0.0	91.26	0.0	19.96	18.66	17.77
Fam126a	11.08	0.0	13.95	0.0	11.02	11.8	11.62
Fam53c	6.17	0.0	116.7	0.0	43.99	44.67	40.19
Fam73b	6.01	0.0	77.09	0.0	54.96	59.24	58.92
Fgd5	0.0	0.0	2.46	0.0	3.08	3.58	3.92
Frmpd3	0.0	0.0	39.24	0.0	3.41	2.93	3.84
