	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930509J09Rik	0.0	0.0	0.0	0.13	0.0	0.14
4930534B04Rik	0.0	0.0	0.0	2.73	2.85	2.4
4931428F04Rik	0.0	0.0	1.96	20.35	19.11	17.19
A530050N04Rik	0.0	0.48	0.0	1.48	1.01	1.12
AI837181	0.0	0.0	0.0	63.06	74.39	69.21
Acin1	0.0	0.0	0.0	81.9	86.64	75.72
Ap4m1	0.0	0.0	0.0	14.66	13.97	13.41
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC005764	0.0	0.0	0.0	47.64	52.58	50.79
BC048602	0.0	0.0	0.0	0.5	0.41	0.14
Bglap-rs1	0.0	0.0	0.0	1.87	1.44	2.43
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cdk20	0.0	0.0	0.0	11.58	9.01	11.34
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chchd5	0.0	0.0	0.0	9.46	9.21	8.18
Chst10	0.0	0.0	0.0	53.78	51.9	52.82
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dact3	0.33	0.18	0.0	125.8	137.92	131.01
Ddx51	0.0	0.33	0.0	10.72	11.35	11.76
Ddx54	0.0	0.0	0.0	28.29	33.01	31.66
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Eif3d	0.75	0.0	0.0	85.62	91.68	77.04
Fosb	0.0	0.0	0.0	16.9	14.12	7.05
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gas8	0.0	0.0	0.0	20.85	22.32	20.0
Gm11202	0.0	0.0	0.0	0.14	0.04	0.09
Gm16516	0.0	0.0	0.0	1.42	0.67	1.23
Grik5	0.0	0.0	0.0	151.06	170.74	170.43
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Il21	0.0	0.0	0.0	0.22	0.05	0.06
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lactb	0.0	0.0	0.0	20.79	22.64	19.7
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Ltbp3	0.0	0.0	0.75	15.75	17.07	19.52
Manbal	0.0	0.0	0.0	60.22	71.55	70.32
Mir344g	0.0	0.0	0.0	14.31	10.79	8.87
Mrpl48	0.54	0.0	0.0	91.12	99.03	95.19
Mrvi1	0.0	0.0	0.0	1.28	1.23	1.4
Nampt	0.0	0.0	0.0	32.41	31.43	32.53
Napg	0.0	0.0	0.82	140.49	137.95	131.59
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Notch3	0.0	0.0	0.0	7.02	6.41	7.28
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Pcdhb21	0.0	0.0	0.0	3.38	3.14	3.43
Pde7a	0.0	0.0	0.36	20.14	18.27	19.69
Phf17	0.0	0.0	0.0	20.92	20.27	21.27
Pkia	0.0	0.0	0.0	143.55	141.29	132.93
Ppp1r3b	0.0	0.0	0.14	0.57	0.48	0.69
Ptch1	0.0	0.0	4.77	22.74	21.68	22.39
Rfc1	0.0	0.0	3.38	19.97	19.96	23.17
Senp1	0.0	0.0	0.08	6.58	5.86	6.76
Senp5	0.28	0.0	0.47	32.11	30.03	30.39
Slc34a2	0.0	0.0	0.0	0.05	0.0	0.05
Slc6a6	0.0	1.51	0.0	71.84	70.52	75.99
Slfn10-ps	0.0	0.0	0.0	0.55	0.09	0.23
Spint3	0.0	0.0	0.0	0.19	0.34	0.39
Stk38	0.0	0.0	0.0	27.2	26.95	27.88
Surf6	0.0	0.0	0.0	19.32	18.38	17.91
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tet3	0.0	0.0	13.11	21.31	19.17	20.01
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ubtf	0.53	3.35	0.72	78.31	78.64	80.03
Unc45a	0.0	0.0	0.0	26.91	25.32	22.3
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wnt2b	0.0	0.0	0.0	4.79	4.2	4.04
Zfp280b	0.0	0.0	0.0	12.21	13.95	11.8
Zfp91	18.78	0.0	0.0	72.51	70.41	73.83
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zranb1	0.0	0.0	0.0	38.68	36.98	39.16
mt_AK131586	0.0	7.81	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
