	Nkx2.1_tdTpositive_cell_16	Pvalb_tdTpositive_cell_2	CAV_LP_Ipsi_tdTpos_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.04	0.0	0.04
1700003L19Rik	0.0	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.0	0.11
1700023E05Rik	0.0	0.0	0.0	0.46	0.49	0.24
1700024P03Rik	0.0	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.0	0.11	0.0	0.11
2310014L17Rik	0.0	2.25	0.3	4.8	4.32	5.71
4930455B14Rik	0.0	0.0	0.0	0.09	0.0	0.09
4930469G21Rik	0.0	0.0	0.71	1.49	1.3	1.97
4930528F23Rik	0.0	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.07	0.0	0.07
4933413G19Rik	0.0	0.0	0.0	1.91	1.65	2.21
9230104L09Rik	0.0	0.0	0.0	0.16	0.0	0.16
Adamdec1	0.0	0.0	0.0	0.04	0.0	0.04
Akap14	0.0	0.0	0.0	0.28	0.42	0.06
Akr1c12	0.0	0.0	0.0	0.08	0.0	0.08
Apob	0.0	0.0	0.0	0.01	0.0	0.01
Atp10b	0.0	0.4	0.31	1.55	1.31	1.86
Cacna1a	0.15	3.01	2.14	73.0	70.76	78.42
Capn13	0.0	0.0	0.0	0.04	0.0	0.04
Ccl2	0.0	0.0	0.0	0.13	0.0	0.13
Ccr3	0.0	0.0	0.0	0.03	0.0	0.03
Ceacam15	0.0	0.0	0.0	0.07	0.0	0.07
Chmp2b	0.0	40.24	17.15	68.57	73.19	69.24
Clec12b	0.0	0.0	0.0	0.07	0.0	0.07
Cyp3a57	0.0	0.0	0.0	0.06	0.0	0.06
Dnajc5b	0.0	0.0	0.0	0.11	0.0	0.11
Fmo4	0.0	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.0	0.02	0.0	0.02
Gm12633	0.0	0.0	0.0	0.06	0.0	0.06
Gm1647	0.0	0.0	0.0	0.14	0.0	0.14
Gm4745	0.0	0.0	0.0	0.08	0.0	0.08
Gzma	0.0	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.0	0.04	0.0	0.04
Hemgn	0.0	0.0	0.0	0.04	0.0	0.04
Hsd3b3	0.0	0.0	0.0	1.43	0.98	1.07
Kctd19	0.0	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.0	0.04	0.0	0.04
Kif24	0.0	0.31	0.16	0.56	0.48	0.81
Lect2	0.0	0.0	0.0	0.12	0.0	0.12
Ltf	0.0	0.0	0.0	0.04	0.0	0.04
Maml1	0.0	0.0	0.0	6.35	6.72	5.79
Mip	0.0	0.0	0.0	0.09	0.09	0.24
Muc4	0.0	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.0	0.07	0.0	0.07
Ncr1	0.0	0.0	0.0	0.07	0.0	0.07
Nox4	0.0	0.0	0.0	0.06	0.0	0.06
Olfr15	0.0	0.0	0.0	0.11	0.0	0.11
Otx2os1	0.0	0.0	0.0	0.14	0.0	0.14
P2rx4	0.0	4.79	5.42	12.79	15.14	13.47
Pcmtd1	0.0	26.24	9.22	69.06	59.81	70.51
Pcyt1a	0.0	1.6	0.07	21.4	22.79	20.27
Plch1	0.0	0.0	0.0	5.59	5.47	5.68
Plekhm1	11.4	0.0	0.0	16.0	15.96	15.1
Pmaip1	0.0	0.0	0.0	2.73	2.17	2.28
Pofut2	0.0	5.64	0.0	25.48	25.46	22.47
Prps1l1	0.0	0.0	0.0	0.06	0.0	0.06
Raet1d	0.0	0.0	0.0	0.16	0.0	0.16
Rnase13	0.0	0.0	0.0	0.17	0.0	0.17
Scml4	0.06	0.15	0.07	2.28	2.19	2.28
Sct	0.0	0.0	0.0	0.21	0.0	0.21
Sec14l5	0.0	0.0	0.0	8.72	8.13	10.39
Slc4a1	0.0	0.0	0.0	0.02	0.0	0.02
Slfnl1	0.0	0.0	0.0	0.06	0.0	0.06
Ston2	0.06	0.52	0.65	6.44	5.92	7.43
Tac4	0.0	0.0	0.0	0.08	0.0	0.08
Tanc1	0.0	2.46	0.0	13.46	13.48	14.58
Tas1r2	0.0	0.0	0.0	0.03	0.0	0.03
Tcstv1	0.0	0.0	0.0	0.12	0.0	0.12
Tpcn1	0.0	0.0	0.0	26.58	29.21	28.35
Usp26	0.0	0.0	0.0	0.02	0.0	0.02
Vmn1r210	0.0	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.0	0.04	0.0	0.04
Vmn2r55	0.0	1.13	0.77	3.27	1.36	3.31
Wfdc3	0.0	0.0	0.0	0.99	1.17	0.13
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	25.52	0.0	9032.87	8417.95	8583.15
