	Calb2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_68	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_163	Rorb_tdTpositive_cell_31	Scnn1a.Tg2_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_1	Scnn1a.Tg3_tdTpositive_cell_64	Slc17a6_tdTpositive_cell_20	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Arhgap32	0.0	24.33	9.52	56.8	34.03	4.98	1.4	37.15	8.2	0.0	0.04	40.04	0.11	5.66	65.6	47.19	57.38	49.41	59.46	26.0	9.57	5.39	15.64	12.77	23.0	0.66
Baz2b	0.0	12.26	0.15	3.41	0.0	0.0	1.53	13.06	8.01	0.35	0.0	1.79	0.0	0.38	0.08	0.64	0.75	1.46	15.96	47.82	0.0	0.05	0.0	0.0	0.04	0.0
Cacna2d3	0.0	0.0	45.15	49.97	0.0	0.0	8.98	70.73	0.0	0.0	0.0	41.78	0.0	0.0	0.09	255.01	107.04	82.9	43.62	45.58	0.0	0.0	0.0	0.0	0.0	0.0
Camk4	2.11	6.46	34.89	12.51	3.46	2.72	34.51	53.51	1.72	2.52	2.33	28.33	11.66	14.28	17.98	149.65	65.15	159.51	110.81	85.12	2.07	79.62	24.92	30.44	23.72	7.3
Cdyl2	0.0	28.14	81.89	42.31	0.0	0.0	0.0	48.26	34.69	0.0	0.0	53.93	0.0	133.25	37.58	0.02	26.36	43.6	23.47	78.15	0.0	0.0	20.08	0.08	0.0	0.0
Coch	0.0	0.0	28.58	55.45	0.0	0.0	0.0	616.31	0.0	0.0	0.0	206.31	0.15	0.0	0.26	145.93	80.15	116.37	68.18	39.51	0.0	0.11	0.0	0.0	0.0	0.0
Comt	49.64	84.44	64.76	242.46	38.5	56.64	98.66	136.54	28.34	20.61	14.7	84.77	76.54	31.37	135.6	356.55	165.44	227.78	167.68	250.09	27.63	147.47	102.95	24.51	91.84	16.24
Csnk2b	267.6	505.66	211.0	558.23	0.47	221.76	283.81	318.6	277.59	0.0	0.35	156.44	787.0	156.76	153.54	495.39	195.56	281.51	316.29	341.25	0.69	248.95	250.75	0.54	109.93	227.15
Cyfip2	59.13	61.45	142.44	215.72	0.0	114.11	180.47	236.94	174.09	0.0	0.0	187.91	70.03	1.4	160.11	200.0	300.4	151.53	277.82	319.9	1.52	97.01	86.1	73.18	62.48	131.03
Dkkl1	0.0	0.0	514.91	248.44	0.0	0.0	602.76	397.07	0.0	0.0	0.0	176.75	0.0	0.88	27.79	20.73	403.62	103.24	340.48	346.6	0.0	0.0	0.0	0.0	0.0	0.0
