	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2610034B18Rik	21.22	0.0	0.0	0.0	0.0	0.0	92.78	21.32	0.0	0.0	0.0	0.0	58.8	0.0	0.05	9.71	51.0	0.0	0.18	0.0	23.2	0.0	35.1	3.43	1.88	55.86	0.0	0.0	0.0	16.66	3.84	0.0	0.13	0.0	0.0	0.0	8.1	0.0	0.0	0.0	0.0	14.92	0.0	0.0	3.77	2.94	2.24	10.99	4.0	4.42	17.14	15.12	17.88
6230409E13Rik	14.79	0.65	5.86	0.0	0.0	61.52	47.03	22.45	0.0	0.0	24.32	11.7	2.86	0.02	21.39	1.87	2.31	11.68	11.13	6.45	19.0	14.37	23.84	2.57	11.28	11.15	15.5	2.81	1.02	6.77	7.92	6.53	7.8	16.24	10.11	0.0	6.55	0.07	0.0	0.0	0.0	3.96	6.59	4.18	3.86	2.47	1.37	10.63	6.48	30.0	39.2	35.11	38.13
Anks1b	49.16	46.78	9.82	0.0	0.0	18.11	67.95	45.29	0.0	0.0	19.37	1.27	19.95	20.5	29.04	22.38	43.12	12.27	8.65	20.34	14.45	13.16	28.57	11.61	14.46	21.84	27.94	17.0	38.23	6.14	14.08	30.89	29.5	0.06	16.47	22.78	57.45	0.07	0.15	0.0	0.0	3.64	12.27	20.37	12.47	7.5	12.29	39.65	38.4	89.52	136.15	132.0	139.16
Arhgef9	16.83	51.67	0.37	0.0	0.08	32.59	87.15	70.29	0.0	0.0	19.2	5.96	17.7	0.13	20.07	16.27	1.53	12.96	4.83	44.97	1.55	1.15	18.68	2.85	12.83	22.56	3.88	6.22	0.0	0.29	34.4	5.38	0.0	9.14	2.84	0.0	17.81	0.0	0.0	0.0	0.0	8.77	41.27	0.0	18.5	6.42	0.29	67.19	40.75	40.09	220.51	209.27	213.67
Cacnb4	56.54	107.03	56.3	0.0	0.0	94.43	239.71	188.98	0.0	0.0	82.21	79.1	3.48	43.41	24.43	27.86	77.74	30.62	68.51	65.81	19.24	89.19	43.59	34.65	40.84	34.53	61.06	90.37	7.39	44.92	47.51	91.57	51.49	40.1	47.45	59.97	68.38	0.16	0.27	0.0	0.0	18.34	31.74	81.23	57.11	68.29	88.23	130.71	111.42	149.95	106.94	89.5	107.65
Camk2b	48.2	7.72	60.25	0.0	0.0	169.23	88.5	80.67	0.0	0.0	61.25	11.14	13.63	5.33	38.25	18.98	40.11	2.33	68.66	25.39	41.51	25.05	5.29	25.65	43.27	14.51	7.47	122.87	5.6	7.22	44.37	9.8	35.99	25.41	5.45	1.92	71.21	0.4	0.18	37.11	0.0	3.38	9.98	31.18	50.98	41.81	8.19	73.92	114.56	173.73	532.26	557.69	545.35
Ccl27b	0.0	0.0	8.68	0.0	0.0	11.32	0.0	17.1	0.0	0.0	1.46	0.03	0.0	1.74	0.0	0.0	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	8.48	4.31	40.26	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	7.83	1.88	61.27	71.98	61.12	30.63	28.29	22.96
Cetn3	43.94	131.02	89.34	0.42	0.0	218.93	505.73	87.69	0.0	0.0	132.99	74.12	401.61	56.21	254.48	206.67	329.25	59.0	241.16	87.12	258.67	220.02	109.31	35.68	103.73	144.62	152.59	58.51	238.18	63.19	195.15	25.63	8.68	349.03	53.1	132.21	500.21	0.99	52.37	0.0	0.0	406.42	73.4	83.17	93.76	373.73	94.49	311.16	234.5	186.7	85.27	77.69	78.03
Cirh1a	0.0	48.61	24.7	0.0	0.0	174.9	114.91	82.98	0.0	0.0	51.03	53.0	82.72	134.41	90.72	47.49	57.18	0.12	3.29	77.43	85.6	0.1	96.9	0.0	33.31	103.5	0.0	0.0	162.59	1.82	58.79	0.0	108.21	95.94	3.42	1.21	54.48	0.0	0.0	0.0	0.0	5.38	49.88	5.64	0.0	53.74	0.04	116.63	143.72	81.4	29.92	32.72	28.14
Dennd4a	4.08	0.16	3.78	7.03	0.0	17.54	56.63	3.27	0.0	0.0	26.43	1.3	0.0	1.27	5.84	6.95	1.76	13.84	0.0	31.31	0.14	0.0	2.66	0.51	0.0	2.31	10.62	0.13	14.92	4.06	0.07	0.98	0.0	0.19	1.51	0.48	14.45	0.0	0.97	19.04	0.14	1.7	0.03	0.03	2.92	6.26	18.67	6.18	10.32	17.43	30.52	27.12	28.77
Dgat2	16.57	23.52	21.71	0.0	0.0	85.34	58.94	4.49	0.0	0.0	2.6	0.42	2.24	0.0	40.21	0.1	16.19	0.0	0.0	71.21	57.78	0.0	0.13	0.0	0.0	10.51	29.73	0.0	0.0	0.0	0.0	0.0	0.91	0.12	0.1	0.0	16.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.01	7.32	18.28	69.94	74.08	85.02	74.02
Dgkz	25.9	9.75	5.0	0.0	0.0	0.05	54.54	30.12	0.0	0.15	9.44	0.05	6.36	16.87	4.52	11.23	3.53	2.98	15.69	0.58	11.17	0.0	0.24	0.0	0.25	2.67	3.4	0.0	0.0	0.0	14.14	0.79	0.0	0.0	6.28	0.07	23.83	0.0	0.0	0.0	0.17	8.65	0.2	0.0	16.37	19.47	0.15	23.37	22.95	86.07	347.99	334.7	361.93
Dock3	6.03	15.26	7.51	0.0	0.0	19.96	35.5	11.66	0.0	0.0	6.92	15.2	9.05	0.31	11.04	0.54	0.03	9.71	13.25	10.87	11.97	2.74	0.73	3.59	17.67	1.09	0.26	12.61	5.78	0.17	0.78	8.7	0.22	1.67	1.46	1.53	21.91	0.0	0.04	0.0	0.0	11.37	1.34	7.66	15.09	0.23	1.4	17.56	16.2	27.63	112.39	109.71	116.14
