	Ntsr1_tdTnegative_cell_28	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700024P03Rik	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
2900056M20Rik	0.0	0.0	0.34	0.17	0.0	28.43	27.54	27.66
4921513D23Rik	95.19	0.17	0.25	0.0	0.02	53.3	48.63	49.68
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930455B14Rik	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.09
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930529F24Rik	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
4930544D05Rik	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
4931423N10Rik	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
9230104L09Rik	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
A230050P20Rik	0.0	0.47	18.34	0.0	0.0	64.45	70.84	74.75
Adamdec1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Adrbk2	1.09	0.11	192.1	0.0	0.0	54.58	54.62	56.04
Akr1c12	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Alg3	0.49	0.0	0.46	0.0	0.0	14.24	15.52	12.38
Apob	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01
Atg10	0.0	0.0	0.77	0.0	0.92	10.78	11.38	10.92
Atg4b	0.0	0.0	0.43	0.0	0.0	46.22	47.58	48.67
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Blk	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bpgm	0.0	0.33	0.63	0.0	0.0	54.39	55.48	53.58
C8b	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Capn13	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Ccdc112	2.18	0.0	0.0	0.0	0.0	10.48	10.78	9.82
Ccdc91	0.0	0.0	0.0	0.0	0.0	34.72	37.4	35.22
Ccl27b	0.34	0.0	0.0	0.0	0.0	30.63	28.29	22.96
Ccr3	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Ces1a	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cggbp1	0.0	0.0	0.15	0.0	0.0	42.8	40.68	38.76
Cldn25	0.0	0.0	1.82	0.0	0.0	81.52	75.06	77.59
Clec12b	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Cyp3a57	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Ddx55	0.0	2.4	2.46	1.48	3.06	21.72	21.72	21.82
Dnajc5b	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Dspp	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Dtwd1	0.0	0.0	0.49	0.0	0.0	10.06	12.71	12.69
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E130114P18Rik	0.0	0.0	0.0	0.0	0.0	6.77	5.3	5.97
Efr3b	0.7	1.1	1.98	0.0	0.54	94.67	93.25	100.15
Ehd3	0.0	0.0	0.53	0.0	0.0	66.6	66.44	70.45
Fmo4	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Foxi1	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Gadd45a	0.0	0.0	0.0	0.55	0.0	16.38	13.34	10.55
Gm12633	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Gm13306	0.34	0.0	0.0	0.0	0.0	30.63	28.29	22.96
Gm14430	0.0	0.0	0.28	0.0	0.0	7.67	5.07	7.49
Gm14434	0.0	0.0	0.28	0.0	0.0	7.67	5.07	7.49
Gm1647	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Gm2506	0.34	0.0	0.0	0.0	0.0	30.63	28.29	22.96
Gm4724	0.0	0.0	0.28	0.0	0.0	7.67	5.07	7.49
Gm4745	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Gsg1l	0.0	0.0	0.0	0.0	0.0	68.85	61.79	72.47
Gzma	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Hhla1	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Kctd19	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kif3c	0.0	0.19	0.0	0.0	0.0	111.23	112.9	114.1
Lao1	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lcor	0.0	0.0	0.0	0.0	0.0	3.05	2.52	2.65
Lect2	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Lipm	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Ltf	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Manbal	0.0	0.0	0.0	0.0	0.0	60.22	71.55	70.32
Muc4	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Mum1	2.49	1.49	2.29	1.64	0.18	25.0	27.75	26.37
Myog	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Naa30	0.0	0.15	0.0	0.0	0.0	30.13	27.89	27.27
Ncr1	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Nkx6-3	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Nox4	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Nudcd3	0.0	0.34	15.37	0.0	26.71	97.11	97.88	95.66
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Olfr15	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Otx2os1	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Pcid2	0.0	0.0	0.27	0.0	0.0	30.98	30.33	28.12
Ppp5c	0.0	27.41	19.43	0.0	0.0	125.26	136.33	124.06
Ptk2	0.0	0.0	0.0	0.0	0.0	77.05	74.15	81.2
Raet1d	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Rapgef1	0.0	0.0	0.0	0.0	0.19	59.62	59.34	62.33
Rnase13	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.17
Rnd2	0.0	0.0	0.0	0.0	0.0	191.18	202.8	204.19
Sct	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.21
Sema5b	0.0	0.17	0.05	0.0	0.15	13.04	12.14	15.32
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Slfnl1	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Smap1	0.6	0.0	0.29	0.0	38.26	96.05	100.46	92.41
Smyd3	0.24	0.18	0.0	0.17	0.14	15.71	16.11	15.34
Suv420h1	3.99	5.31	4.4	20.66	3.96	31.06	28.68	33.44
