	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_85	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_13
1110067D22Rik	0.0	0.0	0.0	36.45	6.93	21.08	5.49	11.29	104.67	54.73	45.68	85.29	10.17	33.37	14.64	34.2	29.67	21.39	0.0	0.0
2410018L13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.45	3.25	4.61	13.32	0.0	24.66	0.0	14.12	21.89	0.0	10.62	0.0
2610203C20Rik	0.0	1.81	0.0	0.0	1.67	84.08	0.3	0.0	244.89	106.99	39.93	172.09	11.39	0.0	0.0	21.99	0.0	15.79	3.47	0.0
2810442I21Rik	0.4	0.68	0.0	0.0	1.38	0.35	2.48	0.21	2.31	1.46	1.08	1.6	0.0	0.38	0.13	0.64	1.8	1.31	0.52	0.0
Akap6	0.0	5.25	0.0	17.13	23.2	10.87	0.15	7.39	47.16	28.11	36.71	33.96	25.03	40.29	19.67	5.85	10.09	7.37	17.86	0.0
Akap8l	0.0	0.0	0.0	0.0	108.45	19.55	0.0	0.0	143.26	95.1	0.3	26.97	31.97	22.82	14.1	5.08	22.01	21.3	13.7	0.0
Bcl7a	0.0	2.89	0.0	8.64	0.75	0.28	0.0	0.72	0.9	44.23	12.14	28.95	1.68	0.72	1.56	1.01	0.0	9.42	14.85	0.0
Bpnt1	20.61	75.68	0.16	97.23	104.97	246.23	42.86	202.28	256.39	125.72	103.25	296.25	145.77	58.55	261.13	157.35	192.99	141.82	33.12	2.17
Bre	0.0	5.21	0.0	291.93	275.83	198.61	100.39	0.0	134.76	112.03	167.27	307.56	201.89	40.53	109.17	55.28	114.79	92.28	220.17	0.0
Cd8b1	2.44	0.39	0.0	0.0	1.41	0.48	3.28	1.93	6.56	3.7	1.62	2.11	1.97	2.53	5.11	1.51	2.72	3.76	1.87	0.99
Cnot4	59.34	0.07	0.0	24.72	42.38	5.65	17.86	51.59	88.86	14.01	5.54	93.8	33.43	7.02	62.6	30.9	40.75	31.9	7.53	0.0
Ctsf	0.0	0.0	0.0	18.18	0.0	0.28	0.0	0.0	59.18	30.45	47.95	176.53	1.1	0.43	64.23	46.69	0.0	48.44	15.05	0.0
Dcaf7	0.0	0.08	0.0	39.35	40.94	4.39	2.39	3.79	112.86	6.03	28.86	52.29	14.02	15.29	16.44	15.73	36.19	41.5	27.71	0.0
