	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_92
4921508A21Rik	18.07	7.64	21.7	0.0	0.3	25.16	63.92	43.45	6.54	0.0	17.37	11.2	13.22	9.33	17.68	24.75	5.65	9.47	12.41	7.3	6.47	14.11	1.48	3.17	10.01	2.76	2.44	0.0	5.05	77.46	40.13	38.41	9.99
Amy2a2	0.07	0.01	0.0	0.0	0.0	0.48	0.6	0.34	0.22	0.0	0.22	0.17	0.09	0.17	0.05	0.11	0.0	0.38	0.23	0.08	0.31	0.17	0.09	0.05	0.22	0.0	0.0	0.0	0.35	0.47	0.62	0.09	0.2
Amy2a3	0.07	0.01	0.0	0.0	0.0	0.48	0.6	0.34	0.22	0.0	0.22	0.17	0.09	0.17	0.05	0.11	0.0	0.38	0.23	0.08	0.31	0.17	0.09	0.05	0.22	0.0	0.0	0.0	0.35	0.47	0.62	0.09	0.2
Amy2a4	0.07	0.01	0.0	0.0	0.0	0.48	0.6	0.34	0.22	0.0	0.22	0.17	0.09	0.17	0.05	0.11	0.0	0.38	0.23	0.08	0.31	0.17	0.09	0.05	0.22	0.0	0.0	0.0	0.35	0.47	0.62	0.09	0.2
Ank3	5.62	21.63	36.95	0.0	0.0	90.06	110.88	204.13	81.12	0.0	28.44	39.85	31.26	11.63	47.33	45.6	2.6	83.83	16.15	38.91	15.13	40.94	76.41	30.24	68.54	1.09	0.21	0.0	50.5	196.72	112.74	57.68	63.63
Atp2b2	178.26	58.35	52.41	0.0	0.0	195.8	300.96	247.18	101.31	0.0	43.28	36.23	109.68	49.0	9.22	54.87	39.53	26.81	90.24	12.67	16.08	61.18	52.91	60.73	39.05	0.0	0.3	0.0	84.28	244.65	292.8	311.21	150.22
Ccdc148	41.3	0.04	0.0	0.26	0.0	9.5	0.0	0.59	0.11	0.0	41.59	14.85	0.15	0.0	1.42	0.0	0.0	0.13	0.0	0.0	0.08	0.38	0.08	0.06	0.09	0.0	0.0	0.0	28.15	90.33	0.43	3.9	0.13
Cxcr2	38.75	13.5	22.24	32.61	10.43	33.93	174.56	38.85	27.66	19.94	27.74	25.64	23.5	16.42	36.78	20.16	15.42	41.31	29.82	27.58	22.97	14.02	20.56	19.44	28.08	7.28	2.97	15.08	19.16	70.52	53.15	43.93	27.6
D19Ertd737e	21.1	17.19	0.2	0.0	0.0	56.61	0.47	3.75	0.0	0.0	0.0	36.77	2.73	16.98	2.56	0.0	6.66	0.0	11.86	0.0	1.3	39.28	17.51	19.31	0.0	0.0	0.0	0.0	0.22	55.09	6.39	7.63	3.0
D3Bwg0562e	61.36	47.16	26.25	0.15	0.98	74.43	105.09	87.81	39.6	0.0	3.97	29.05	47.62	87.62	7.09	1.58	4.62	7.95	9.09	4.55	23.03	31.46	38.57	1.96	19.18	0.0	0.11	0.34	4.18	142.66	94.56	47.5	53.41
