	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_19
Arhgef9	0.0	0.0	0.05	0.0	92.59	43.17	16.16	4.22	4.57	70.14	6.23	24.64	14.82	52.13	21.97	51.21	5.35	3.98	0.15	0.6	40.42	33.23	0.0	35.44	2.08	26.34	28.25	22.51	27.71	28.27	41.57	30.34	2.86	60.09	78.4	33.28	3.41	18.43	2.92	0.45	61.0	51.81	59.34	39.18	24.67	0.0	0.38	0.29	0.0
Asb13	2.35	0.92	0.0	0.0	59.54	91.75	114.19	30.83	161.33	82.46	0.75	117.3	285.5	132.98	41.81	289.47	62.86	210.88	20.64	0.33	31.92	88.71	323.57	62.45	105.99	104.03	268.21	287.36	141.69	33.9	208.97	195.63	104.64	42.17	115.67	83.4	121.56	46.71	122.05	52.68	353.95	51.58	75.08	81.06	179.11	1.62	1.21	4.68	1.23
Cabin1	0.0	0.02	0.0	0.0	14.51	0.0	0.17	0.31	7.51	0.0	6.07	25.62	11.6	0.0	7.32	0.0	0.0	11.51	0.0	3.69	0.0	0.52	3.13	0.27	0.07	6.57	1.51	3.12	5.09	0.0	0.0	12.48	16.64	0.0	0.05	0.3	1.36	0.7	22.29	0.0	13.28	0.0	1.19	0.0	0.26	0.0	0.05	0.0	0.0
Cast	0.0	0.0	0.0	0.0	22.98	69.57	15.78	10.23	0.0	0.0	0.0	4.3	49.14	10.91	0.0	22.22	47.68	35.18	0.0	0.0	0.0	9.91	0.0	0.0	0.0	0.0	0.99	125.68	0.0	0.0	33.55	4.01	16.53	0.0	0.0	22.67	0.0	0.0	0.0	18.14	26.74	0.0	18.46	0.0	14.9	0.0	0.0	0.0	0.0
Crk	0.0	0.0	0.0	0.0	0.0	109.25	0.0	99.07	36.42	34.84	2.63	27.66	59.58	88.62	50.26	30.94	24.33	55.88	0.0	0.0	1.64	38.39	0.0	14.68	0.0	34.34	7.67	0.02	0.0	13.61	43.74	32.24	12.1	31.92	87.67	78.02	4.89	22.21	95.53	6.3	6.46	16.11	32.83	21.07	0.05	0.0	0.11	0.2	0.22
D3Ertd751e	0.0	0.0	53.57	0.0	102.07	147.34	35.51	65.19	33.71	0.0	32.51	50.61	100.98	49.79	27.81	42.77	3.98	10.84	0.0	6.37	1.38	8.57	96.4	11.46	50.73	0.0	73.71	138.3	90.95	0.0	8.82	85.48	56.77	0.0	59.4	68.72	0.16	0.0	11.29	65.27	8.33	0.16	11.47	48.93	27.19	0.11	786.95	0.0	0.0
Ddx6	0.0	0.0	0.0	0.38	32.1	15.56	11.6	21.86	17.84	34.14	6.37	6.02	52.87	25.23	28.46	5.53	38.3	4.81	0.0	2.59	4.16	58.16	37.96	12.76	5.45	5.4	12.94	24.19	16.5	2.79	27.22	39.39	43.56	3.04	19.56	20.91	8.34	4.27	22.79	2.88	19.51	2.54	1.52	10.95	6.34	0.0	0.0	0.0	0.09
Fam135b	0.0	0.0	0.0	0.0	20.53	85.69	54.23	41.94	63.92	52.03	56.57	47.24	40.88	46.24	64.56	13.48	32.11	73.09	0.0	0.0	27.53	21.71	15.11	25.08	36.35	16.31	35.4	25.73	27.89	63.01	79.89	34.61	43.33	28.27	32.87	46.57	3.93	19.9	39.18	12.64	96.12	0.23	49.64	30.51	16.85	0.08	0.18	0.08	0.09
Gm14430	0.0	0.0	0.0	0.0	17.66	21.67	3.32	31.03	36.04	0.0	14.72	10.3	14.72	6.05	13.5	14.04	5.35	13.46	3.22	0.84	12.83	12.31	3.07	20.8	2.82	11.03	18.55	13.57	19.8	1.28	4.08	11.25	0.32	9.13	19.5	14.36	0.54	6.88	14.82	8.34	17.48	0.0	13.81	40.89	2.38	0.12	0.24	0.0	0.08
Gm14431	0.26	1.5	0.0	0.0	1.03	20.17	0.76	1.71	0.62	0.74	0.0	0.18	3.35	3.96	2.26	5.03	0.0	5.1	0.3	0.29	0.76	2.49	1.79	0.61	2.4	1.31	1.04	2.52	1.77	0.56	4.65	0.0	1.51	0.0	1.48	1.3	1.58	0.43	1.56	0.36	5.46	0.1	1.93	0.47	1.92	0.0	0.0	0.0	0.0
