	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_58	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_85	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_85	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_37	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
1700023F06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.19	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	1.7	3.28
AA792892	0.0	0.25	0.8	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.47
Abhd6	8.06	327.89	187.07	187.31	0.0	0.0	258.14	183.19	1.32	163.26	16.25	0.2	89.2	0.0	148.72	38.37	148.28	21.85	113.16	0.2	31.24	12.6	8.45	58.72	0.0	69.25	0.0	97.88	163.81	0.05	306.15	337.48	79.18	0.0	223.48	94.98	87.77	83.69	82.19	218.53	58.17	55.91
Adamts13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.45	0.0	0.0	0.0	0.13	0.06	0.89	1.2	0.0	0.51	0.48
Adcy8	0.0	0.0	0.0	0.23	0.0	0.16	0.0	0.0	0.0	0.0	0.0	3.96	0.0	0.0	0.12	14.36	38.02	0.0	0.0	3.36	0.0	0.0	0.0	0.0	0.0	0.0	0.37	29.17	0.0	0.06	0.0	98.41	0.0	2.5	0.0	7.37	1.17	0.47	1.91	0.0	17.69	19.45
Ap1s1	2.46	406.64	134.75	336.2	412.32	113.94	213.28	207.51	277.8	96.44	324.65	431.25	711.9	176.24	323.45	250.49	31.08	111.2	356.46	148.52	3.86	43.9	144.8	0.94	2.8	171.31	234.24	9.6	0.09	548.16	194.48	1030.97	4.76	144.07	111.26	254.92	219.77	226.81	214.3	1.03	347.42	348.88
Arhgap32	138.8	59.42	20.71	22.41	141.96	52.59	80.57	15.95	19.46	36.06	8.14	19.49	18.47	0.62	83.42	18.18	0.13	0.1	2.05	14.63	57.5	68.61	85.85	0.28	7.14	15.9	10.58	97.89	15.66	12.65	29.21	130.51	2.03	9.55	0.0	28.09	12.02	10.69	7.89	23.45	137.07	128.38
Armc6	0.0	9.5	99.05	134.64	0.0	0.0	0.0	0.5	7.41	0.08	0.25	0.0	122.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32	0.0	0.0	53.18	0.0	8.79	0.05	0.0	18.38	108.42	0.0	0.0	61.76	6.72	10.37	7.08	20.01	0.0	26.94	31.22
Asnsd1	0.0	0.0	115.49	0.0	0.0	0.0	0.0	0.0	128.49	0.0	0.0	0.0	9.96	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.5	0.0	0.0	5.26	0.13	4.82	2.78	4.87	0.0	18.37	17.31
Cacng2	0.0	0.24	3.84	15.7	26.77	9.6	2.18	0.0	23.33	2.49	0.0	0.0	0.88	0.0	0.0	0.27	4.34	0.0	3.53	2.26	0.0	0.0	2.01	0.0	0.0	0.0	0.0	2.73	0.0	0.0	0.0	5.32	33.91	0.0	6.06	6.02	3.41	4.05	4.93	0.0	32.73	28.9
Cap1	96.66	68.44	121.94	31.09	171.37	82.57	11.23	0.0	0.16	0.42	0.0	0.17	29.66	0.0	5.11	1.91	88.01	44.4	7.24	107.93	0.0	96.09	0.0	102.65	71.04	89.69	0.0	83.38	97.58	100.14	1.46	110.0	77.33	0.0	2.66	130.4	165.46	228.5	185.88	0.0	237.47	238.6
Ccnk	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.75	0.16	0.0	2.51	0.0	0.0	0.0	22.77	2.02	0.0	1.72	3.31	2.16	1.7	1.72	0.0	22.91	23.23
Cep76	0.0	0.0	1.34	0.09	0.0	0.0	1.83	0.27	1.88	0.0	0.0	0.59	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.26	57.55	0.2	39.04	0.0	0.0	0.08	3.82	1.12	1.37	4.42	0.0	5.28	5.2
Chrdl1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.31	9.73
Chrm3	0.0	22.54	33.26	0.68	0.0	0.9	4.13	0.0	0.42	0.0	0.0	0.0	0.0	1.37	3.51	0.0	2.43	0.52	0.0	0.38	0.0	0.0	0.25	0.0	0.0	4.79	0.0	0.0	0.0	8.81	0.0	13.36	1.18	0.0	0.95	6.42	3.85	2.49	2.95	0.3	41.39	40.9
Clic1	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.83	17.0
Cnot10	0.0	70.95	19.83	1.39	28.4	0.0	27.78	58.99	22.06	3.64	39.99	0.0	54.06	3.35	15.52	0.0	0.0	0.0	2.76	42.28	22.54	8.67	97.35	35.96	1.17	42.31	0.0	58.7	131.44	24.67	1.58	165.76	188.26	0.71	47.52	35.13	17.67	12.78	18.24	24.26	44.87	47.98
Csgalnact1	0.0	49.79	0.42	0.03	0.0	42.5	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	9.78	43.15	0.0	3.64	0.0	0.0	46.35	0.0	63.52	0.0	0.0	0.0	0.05	0.0	149.43	59.46	0.0	0.0	16.85	5.34	8.76	11.9	0.0	14.31	15.26
Cstad	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.78	130.0	0.0	0.0	17.42	14.64	13.31	18.36	0.0	3.74	3.53
Cyp2j6	0.0	20.95	0.34	3.0	0.06	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.12	0.0	81.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.66	6.19	6.57	5.38	0.0	12.75	12.52
Ddx39	342.81	0.0	417.0	0.0	0.0	138.95	251.77	0.0	0.0	0.1	0.33	0.0	1.3	0.0	73.84	0.1	0.39	0.0	131.79	97.98	0.0	111.0	0.0	33.36	0.0	177.0	0.0	0.07	0.0	5.45	0.0	152.54	0.0	0.0	257.43	38.15	57.92	61.43	54.77	139.87	15.3	17.49
Dlg2	68.68	77.93	35.48	50.59	86.98	31.71	30.86	1.9	9.1	20.57	21.51	0.05	6.39	0.58	92.45	6.31	2.06	1.27	0.47	16.88	39.28	66.11	66.4	0.0	35.47	61.17	10.52	32.24	50.41	26.54	1.6	129.04	29.76	125.33	8.57	28.79	18.88	25.39	13.69	31.89	164.86	151.24
