	Chrna2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_38	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_18	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_117	Htr3a_tdTpositive_cell_123	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_51	Nos1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_2	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_139	Rbp4_tdTpositive_cell_147	Rbp4_tdTpositive_cell_162	Rorb_tdTpositive_cell_41	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
3110047P20Rik	4.93	42.66	26.95	0.0	0.0	0.0	43.48	0.0	8.41	0.0	30.56	36.61	1.24	11.05	12.35	0.0	0.0	0.0	0.0	0.0	4.86	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.06	0.03	2.75	28.31	13.64	0.46	0.0	12.51	32.79	44.26	79.3	53.87	0.0	44.49	26.91	1.96	0.0	0.0	0.05	1.37	2.65	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0
6330403A02Rik	0.97	15.23	8.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.45	22.7	31.47	18.63	2.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	5.64	19.7	17.77	13.03	8.93	0.07	39.89	2.86	6.26	12.98	4.68	17.17	39.73	3.22	3.92	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	6.13	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0
6530418L21Rik	80.04	58.03	47.58	8.01	0.0	0.07	1.08	49.34	0.79	0.14	62.73	44.41	92.23	62.56	72.78	0.0	24.75	0.07	0.42	0.0	3.52	0.12	40.37	4.66	4.14	2.18	8.75	52.13	0.0	0.52	80.84	33.0	43.53	132.57	18.13	155.66	124.55	16.9	62.77	61.26	102.2	62.16	65.18	76.06	64.87	0.0	36.57	0.1	12.67	30.17	37.06	2.5	0.09	4.67	0.09	16.01	51.04	0.0	0.0	10.25	49.02	0.2	27.9	0.05
Camk2d	39.42	134.27	123.98	0.0	0.62	15.83	0.0	26.9	0.0	17.76	392.89	253.8	231.11	101.14	341.4	43.86	20.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	36.85	30.61	333.42	57.65	219.39	132.82	218.01	103.97	269.3	38.7	302.62	158.58	124.27	218.63	170.11	0.0	0.0	276.1	20.95	0.65	0.0	24.75	0.0	89.09	0.0	0.0	16.95	0.0	0.0	0.07	0.0	0.0	15.85	0.0
Ccdc80	117.18	135.73	59.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.05	127.21	43.93	103.02	232.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.26	118.33	166.76	59.17	39.06	111.16	133.8	0.08	158.09	0.0	145.19	125.87	140.23	82.23	90.86	0.0	0.0	163.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cdk14	34.59	25.99	98.73	43.42	44.73	4.98	0.0	44.57	14.99	85.46	286.34	276.12	158.58	126.52	52.93	0.0	11.43	0.86	7.75	0.0	0.35	86.11	1.4	0.21	0.18	0.0	65.16	17.1	97.08	4.42	203.51	86.43	83.57	50.05	59.12	166.64	179.34	53.38	147.3	64.67	147.42	55.79	264.77	196.89	155.15	0.06	0.12	0.72	21.85	35.59	5.6	1.72	3.28	36.9	77.62	7.74	111.02	79.03	2.38	0.0	20.15	0.0	33.46	3.17
Crim1	0.0	5.11	8.12	5.39	12.59	0.0	4.38	3.02	3.34	0.0	5.4	29.2	43.81	24.15	1.69	0.0	0.0	0.0	0.09	0.0	0.0	0.8	0.07	0.0	0.21	0.0	0.06	0.11	0.08	0.12	0.0	0.65	6.51	0.56	2.88	1.02	13.97	0.47	0.68	1.7	14.07	5.43	12.42	1.88	22.12	0.0	0.19	0.0	0.17	1.64	2.13	0.0	0.0	11.44	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.42
Deptor	50.62	93.41	102.49	0.0	0.0	0.0	0.24	0.0	0.0	0.17	63.54	112.45	318.51	210.87	53.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	116.04	0.0	38.52	0.0	0.37	164.43	73.47	305.1	77.16	77.88	419.48	226.68	241.4	114.5	144.78	22.83	51.99	294.88	59.03	59.68	0.0	0.0	0.0	1.93	14.68	0.0	0.0	0.0	0.0	0.0	0.0	26.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dgkb	4.23	163.34	127.05	6.02	0.0	0.0	0.0	0.0	0.0	0.0	161.66	146.61	187.14	100.9	117.26	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	1.5	3.48	0.0	0.0	0.0	0.06	10.16	126.33	33.37	20.17	185.75	137.9	46.18	38.22	42.14	16.13	113.02	2.16	80.23	138.23	131.42	0.0	0.1	0.16	0.0	2.4	31.5	0.0	0.0	8.12	0.05	17.76	0.0	0.0	0.0	0.05	1.18	0.0	0.0	0.0
Dock4	12.68	32.5	2.62	0.25	0.52	0.0	0.0	0.0	0.0	0.0	4.16	3.21	2.13	4.12	8.8	0.0	0.0	0.04	0.0	0.0	0.51	12.08	0.0	0.0	0.0	0.33	0.0	3.58	0.0	0.02	1.57	12.24	33.42	0.0	5.72	0.16	6.99	9.0	15.82	1.37	3.65	4.84	4.38	17.93	8.05	0.0	0.0	0.0	2.37	0.27	6.59	0.32	0.0	1.71	0.0	7.3	0.37	0.03	0.0	0.0	0.0	0.0	0.06	3.57
