	Ndnf_tdTpositive_cell_20	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310001A20Rik	0.0	0.0	0.23	0.0	1058.22	0.0	68.13	0.0	0.22	0.0	0.0	0.0	59.4	62.01	57.4
2310044G17Rik	0.0	2.73	0.0	31.65	541.06	75.14	29.64	346.96	0.17	0.0	3.61	0.0	66.4	65.5	63.6
2410003K15Rik	0.0	0.0	0.0	0.0	18.91	0.0	5.93	0.0	0.0	0.0	0.0	0.0	17.7	19.74	18.67
2610001J05Rik	0.0	70.37	0.0	0.0	472.4	291.15	62.74	4.26	188.72	0.0	255.17	0.0	25.35	27.11	26.17
4933427D06Rik	0.0	0.0	0.0	0.0	0.85	0.07	0.0	0.0	0.02	0.0	0.0	0.0	0.11	0.08	0.23
5430421F17Rik	2.73	0.0	0.23	0.53	4.98	5.59	0.58	0.0	0.32	0.4	0.0	0.0	0.7	0.35	0.07
8430410A17Rik	0.0	0.0	0.0	0.0	170.03	0.0	31.95	0.0	0.0	0.0	0.0	0.0	21.53	26.03	23.98
9630028B13Rik	0.0	0.44	0.0	0.0	3.76	1.88	0.51	0.45	0.47	0.0	0.17	0.0	0.67	0.47	0.72
9930111J21Rik1	1.93	2.64	1.25	4.68	15.49	6.29	6.18	15.99	2.13	1.02	3.19	0.53	2.8	1.84	3.57
Ablim2	0.0	0.0	0.0	162.67	142.38	0.0	15.44	3.4	0.0	0.0	0.0	0.0	99.48	96.84	98.33
Adamtsl4	0.0	0.0	0.0	43.95	331.47	250.15	0.0	0.0	0.0	0.0	49.57	0.0	4.26	4.85	6.1
Ahsa2	0.0	0.0	0.0	0.0	137.54	148.76	34.9	0.0	0.02	70.85	0.0	0.0	19.48	19.48	18.08
Aimp2	0.0	0.0	0.0	0.0	421.94	0.0	89.62	0.46	0.69	0.0	0.58	0.0	44.44	43.48	43.62
