	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_75	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Rbp4_tdTpositive_cell_150	Rorb_tdTpositive_cell_11	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1500032L24Rik	0.0	127.65	172.33	249.19	341.01	150.59	249.71	96.74	0.0	3.51	156.79	60.51	139.23	112.18
1700047I17Rik2	7.62	3.24	4.07	1.14	47.34	26.37	7.45	1.69	34.8	4.29	14.42	13.41	14.19	19.02
1810063B05Rik	0.0	26.44	0.0	22.05	124.72	0.52	0.0	123.23	55.31	0.0	22.51	24.05	34.38	25.54
2010106E10Rik	0.0	0.0	0.0	0.0	8.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2210411K11Rik	0.0	0.0	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310003L22Rik	0.0	0.0	0.17	0.0	156.23	23.44	0.0	0.0	2.37	0.0	35.24	33.31	35.14	34.06
2310016M24Rik	159.99	19.8	1.0	435.24	608.59	342.69	352.15	687.79	787.06	514.02	346.09	300.73	348.25	328.04
2310044G17Rik	5.75	0.02	0.6	0.0	85.89	0.45	16.08	0.0	4.71	0.0	27.41	36.2	32.16	30.84
2410076I21Rik	0.0	0.0	0.0	0.0	18.02	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0
2410091C18Rik	172.92	211.95	24.91	3.97	318.93	21.15	86.64	3.67	23.66	18.18	125.12	124.48	116.68	139.78
4930455C21Rik	13.98	8.15	4.23	108.18	114.81	58.76	84.99	28.29	54.63	6.03	74.15	90.66	72.07	89.29
4930565N06Rik	0.0	0.09	0.0	0.0	0.79	0.16	0.18	0.0	0.0	0.0	0.0	0.13	0.0	0.0
4930588N13Rik	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4933401P06Rik	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5830418P13Rik	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6430571L13Rik	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	2.32
8430431K14Rik	0.56	0.0	0.08	0.0	0.25	4.64	0.14	0.0	0.18	0.0	6.46	0.1	0.0	1.5
A230056P14Rik	195.36	0.07	2.31	32.59	119.44	0.14	0.29	28.49	0.0	0.0	29.86	6.32	12.69	9.68
AF357425	31.82	62.29	0.0	45.75	110.83	23.38	0.0	0.0	20.52	0.0	63.19	0.0	0.0	0.0
AI462493	0.0	71.86	113.03	77.66	232.51	53.37	0.0	0.0	0.0	0.0	120.79	69.58	81.45	93.0
AI987944	3.31	3.36	1.87	0.0	107.74	0.82	221.56	2.7	2.33	0.71	22.22	31.34	19.27	26.13
Akap2	135.39	0.02	1.78	0.0	50.76	0.67	16.15	0.0	0.0	0.0	6.61	5.02	6.09	9.67
Aldh18a1	0.0	6.28	0.0	0.0	102.67	0.05	0.0	0.0	1.55	0.0	5.42	5.64	12.63	8.13
Ankrd12	0.84	94.79	0.0	26.58	156.0	30.41	46.15	17.84	121.08	15.06	22.77	28.04	24.93	21.96
Ap2s1	4.05	0.4	4.76	0.0	264.72	208.46	109.84	274.85	94.85	0.0	103.26	105.87	112.38	88.16
Arntl2	0.0	0.0	0.0	0.0	68.03	0.0	0.0	9.18	0.0	0.0	0.0	2.78	0.8	1.41
Atp5g1	181.51	433.41	436.28	1129.44	1415.74	127.95	826.23	557.89	597.28	601.45	1025.06	715.68	918.81	872.26
Barx2	0.0	0.0	0.0	0.0	52.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98
Bcl2l13	0.0	0.0	43.5	0.0	121.79	0.08	0.0	0.12	0.0	5.67	0.9	4.12	2.35	1.33
Bzw1	496.71	576.78	732.66	366.32	789.46	834.87	225.28	137.41	518.49	486.02	342.9	536.03	332.73	359.08
Cacnb2	0.0	0.0	0.0	0.0	1.38	1.37	0.41	0.0	0.0	0.0	1.72	1.59	2.29	0.98
Ccna2	0.0	0.08	0.0	0.0	11.96	0.0	0.0	0.0	0.0	0.0	0.0	2.43	0.27	1.21
Ccnl1	0.0	0.0	72.47	0.0	172.58	85.93	87.35	33.19	0.0	0.0	14.21	18.89	22.27	20.03
Cd200r4	0.0	0.0	0.0	0.0	10.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cd97	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrna1	46.59	35.6	18.73	11.4	60.95	9.31	2.13	77.09	9.64	4.11	8.47	6.09	4.63	4.79
Chst7	0.0	0.0	0.0	0.0	34.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cic	0.0	0.0	0.0	0.0	0.54	0.09	18.53	0.0	0.0	0.0	0.53	0.77	0.84	1.63
Clrn1	0.0	0.0	0.0	0.0	3.22	6.1	0.0	0.0	0.91	0.0	0.93	0.55	0.42	0.37
Cog4	10.29	0.66	0.0	0.0	110.81	0.0	0.0	133.24	5.79	0.0	58.15	61.85	60.21	66.56
Col20a1	0.0	0.0	0.0	0.0	1.88	0.0	0.0	0.0	0.0	0.0	1.07	0.57	0.0	0.0
D10Wsu52e	495.34	218.26	733.7	0.0	559.77	321.14	557.77	142.92	137.9	0.0	372.52	397.27	398.53	365.88
Dcaf5	0.0	0.65	0.08	0.0	57.69	0.03	6.72	13.73	0.0	0.0	4.0	5.22	9.84	9.14
Dido1	2.9	55.09	0.05	0.0	38.9	45.23	3.87	39.32	14.29	0.0	21.41	10.89	8.5	12.13
Dip2a	0.0	0.0	0.0	0.0	24.13	0.03	0.0	0.0	0.0	0.0	3.22	1.39	2.16	2.32
Dram1	0.0	0.0	0.0	0.0	72.92	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.98	0.0
Dusp22	2.31	4.95	40.05	53.38	299.61	83.82	7.29	152.42	59.18	13.26	35.64	24.83	43.26	26.9
Eif3j	168.88	0.0	2.98	0.0	146.18	123.84	0.0	0.18	0.0	0.4	6.23	19.35	20.42	14.56
Entpd5	119.02	0.06	0.0	0.0	84.77	0.6	0.0	0.0	0.0	0.0	4.29	4.42	6.79	5.71
Ephb3	0.0	0.76	0.0	0.0	65.66	0.24	0.11	0.0	0.0	0.0	8.19	2.07	0.16	0.92
Erlin2	0.0	0.03	0.0	0.0	127.5	0.05	0.0	0.0	0.0	0.0	4.91	16.75	15.34	16.44
Evi5l	0.0	0.33	0.0	0.0	13.94	0.0	0.0	0.0	0.0	0.0	1.78	1.97	4.54	0.46
Evl	0.0	0.11	0.0	0.0	44.2	0.0	4.39	34.71	9.62	0.0	12.63	10.0	10.06	8.24
Exosc9	0.0	18.23	37.74	0.0	367.51	115.53	208.31	0.0	140.49	19.36	253.09	220.35	160.69	162.88
Fam13c	0.0	0.16	0.0	0.0	142.83	0.06	0.0	0.29	41.05	0.0	18.36	26.57	14.33	12.71
Fam177a	7.62	3.24	4.07	1.14	47.34	26.37	7.45	1.69	34.8	4.29	14.42	13.41	14.19	19.02
Fam18a	0.0	21.68	66.57	0.0	183.04	0.0	95.06	0.0	0.0	0.0	0.18	12.92	12.91	13.96
Frg1	8.01	80.64	0.0	18.21	190.82	74.92	0.0	83.88	120.93	198.9	84.19	131.84	139.01	147.81
Gcat	100.09	0.0	0.0	0.0	70.39	0.0	112.15	0.0	0.0	0.0	16.19	2.65	6.32	10.17
Gm10125	12.92	0.0	0.0	0.0	6.68	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.7	0.0
Gm8580	0.0	5.03	2.04	6.72	47.49	1.7	74.54	2.27	17.59	1.74	19.39	12.43	12.83	14.91
Gpr135	0.0	0.0	0.0	0.0	37.34	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.26	1.03
Gpr21	0.0	0.0	0.0	0.0	12.42	0.0	0.0	0.0	0.0	0.0	24.0	12.89	13.49	27.32
H2afj	0.42	0.0	3.26	2.73	59.58	1.25	6.1	0.0	0.0	0.0	10.62	6.11	7.81	9.63
Hist2h2be	0.0	0.16	0.0	0.0	0.21	0.07	0.0	0.0	0.0	0.0	0.11	0.57	0.92	1.73
Hps3	60.77	3.05	1.97	2.42	106.06	4.03	4.89	1.3	5.57	8.28	8.89	9.7	10.42	4.43
Ier3	0.0	0.0	0.0	0.0	106.51	0.0	0.0	0.4	0.47	0.0	9.96	11.61	17.29	25.69
Immp2l	0.0	0.0	97.1	0.0	75.74	0.26	0.0	0.0	0.0	0.0	11.07	13.86	24.89	20.38
Immt	474.78	240.88	294.31	405.24	646.41	170.21	181.36	0.17	131.4	220.9	254.25	205.92	211.51	221.46
Ip6k1	34.28	0.39	2.96	0.0	315.01	63.69	210.69	43.21	115.11	0.0	64.39	87.04	41.7	29.82
Kars	525.0	283.26	109.11	0.28	397.59	217.85	417.28	0.0	52.19	11.98	206.8	231.74	208.18	198.63
Klhl28	178.1	2.31	0.0	0.0	111.01	0.0	169.33	0.15	49.94	0.0	7.35	23.71	17.83	19.81
Lmcd1	0.0	0.0	0.0	0.0	255.93	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.2	0.0
Lss	0.0	0.13	0.0	0.18	135.1	0.0	0.0	0.0	0.0	0.0	7.14	4.41	4.32	1.23
March2	1.09	0.3	37.66	0.04	99.18	0.65	0.39	0.34	21.64	0.72	9.15	14.29	13.14	8.81
Med8	108.56	207.7	52.31	121.38	251.28	0.0	99.86	0.23	65.81	0.0	43.96	64.51	64.19	66.76
Metap1d	0.0	0.0	0.18	0.0	103.37	0.0	0.0	0.7	0.0	0.0	18.59	20.19	6.73	12.17
Mettl17	0.0	0.0	0.0	0.0	253.68	80.78	0.0	0.0	5.61	0.0	0.19	14.0	28.19	18.24
Mll3	6.35	12.52	44.5	0.03	28.16	1.6	27.37	3.06	4.16	0.0	8.49	7.0	7.88	4.5
Mmp11	0.0	0.0	0.0	0.0	78.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.93
Mr1	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0
Msh2	0.0	0.03	60.68	0.0	103.31	0.0	0.0	0.0	0.16	0.0	19.19	20.75	9.77	14.85
Nap1l2	374.66	203.57	698.91	1.47	646.88	58.73	386.36	70.57	156.64	0.0	245.03	212.94	216.27	210.76
Napg	301.49	270.65	56.79	0.0	615.11	334.28	58.76	252.02	337.38	89.11	170.66	232.31	181.06	192.62
Ndufaf3	0.0	0.29	80.92	58.43	284.51	130.0	79.41	324.38	77.34	176.38	95.42	141.33	144.84	123.61
Nkiras1	66.22	159.64	83.65	138.47	230.36	319.53	271.95	203.44	81.67	91.64	121.83	104.64	109.89	123.77
Nol11	5.67	4.84	0.96	2.67	137.34	15.9	0.54	0.14	1.04	4.23	31.82	45.27	50.56	48.81
Nxf1	148.9	0.53	3.19	1.44	236.75	6.54	0.17	35.47	0.0	0.0	144.71	103.25	71.57	106.88
Oaf	0.0	0.0	0.0	0.21	0.27	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Opn1sw	0.0	0.51	0.04	0.28	0.92	0.38	0.16	0.0	0.0	0.0	0.48	0.75	0.2	0.0
Pag1	0.37	0.02	0.0	0.0	19.33	0.2	0.0	0.0	0.12	0.22	3.29	0.83	0.91	0.86
Pcsk1	0.0	45.07	101.1	18.97	526.66	0.15	63.31	96.07	119.47	0.0	60.32	67.96	53.44	50.89
Polg2	0.0	0.0	0.0	0.0	0.47	0.13	5.08	0.0	0.0	0.0	9.42	5.32	1.72	4.95
Polr3c	0.43	0.0	0.13	288.31	96.36	0.0	0.0	54.02	0.0	0.0	53.9	10.25	19.96	19.56
Ppifos	0.0	1.73	0.0	0.0	3.38	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prr14	0.0	0.0	0.1	0.0	111.85	0.08	0.0	0.19	0.0	0.0	0.0	11.97	8.65	6.74
Psmc4	183.89	967.57	315.54	353.96	823.91	589.92	727.83	818.94	450.0	463.58	503.4	571.33	575.55	551.49
Psmd13	0.0	227.96	165.05	0.0	448.53	127.5	2.31	149.46	169.83	230.43	150.65	59.2	92.42	75.65
Rab33a	508.7	406.84	0.97	0.0	424.67	223.07	2.96	160.16	0.53	146.87	167.3	134.46	142.42	147.11
Rab3ip	0.0	0.37	0.0	0.0	105.89	24.26	0.0	2.06	0.33	0.0	24.82	19.19	17.66	20.79
Rbm33	152.02	0.0	0.02	0.0	40.47	0.02	40.21	0.0	33.7	0.0	4.41	6.28	3.93	4.32
Rnase4	0.0	0.28	0.22	0.0	0.44	0.0	0.0	0.0	0.09	0.0	0.21	0.8	0.0	3.07
Rpl10l	0.0	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rpl29	479.13	226.65	501.12	525.34	580.7	248.49	964.29	303.03	431.9	223.0	520.02	381.82	493.29	454.84
Rprd1a	0.35	0.12	0.0	0.0	77.8	0.96	0.62	0.3	10.82	0.0	25.69	43.53	30.2	30.26
Scd4	0.0	0.28	0.15	0.0	5.29	0.6	0.37	0.31	0.0	0.0	0.9	1.1	1.72	0.96
Sec31a	65.83	76.45	0.0	101.41	163.13	17.07	52.73	0.0	2.46	0.0	18.8	24.51	26.42	26.89
Slc26a6	0.0	0.0	0.0	0.0	123.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.89
Snap25	26182.83	24880.43	23752.44	25194.29	16592.34	24000.2	24648.02	22891.51	21696.22	25542.47	17485.78	20846.74	19146.26	18964.09
Snora33	0.0	0.0	0.0	0.0	13.7	0.0	0.0	0.0	0.0	0.0	6.38	0.0	0.0	0.0
Snord49b	0.0	0.0	0.0	0.0	32.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sntg1	150.73	0.0	113.31	0.0	75.38	0.13	2.71	0.0	62.43	0.0	12.78	7.06	6.84	5.33
Snx4	0.0	0.12	0.0	0.0	234.89	0.0	0.0	0.0	0.0	0.0	55.54	34.67	28.68	22.38
Stx7	0.0	194.87	99.67	248.65	557.12	161.31	81.95	227.74	0.0	0.0	107.01	110.5	124.14	129.86
Taf12	139.67	0.0	0.34	239.99	414.55	0.86	141.59	147.84	119.95	0.0	63.38	63.04	57.04	61.47
Tceb3	0.0	0.02	10.44	22.69	176.0	161.51	0.09	76.82	0.0	0.0	51.86	19.83	22.51	15.89
Tgfb1i1	0.0	67.33	0.0	0.0	45.1	0.0	0.0	0.0	0.0	0.0	11.08	12.49	6.58	5.15
Thoc6	214.05	1.26	0.0	0.0	137.98	0.0	0.57	0.0	0.0	0.0	37.64	12.57	14.41	17.28
Timm22	196.81	12.42	25.97	7.48	242.02	121.21	43.39	93.03	142.41	3.52	84.22	93.45	134.71	114.33
Tmbim4	249.78	210.18	688.06	0.0	384.46	323.61	284.88	362.49	141.03	0.0	93.65	148.11	125.16	151.78
Tmco7	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.07	0.4	0.77	0.94
Tmem149	0.0	0.0	0.0	0.0	82.54	0.16	0.0	0.0	0.0	0.0	6.77	3.89	0.6	3.01
Tmem222	237.98	185.43	2.51	150.16	639.78	482.83	183.38	0.59	125.02	421.28	187.48	149.96	203.63	223.63
Tomm22	193.87	0.1	3.73	0.0	567.57	1.33	143.85	236.75	229.7	0.0	354.93	167.89	165.58	148.81
Traf3ip3	0.0	0.0	0.0	0.0	114.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trdmt1	0.0	0.0	0.0	0.0	15.8	0.0	0.0	0.0	0.0	0.0	3.53	3.28	4.31	7.38
Trmt2b	0.27	0.12	0.0	0.0	110.23	0.18	0.36	0.13	0.18	0.0	7.06	5.38	5.57	6.85
Trnp1	0.0	0.0	0.0	0.0	34.84	0.0	0.0	0.0	0.0	0.0	6.44	8.24	9.92	9.37
Ttc39c	39.32	0.0	0.0	0.0	0.0	0.0	20.46	0.0	0.0	0.0	0.13	3.64	1.3	0.29
Txlng	0.2	0.0	27.92	0.0	93.89	0.05	0.0	0.11	0.0	19.55	21.14	11.14	6.33	3.63
Uty	0.0	5.57	22.11	0.0	75.84	60.38	0.0	0.09	0.23	0.18	13.57	17.11	12.72	13.11
Vsx1	0.0	0.0	0.06	0.0	0.18	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
Yeats2	4.6	1.47	0.08	125.94	65.22	86.46	0.33	0.15	0.25	0.16	11.12	7.08	3.87	5.15
Zfp182	0.0	0.05	0.0	0.0	73.28	0.0	0.0	0.0	31.9	0.32	4.31	12.3	8.39	3.54
Zp3	0.0	0.0	0.0	0.0	31.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zscan18	0.0	0.0	0.0	0.0	17.94	0.0	0.0	0.0	0.0	0.0	4.44	9.74	3.3	5.53
