	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_10	Gad2_tdTpositive_cell_7	Htr3a_tdTpositive_cell_72	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_28	Nos1_tdTpositive_cell_54	Nos1_tdTpositive_cell_66	Ntsr1_tdTnegative_cell_16	PvalbF.Gad2_tdTpositive_cell_36	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTnegative_cell_13	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700003F12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.01	4.35	5.2
2210404J11Rik	0.0	0.0	0.0	0.0	0.0	0.0	28.85	41.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.09	0.0	0.0	0.0	0.0	16.67	0.0	4.0	11.67	12.85	11.82	12.04	10.93	12.26
2610017I09Rik	0.0	0.0	0.0	0.0	0.0	0.0	6.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.82	0.0	0.0	0.0	36.96	585.83	136.21	243.78	100.69	107.58	110.7	78.4	79.08	77.97
2900092D14Rik	0.0	0.0	0.23	0.29	0.13	0.0	24.82	0.24	0.12	0.0	0.0	0.35	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.15	79.64	119.22	31.69	35.08	19.77	18.7	19.53	17.76	16.49
4632434I11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.19	0.62
Abcb7	0.0	0.0	0.0	0.0	0.0	2.92	18.48	1.97	0.38	0.0	0.0	0.48	0.0	2.04	0.13	3.28	0.0	0.0	0.16	0.33	0.0	0.16	0.0	7.73	8.75	0.37	7.6	12.62	8.46	12.07	21.61	19.14	20.22
Ablim3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	2.56	0.0	2.14	1.4	3.32	3.68	16.42	18.67	15.08
Adcy8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.07	0.09	4.97	1.17	0.47	1.91	17.69	19.45	16.65
Alcam	0.0	0.0	0.0	0.0	0.0	0.0	459.84	38.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.94	0.0	0.0	0.0	91.01	38.89	0.47	0.39	3.16	2.13	1.32	100.71	94.97	94.18
Arhgap36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	1.85	2.5	2.01
Armcx2	0.0	0.0	0.0	0.0	0.0	194.42	49.06	31.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.03	48.06	105.65	0.0	0.0	31.8	11.69	0.0	18.87	17.19	18.76	21.24	67.76	69.2	65.1
Atxn7l1	0.0	0.0	0.0	0.0	0.0	0.0	101.53	43.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.06	0.0	0.0	0.0	59.28	54.06	1.0	32.2	33.19	43.93	40.18	29.08	28.02	27.32
B3galt4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	5.54	0.45	5.88	6.79	7.7
BC018507	0.0	0.0	0.0	0.0	0.27	0.0	7.55	24.41	0.02	0.0	197.88	5.62	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.51	0.0	0.04	0.0	6.54	21.73	0.06	5.43	7.59	6.99	10.53	59.59	57.31	61.46
