	Calb2_tdTpositive_cell_53	Gad2_tdTpositive_cell_74	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_60	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
A830010M20Rik	0.0	15.02	1.11	78.54	73.2	18.16	53.12	79.93	17.74	46.03	107.01	49.53	97.08	0.0
Calm3	4.96	65.17	136.37	245.92	243.4	192.57	237.75	187.49	206.64	177.19	231.73	176.18	278.66	14.59
Clstn1	0.0	3.05	0.18	18.32	15.37	38.71	81.23	58.77	18.68	10.42	31.76	26.63	8.76	0.0
Elavl3	0.0	1.7	0.12	42.64	18.22	22.73	13.37	33.64	37.76	15.48	78.45	1.71	38.14	0.0
Etnk1	0.0	5.07	0.92	85.36	58.43	78.37	39.95	91.77	78.69	73.88	135.68	39.18	85.94	0.0
Gm14164	0.0	0.0	0.0	1.0	0.94	0.78	0.56	1.02	0.61	0.23	8.88	0.36	0.44	0.0
Jph4	0.0	0.0	0.0	1.7	2.49	0.0	0.0	2.3	0.0	0.0	0.42	0.0	0.0	0.0
Ldhb	7486.96	8204.16	6399.01	8798.32	8525.9	9602.81	11261.44	10004.69	13571.31	12546.17	8275.76	7205.83	11746.38	5577.5
Nanp	0.0	5.28	0.44	141.8	49.45	98.82	97.51	204.83	172.59	115.62	202.55	19.11	176.76	0.0
Pdzd8	7.66	14.73	0.0	48.09	30.54	30.9	25.99	24.31	46.03	22.34	46.0	11.07	14.99	0.0
Plec	0.0	0.0	0.04	31.39	23.5	10.3	30.21	38.06	19.18	22.24	30.78	2.09	23.43	0.0
Shank1	0.0	3.82	0.0	7.7	8.55	8.3	13.46	8.33	6.21	6.89	8.02	5.72	7.43	0.0
Spock2	0.0	0.27	0.19	25.72	14.42	9.66	0.7	31.3	13.67	2.91	19.01	9.56	10.33	0.0
Srcin1	0.0	0.0	0.0	5.54	3.82	5.72	1.58	3.04	2.2	2.61	9.2	1.09	7.31	0.0
Stk25	0.0	0.21	1.1	68.8	28.75	9.41	45.67	49.1	1.7	0.63	126.33	5.51	65.29	0.0
Unc13a	0.0	2.7	0.0	7.27	6.3	7.73	1.02	3.23	3.02	1.97	2.92	2.03	1.86	0.0
