	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51
Akap6	0.0	0.0	0.0	0.0	2.66	0.0	0.11	0.06	10.93	17.13	23.2	10.87	14.0	16.62	23.61	7.39	28.11	36.71	25.03	40.29	19.67	5.85	37.08	10.09	4.47	7.37	39.18	18.63	3.96	2.57	13.13	16.07	17.86
Ank	0.13	0.0	0.63	81.4	46.09	0.55	0.0	0.0	81.81	1.13	83.68	114.14	98.39	93.4	119.23	84.49	89.15	234.87	137.81	116.63	136.53	128.44	102.86	72.33	47.91	51.84	38.59	200.36	87.76	20.38	52.16	98.73	122.45
Arl6ip5	252.46	0.36	307.06	0.0	207.95	0.0	3.2	0.0	214.17	123.06	368.7	361.17	380.23	256.54	98.67	87.23	235.78	349.4	318.47	313.28	190.0	254.17	371.05	282.97	148.74	109.42	149.23	394.74	166.89	237.69	385.6	155.7	527.01
Bod1l	0.0	0.0	13.69	0.0	6.86	3.87	0.11	0.0	17.41	1.07	7.01	4.41	9.09	9.43	18.07	11.52	11.77	22.7	5.48	1.71	10.38	20.87	15.45	11.24	16.44	16.54	5.18	16.3	5.84	21.12	12.89	17.76	0.0
Cd47	0.0	0.0	32.62	0.0	112.12	0.0	0.32	0.0	76.5	34.53	107.1	58.37	116.0	92.97	151.94	103.26	115.79	260.96	274.07	157.93	92.61	46.15	63.65	67.74	96.34	55.75	55.36	138.06	18.06	63.05	163.36	180.19	101.49
Cept1	82.13	0.0	52.64	0.0	63.81	0.0	0.43	0.0	168.78	93.7	145.75	190.12	174.77	211.85	294.91	141.36	304.11	290.77	106.98	193.5	163.16	48.04	366.85	126.0	83.19	395.14	108.09	224.42	127.09	131.81	61.02	119.71	145.7
Ciao1	0.0	0.0	21.29	0.0	10.48	0.3	0.39	0.0	45.25	0.0	22.48	70.23	82.88	25.01	75.2	2.68	100.38	63.52	36.65	59.85	62.42	83.92	89.28	55.64	27.61	25.21	13.39	99.04	101.95	9.9	45.87	23.45	74.48
Galnt13	0.18	0.0	0.04	0.0	3.75	0.29	0.1	0.11	0.1	0.74	24.08	9.74	0.08	2.52	3.95	47.15	17.42	30.61	0.0	21.07	17.21	4.14	28.83	13.54	5.88	8.04	2.63	48.51	8.95	18.4	35.31	44.64	21.55
Gm14430	0.0	0.0	7.02	0.0	3.32	0.0	0.0	0.0	36.04	0.0	14.72	13.5	14.04	16.5	13.46	12.83	3.07	11.03	18.55	13.57	4.08	0.32	3.81	0.54	6.88	8.34	13.98	17.65	13.81	11.12	30.75	15.88	2.38
Gm14434	0.0	0.0	7.02	0.0	3.32	0.0	0.0	0.0	36.04	0.0	14.72	13.5	14.04	16.5	13.46	12.83	3.07	11.03	18.55	13.57	4.08	0.32	3.81	0.54	6.88	8.34	13.98	17.65	13.81	11.12	30.75	15.88	2.38
