	Ctgf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_178	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610039K10Rik	0.0	0.0	0.52	0.0	0.0	0.72	0.67	0.75
1300002E11Rik	0.0	0.0	71.9	0.24	0.0	9.78	8.35	8.4
1700008O03Rik	0.0	0.0	23.18	0.0	0.0	2.12	1.89	3.0
1700023E05Rik	0.0	0.0	21.07	0.25	0.0	0.46	0.49	0.24
1810012P15Rik	2.36	2.18	86.35	4.76	3.19	23.63	22.63	23.83
2310034G01Rik	0.0	0.0	64.85	0.0	0.0	1.56	2.08	1.07
4732416N19Rik	0.0	0.0	30.99	0.0	0.0	1.08	0.0	1.62
4930448I18Rik	0.0	0.0	0.68	0.0	0.0	0.14	0.13	0.0
A4gnt	0.0	0.0	1.37	0.0	0.0	0.07	0.13	0.07
AW046200	0.0	0.0	44.77	0.0	0.0	1.47	0.64	1.08
Acads	0.0	0.0	0.26	0.0	0.0	6.54	8.05	8.04
Actn2	0.0	0.0	46.42	1.14	2.22	21.1	23.91	21.73
Adcy3	0.0	0.0	13.39	0.0	0.28	39.07	40.04	37.65
Aim1	0.0	0.0	0.31	0.0	0.07	0.46	0.63	0.54
Akap1	0.0	0.0	33.71	0.0	0.0	33.56	35.31	33.31
Aknad1	0.0	0.0	0.18	0.0	0.0	0.08	0.07	0.16
Alk	0.0	0.0	2.91	0.0	0.0	4.35	4.09	4.66
Ankrd37	0.0	0.0	57.61	0.0	0.0	7.75	9.62	8.92
Ankrd45	0.0	0.0	173.84	25.44	21.36	43.2	44.73	43.7
Ano4	0.0	0.0	25.65	0.0	0.0	13.57	13.56	14.09
Asf1b	0.0	0.0	51.38	0.0	0.0	0.93	0.88	0.84
Atp2b3	0.0	0.0	21.7	0.0	8.3	71.78	71.4	77.52
Azi1	0.0	0.0	0.13	0.0	0.0	22.71	22.38	21.89
B130034C11Rik	0.0	0.0	1.02	0.0	0.0	1.56	1.88	2.5
BC049635	0.0	0.0	17.86	0.0	0.0	11.12	7.9	9.85
BC051142	0.0	0.0	1.82	0.0	0.0	1.62	2.16	2.38
Bbs12	0.0	0.0	49.5	0.0	0.0	4.72	4.09	5.09
Bcl7c	0.0	0.0	3.83	0.0	0.0	17.89	21.79	17.63
Best1	0.0	0.0	40.27	0.0	0.0	1.24	1.48	1.33
Btc	3.27	1.12	14.94	0.52	0.98	1.24	1.37	1.42
Cacna1h	0.0	0.0	8.22	0.05	0.0	26.06	28.88	30.37
Cd164l2	0.0	0.0	0.5	0.0	0.0	4.43	4.54	4.13
Celsr1	0.0	0.0	1.22	0.0	0.0	1.93	2.32	2.21
Cgref1	0.0	0.0	15.87	0.0	0.0	26.66	28.98	29.97
Chia	0.0	0.0	48.98	0.0	0.0	3.27	3.7	3.78
Chst8	0.0	0.0	62.8	1.3	0.0	12.7	12.51	12.82
Cks2	0.0	0.0	59.96	0.0	0.0	2.22	2.51	2.75
Col9a2	0.0	0.0	9.94	0.0	0.0	4.6	6.26	5.34
Crb1	0.0	0.0	8.73	0.0	0.0	0.86	0.86	1.01
Csk	0.0	0.0	1.66	0.0	0.0	24.96	27.6	23.74
Ctnna3	0.0	0.0	17.88	0.0	0.0	1.32	0.95	1.54
Cubn	0.0	0.0	0.25	0.0	0.0	0.23	0.2	0.21
D130043K22Rik	0.0	0.0	27.54	0.0	0.11	32.58	30.09	31.08
Derl3	0.0	0.0	52.58	0.0	0.0	2.77	1.62	1.24
Dhx34	0.0	0.0	1.48	0.0	0.0	8.82	8.48	8.41
