	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_65	Ndnf_tdTpositive_cell_9	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51
4930455C21Rik	59.89	7.66	95.13	4.27	22.94	61.75	47.29	58.84	81.45	66.4	63.02	62.99	31.17	58.31	130.61	11.4	1.97	71.94
4931420L22Rik	0.0	0.0	1.73	0.0	0.0	2.1	0.0	0.0	1.05	1.02	0.42	0.0	0.0	0.0	1.19	0.0	0.0	1.26
9530008L14Rik	0.0	0.0	0.77	0.0	0.0	0.0	0.22	0.0	0.59	0.43	0.0	0.0	0.43	0.24	0.51	0.0	0.19	0.49
Atf2	0.0	1.47	173.96	0.11	23.96	104.6	80.44	65.18	179.55	40.71	103.47	80.28	40.45	26.17	133.76	83.16	23.44	91.43
Birc6	0.11	0.67	44.86	0.0	15.38	33.01	30.7	36.81	56.18	19.27	19.99	23.35	16.31	27.01	25.78	21.51	24.69	32.59
Dnajb1	5.24	0.11	129.99	0.0	2.18	37.59	72.0	29.01	115.01	0.0	15.48	15.23	0.12	1.61	78.06	18.67	0.0	0.09
Dvl3	1.38	13.45	120.58	1.43	36.19	76.05	126.57	55.32	89.2	75.74	52.92	79.29	90.41	41.86	93.38	83.7	36.51	28.1
Fam169b	4.89	1.71	18.94	1.55	8.33	16.09	19.61	12.37	23.11	10.01	14.89	6.66	6.59	13.08	16.43	10.41	10.62	10.92
Gm19619	0.18	0.95	7.53	0.0	3.94	6.74	3.49	4.23	6.12	4.75	6.54	4.01	3.22	4.29	6.46	2.05	2.37	5.1
Inpp5f	35.97	35.73	1495.44	16.11	409.85	601.75	537.54	694.77	853.36	459.11	602.71	392.38	314.85	430.12	589.07	339.56	546.5	739.16
Ldhb	6607.22	8970.97	3800.36	1744.47	10894.4	8892.3	9343.6	10165.1	9166.61	11261.44	10004.69	9074.03	13571.31	12546.17	9755.78	11010.48	10182.84	11746.38
Lrrc59	0.0	0.0	132.08	0.0	47.6	20.22	43.11	100.39	58.83	0.0	0.0	19.8	40.04	0.0	61.85	13.38	0.0	23.78
Necap1	244.97	102.88	879.42	0.0	480.76	226.66	623.39	591.37	749.25	449.22	558.03	422.83	216.98	308.87	744.54	387.25	325.54	668.47
Osbpl6	0.0	10.07	25.45	0.0	11.84	31.18	9.11	16.16	2.74	14.95	16.74	25.86	12.88	32.03	59.86	18.39	8.98	5.18
Prune2	1.09	20.75	229.53	0.0	55.6	179.21	293.82	221.57	283.44	104.21	140.49	210.79	123.11	153.66	225.09	71.62	140.87	158.93
Pwwp2a	0.77	18.27	54.16	3.34	5.74	83.5	34.9	47.44	34.63	38.74	14.43	12.38	8.76	1.24	22.88	1.67	6.77	1.9
Rpl5	197.77	53.85	589.11	0.0	492.33	351.62	375.85	245.44	380.43	397.8	101.38	207.89	191.16	172.68	171.13	272.02	213.08	439.22
Sf3a3	0.0	0.0	125.52	0.0	71.91	126.01	191.19	65.12	115.63	0.0	30.97	60.21	95.42	0.0	107.9	65.04	64.75	72.67
Slc24a5	37.38	3.33	151.51	0.0	46.7	141.98	108.95	138.87	226.72	79.12	87.98	61.38	68.99	110.41	92.6	71.85	74.25	120.39
Slc6a18	0.35	0.75	5.29	0.24	2.19	5.03	1.57	2.98	6.57	5.58	1.23	2.63	1.63	2.95	5.13	4.38	4.4	5.22
Sod2	87.05	151.78	499.85	2.76	124.34	288.24	413.63	374.93	234.4	154.62	330.36	228.32	194.99	183.32	362.45	303.43	239.46	311.95
Synj2bp	17.86	92.24	168.19	61.43	66.08	121.3	106.36	91.91	112.3	152.49	83.39	59.76	73.44	75.8	135.89	113.95	78.1	98.95
Tsfm	0.0	0.0	212.06	0.0	15.84	54.39	126.89	47.55	0.0	137.19	28.38	13.1	0.0	0.0	18.23	0.0	0.0	40.32
Tspyl4	189.39	32.41	461.6	0.0	192.15	257.19	293.55	242.29	763.31	274.38	445.74	213.04	272.92	224.18	486.2	245.96	311.7	287.82
Ube2h	1.05	19.11	226.83	0.0	42.98	121.96	197.76	99.67	158.75	88.69	76.48	98.95	32.98	142.76	177.22	71.8	155.17	128.03
Vezt	0.0	0.0	89.06	0.0	0.42	24.56	39.51	29.04	26.81	4.95	23.44	34.51	7.93	14.74	34.33	17.56	7.2	0.13
Zfp187	0.64	6.74	283.18	0.69	120.72	292.98	267.34	269.18	328.71	175.93	173.06	175.44	135.55	209.49	308.14	227.32	145.5	143.59
mt_AK136262	0.0	0.0	0.09	0.0	0.04	0.2	0.08	7.2	0.21	0.0	0.0	0.0	0.0	0.15	0.0	0.04	0.06	0.0
mt_AK142003	0.0	0.0	0.09	0.0	0.04	0.2	0.08	7.2	0.21	0.0	0.0	0.0	0.0	0.15	0.0	0.04	0.06	0.0
mt_AK166798	0.0	0.0	0.09	0.0	0.04	0.2	0.08	7.2	0.21	0.0	0.0	0.0	0.0	0.15	0.0	0.04	0.06	0.0
mt_AK166978	0.0	0.0	0.09	0.0	0.04	0.2	0.08	7.2	0.21	0.0	0.0	0.0	0.0	0.15	0.0	0.04	0.06	0.0
