	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_18	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_18	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Ctgf_tdTpositive_cell_21	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Htr3a_tdTpositive_cell_117	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_56	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_159	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_171	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_55	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_43	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2810403A07Rik	1.7	41.6	6.25	2.43	0.0	0.0	0.17	1.04	36.84	56.53	0.0	0.0	0.0	0.0	0.0	32.18	0.0	29.32	0.0	20.62	17.57	0.0	0.0	0.24	17.29	0.0	0.0	0.0	23.39	53.0	0.0	0.0	0.0	0.11	0.0	0.0	107.0	32.55	65.69	24.85	0.18	0.0	13.51	93.55	0.0	0.5	0.0	15.24	20.62	32.37	6.62	74.34	0.58	42.92	0.0	33.25	41.23	21.8	20.86	11.78	14.94	5.26	23.53	17.52	20.57	60.58	0.49	45.32	53.45	6.0	0.0	17.58	6.71	49.23	49.99	49.95
2810454H06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96	0.0	0.0	0.0	2.37	0.0	0.13	9.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	0.0	0.0	3.84	45.53	0.0	0.0	0.0	2.26	0.0	0.0	0.0	5.05	0.0	0.0	0.27	0.0	0.0	3.72	0.04	0.0	0.0	0.0	0.25	4.68	1.38	1.46	0.14	0.63	0.37	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.62	1.15
4922505G16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.17	0.0	0.0	0.23	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.75	0.62
4930405D11Rik	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0
4930509E16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09
4930546K05Rik	0.54	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.46	0.61	0.0	0.0	0.1	0.0	0.0	0.39	0.0	0.09	0.13	0.0	0.0	0.12	0.1	0.3	0.09	0.2	0.0	0.0	0.15	0.23	0.0	0.44	0.0	0.06	0.31	0.0	0.13	0.11	0.92	0.05	0.08	0.08	0.0	0.17	0.0	0.0	0.0	0.14	0.0	0.15	0.48	0.11	0.0	0.0	0.16	0.0	0.0	0.1	0.0	0.0	0.0	0.12	0.11	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.18	0.1	0.2
4930550C14Rik	0.0	0.0	0.0	17.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.59
4930570G19Rik	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.85	0.0	0.0	0.0	6.36	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	16.58	5.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.83	36.09	0.0	0.0	0.0	0.0	0.0	0.0	5.39	5.37	14.98	11.43	0.62	10.04	14.0	6.15	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	15.12	13.62	16.74
4931406H21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	7.82	0.0	0.0	0.0	0.11	0.09	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.9	0.0	28.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94	0.28	0.0	1.47	0.47	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.03
9030625A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4	4.63	5.96
