	Chrna2_tdTpositive_cell_7	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_53	Gad2_tdTpositive_cell_62	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_35	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_92	Ndnf_tdTpositive_cell_15	Ndnf_tdTpositive_cell_20	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_67	Sst_tdTpositive_cell_73	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_68
0610010B08Rik	0.22	0.0	27.11	0.14	43.79	71.15	44.6	50.33	6.21	8.46	22.72	0.0	0.0	12.16	0.0	4.25	9.34	1.59	16.09	19.06	1.93	13.43	54.74
1500011B03Rik	0.5	0.0	160.25	105.06	259.56	839.9	458.84	256.53	2.09	285.15	234.16	464.87	0.0	597.08	0.0	331.91	361.97	321.73	140.77	282.62	409.93	0.38	542.02
1700029F12Rik	1.19	0.0	0.28	0.0	1.27	4.32	4.85	1.32	0.0	0.5	0.0	0.0	0.0	0.48	0.0	0.38	1.58	0.0	0.0	0.0	0.6	1.34	1.63
1700047I17Rik2	11.16	2.15	0.93	1.41	0.53	27.33	0.03	36.77	10.71	1.55	18.53	100.97	0.56	0.86	0.0	3.2	5.17	15.81	6.33	3.96	8.43	1.81	10.34
5730408K05Rik	99.47	0.0	16.19	0.0	2.09	156.53	0.0	0.0	1.68	0.0	0.0	350.89	11.17	1.48	0.0	64.64	152.79	168.63	0.0	85.96	0.0	0.0	1.79
9830132P13	1.05	0.23	2.19	0.62	2.69	8.12	7.16	4.07	0.65	2.46	3.35	0.58	5.16	0.71	0.0	1.28	6.53	1.87	2.42	5.3	0.96	2.96	11.34
A730008H23Rik	0.0	0.0	0.0	14.22	0.0	39.73	14.39	5.92	0.41	0.0	0.0	9.44	0.0	8.6	0.0	48.95	40.48	6.44	0.0	65.15	0.0	0.0	1.15
AU023762	11.66	0.0	4.56	3.08	19.8	11.53	10.16	7.42	2.08	12.01	10.13	13.2	4.07	6.83	0.0	4.07	2.99	6.28	6.81	5.7	6.99	11.06	12.06
Akap8	74.25	0.37	64.29	1.05	0.81	184.26	1.88	1.38	66.34	2.11	88.17	0.56	1.04	22.13	0.0	66.39	111.27	41.19	0.46	44.93	0.79	4.98	139.94
Aldh5a1	0.0	0.0	0.14	0.06	31.74	74.01	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	1.2	0.0	0.05	0.08	0.37	9.8	0.0	85.7
Alg1	0.0	0.0	0.0	0.0	0.0	120.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.36
Ankrd17	0.9	0.0	13.34	1.11	37.48	93.11	81.39	6.79	0.0	0.04	19.42	15.07	0.0	1.41	0.0	41.82	4.06	4.07	1.12	17.23	0.04	1.67	97.59
Ap3d1	74.3	0.0	0.0	0.0	9.34	195.54	8.81	0.0	65.19	0.0	300.09	3.29	0.0	8.07	0.0	100.87	0.18	0.06	0.0	123.51	7.74	121.89	84.08
Appbp2	300.08	0.0	46.74	0.58	0.29	285.86	0.0	225.18	9.41	7.41	94.57	16.59	0.0	11.13	0.0	61.52	5.21	0.12	204.35	0.0	10.37	16.12	88.15
Aqp7	3.81	0.22	4.66	0.37	1.93	6.04	4.81	2.63	3.26	1.79	7.1	2.99	1.82	5.88	0.0	2.73	2.31	4.2	5.33	4.83	3.32	7.49	5.92
Atp5d	4.38	0.0	163.43	334.77	7.82	442.61	213.66	104.24	11.33	1.85	162.17	11.01	204.7	382.08	0.0	26.42	75.38	192.77	110.22	308.78	57.45	65.88	490.56
