	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_123	Ntsr1_tdTpositive_cell_69	Ntsr1_tdTpositive_cell_71	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_129	Rorb_tdTpositive_cell_40	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610043K17Rik	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.62	0.0	0.0	1.01	1.74	1.73
1700019N12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.47	0.0	0.0	11.64	12.48	11.04
1700112E06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.4	0.0	0.0	0.45	0.31	0.8
9530003J23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.08	0.0	0.0
AI846148	0.0	1.49	0.0	0.0	0.14	0.0	0.21	0.0	0.11	0.0	0.0	19.74	21.08	18.17
Atp4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.57	0.48	0.53
BC021891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15	2.35	2.47
Bcl2l10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.83	0.0	0.0	0.0	0.0	0.08
Bfsp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.71	0.71	0.77
Bhlhe22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52	0.0	0.0	38.02	41.56	39.71
C130050O18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.07	0.0	0.0	0.64	0.75	0.61
Cd164l2	2.37	0.0	0.0	13.04	0.0	0.0	0.0	2.97	0.0	0.0	0.0	4.43	4.54	4.13
Cdc34	0.0	0.0	0.0	30.9	7.63	0.46	0.0	8.35	40.25	3.94	0.0	49.82	54.76	52.75
Crk	80.61	0.0	0.0	0.0	28.53	7.3	0.0	52.68	78.69	14.91	1.84	104.96	99.14	97.37
Dach2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.69	0.0	0.0	0.36	0.56	0.47
Depdc7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.52	0.0	0.0	1.44	1.58	1.37
Dgke	7.36	2.29	0.91	0.41	0.23	0.19	23.81	78.55	30.48	0.25	2.02	49.07	47.9	46.81
Dnajb9	52.57	16.31	0.0	62.55	1.09	0.0	10.02	0.16	160.7	86.36	0.99	56.64	56.93	53.99
E130317F20Rik	0.0	0.09	0.0	0.0	0.0	0.16	0.06	2.53	21.71	0.0	0.0	2.78	3.3	3.13
Enho	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	29.66	0.0	0.0	55.83	66.53	64.27
Fbxw11	0.0	0.0	0.0	17.07	55.05	1.26	3.84	27.73	3.89	7.38	31.72	96.8	95.03	97.22
Fhl4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.63	0.94	0.88
Foxm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.88	1.13	1.32
Galnt12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.26	0.0	0.0	1.56	2.27	1.75
Gm14139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.41
Gm14169	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	44.87	0.0	0.19	6.72	7.18	7.95
Gm15070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.45	0.0	0.0	0.03	0.03	0.09
Gm4814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.05	0.0	0.0	0.28	0.28	0.9
Gm6583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.39	0.0	0.0	0.58	0.5	0.43
Gnpat	0.0	0.0	0.0	0.0	47.23	0.0	5.2	0.0	0.59	0.0	0.71	52.15	49.78	49.85
Hinfp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.65	4.19	0.0	13.58	13.96	15.57
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
I830012O16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.34	0.0	0.0	4.81	4.47	3.2
Ikzf4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	9.24	8.38	8.65
Il17rc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.55	0.0	0.0	3.88	3.69	3.73
Jam2	0.0	0.0	0.0	0.0	0.0	0.0	22.86	0.0	29.0	0.0	0.0	23.34	20.85	25.18
Kcnj4	0.0	0.89	0.0	0.0	1.15	0.53	0.27	0.83	0.0	7.61	0.57	140.96	163.91	150.91
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Klhl25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.27	0.0	0.0	8.36	8.55	7.49
Klhl30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.13	0.22	0.17
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Map3k7	0.11	1.99	0.0	17.22	0.0	13.09	0.06	12.76	0.37	0.08	0.0	35.88	33.8	33.16
Mapkapk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.42	0.0	0.0	23.43	25.16	25.56
Mcm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.43	0.0	0.0	3.36	3.63	3.77
Mmgt2	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.32	11.07	0.0	0.0	14.5	14.7	16.22
Nbeal1	0.0	4.27	0.51	9.96	0.0	7.95	0.03	0.05	14.24	3.06	11.53	6.49	3.92	6.24
Nuf2	0.93	2.14	3.83	3.72	5.32	2.91	2.27	3.99	24.02	4.26	2.49	4.5	3.87	5.02
Pccb	0.0	0.0	0.0	0.0	0.2	109.74	16.81	0.0	57.36	0.0	0.67	52.47	59.94	53.04
Pmepa1	4.99	0.0	0.0	2.26	0.54	8.9	3.47	4.89	21.74	2.93	0.0	33.96	33.05	32.31
Prkcd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.51	0.0	0.0	9.87	10.93	9.39
Ptgfrn	0.0	0.0	0.0	0.0	0.0	7.05	0.0	0.0	2.27	0.0	0.0	22.87	21.65	22.36
Ptprq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.5	0.0	0.0	0.11	0.08	0.1
Rab24	13.58	0.0	19.57	0.0	0.0	0.0	0.0	0.0	56.47	0.0	2.47	60.01	70.01	60.32
Rhobtb2	19.95	0.0	0.0	0.0	0.0	0.0	27.92	20.9	37.51	0.0	0.0	60.65	60.9	53.86
Rnf148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.24	0.08	0.0
Slc30a7	0.04	0.0	0.0	0.0	1.62	0.0	0.0	3.92	0.0	0.0	12.45	8.31	7.21	7.28
Stxbp5	0.63	0.0	5.58	24.0	0.0	14.35	5.5	0.0	5.28	29.54	2.41	43.72	41.03	43.01
Syna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	5.44	4.68	4.79
Taf5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	37.03	0.0	0.0	6.01	5.44	4.52
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tgm4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.08	0.0	0.0	1.68	1.44	1.1
Tmem215	0.0	0.0	0.0	0.0	106.54	0.0	0.0	0.0	0.0	0.0	0.0	9.91	9.85	9.92
Tubgcp6	0.0	0.0	0.0	0.0	4.44	1.6	0.0	7.27	12.14	0.04	0.0	17.64	16.8	19.37
Vav2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.2	0.0	0.0	7.34	7.05	7.96
Vit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02	2.36	2.15
Zfhx2	0.07	0.0	6.08	0.0	0.1	0.0	0.16	0.1	0.08	0.49	0.0	24.18	22.92	24.02
Zfp169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.84	0.0	0.0	8.57	7.91	8.24
Zfp786	0.0	0.0	0.0	0.0	0.0	20.21	0.12	0.0	45.6	0.0	0.0	3.94	4.5	3.2
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	698.22	0.0	1075.62	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	28.49	0.0	0.0	0.0	0.0	7.49	0.0	0.0	0.0	18796.57	17507.83	18655.33
