	Cux2_tdTnegative_cell_6	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_88	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1300018I17Rik	0.0	0.68	59.62	0.9	0.0	43.83	49.49	52.89
1700001G17Rik	0.0	0.0	29.66	0.0	0.0	1.37	0.65	0.24
4833422C13Rik	0.0	0.79	26.09	0.15	0.61	5.41	5.08	7.02
4930432K21Rik	0.0	0.0	53.06	0.0	0.0	2.73	2.99	2.72
9330175E14Rik	0.0	0.0	0.58	0.0	0.0	0.32	0.12	0.02
9930014A18Rik	0.0	0.0	4.22	0.0	0.0	1.55	1.89	1.48
AW146154	9.96	1.4	1.64	14.56	1.6	3.43	3.27	4.07
AW551984	0.0	0.0	0.08	0.0	0.0	4.19	4.75	4.8
Aak1	0.0	9.08	28.17	28.6	0.0	77.03	72.23	78.8
Adam4	0.0	0.0	15.3	86.51	0.0	0.32	0.24	0.21
Aff2	0.0	0.0	22.87	4.83	0.0	6.41	6.14	7.48
Ahdc1	0.0	0.71	6.09	0.03	0.0	21.02	21.81	21.88
Akap10	0.0	19.34	34.15	0.06	0.0	24.04	20.03	24.05
Ankrd23	0.0	0.74	4.49	0.0	0.0	4.72	3.92	3.77
Aoah	0.0	0.0	0.16	0.0	0.0	0.23	0.35	0.25
Apoe	0.38	52.74	53.72	0.0	0.0	1751.2	2087.69	2030.23
Arid5a	0.0	0.0	25.62	0.0	0.0	4.25	4.23	4.08
Ash2l	0.0	0.0	44.79	0.2	0.0	38.56	37.74	37.65
Aspscr1	0.0	0.0	88.34	0.0	0.0	39.68	43.11	40.47
Atp1a2	1.69	24.91	7.94	4.58	0.81	431.93	422.72	458.79
Atp2a2	0.0	134.15	160.57	213.59	0.0	513.24	490.71	517.28
Atp2b3	0.0	3.69	54.69	0.91	0.53	71.78	71.4	77.52
BC024139	0.0	0.0	0.17	0.17	0.0	0.81	0.99	0.78
BC037034	1.81	0.0	17.65	0.0	0.0	48.42	51.97	49.02
Brsk1	0.0	1.43	3.76	0.0	0.0	278.89	294.42	291.95
C030046I01Rik	18.56	50.51	127.16	34.86	2.84	278.49	290.92	298.72
Ccdc22	0.0	22.31	98.46	1.01	0.0	32.69	32.28	35.18
Ccdc25	0.18	0.0	256.59	1.94	0.0	36.94	33.63	39.04
Ccdc40	0.0	0.0	11.47	0.0	0.0	1.02	1.11	0.91
Ccl27b	0.0	11.75	2.04	0.85	0.0	30.63	28.29	22.96
Chd3	0.0	1.08	32.12	0.15	9.67	229.08	240.27	248.23
Chsy3	0.0	0.0	28.6	3.44	0.0	12.18	11.49	10.64
Clec7a	0.0	0.0	0.24	0.03	0.0	0.35	0.29	0.45
Cln5	0.0	0.0	92.66	0.0	0.0	11.71	13.05	11.92
Cpt1a	0.0	15.51	14.68	0.0	4.01	16.18	17.93	18.07
