	Ctgf_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_9	CAV_LP_Ipsi_tdTpos_cell_26	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2210404O07Rik	0.0	0.0	0.0	1.81	2.39	1.49
2610306M01Rik	0.0	0.0	1.33	11.32	11.68	9.57
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930447K03Rik	0.0	0.0	0.0	0.2	0.28	0.2
4930526D03Rik	0.0	0.0	0.0	0.14	0.14	0.15
6430704M03Rik	0.0	0.0	65.71	157.21	140.8	157.89
9530053A07Rik	0.0	0.0	0.0	0.04	0.04	0.05
Alox15	0.0	0.0	0.0	0.04	0.04	0.13
Ank1	0.0	0.0	1.68	19.24	22.06	23.05
Ankzf1	0.0	0.0	0.32	24.78	27.09	26.52
Art4	0.0	0.0	0.0	0.08	0.08	0.13
Asmt	0.0	0.0	0.0	0.08	0.08	0.09
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC090627	0.0	0.0	0.0	0.08	0.61	0.99
Bax	0.0	29.56	1.6	67.15	67.19	61.71
Bfsp1	0.0	0.0	0.0	0.71	0.71	0.77
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna1a	0.0	0.08	2.67	73.0	70.76	78.42
Cacna2d1	0.0	4.71	7.16	99.54	89.77	97.68
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccng1	0.0	0.08	0.13	57.14	53.51	58.0
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chst5	0.0	0.0	0.0	0.72	0.72	1.16
Cntnap5a	0.0	0.0	0.0	16.67	14.54	17.36
Cym	0.0	0.0	0.0	0.08	0.08	0.25
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
D830046C22Rik	0.0	0.0	0.0	0.08	0.08	0.17
Dnase2b	0.0	0.0	0.0	0.04	0.04	0.13
Duox2	0.0	0.0	0.0	0.02	0.02	0.03
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Ecm2	0.0	0.93	0.73	4.56	4.02	5.06
Elp4	0.0	0.0	0.9	9.41	7.65	9.61
Epb4.2	0.0	0.1	0.38	0.94	0.68	0.95
Epha4	0.0	0.26	17.74	91.45	92.27	87.29
Ermn	1.48	0.97	0.06	31.76	25.47	31.52
Fat3	0.0	0.0	0.0	19.99	16.1	21.82
Fgfr3	0.0	0.0	0.88	64.08	58.11	63.67
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gcap14	19.12	42.32	0.08	49.58	45.33	48.03
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm13629	0.0	0.0	0.0	7.32	5.3	6.65
Gm826	0.0	0.0	0.0	0.09	0.09	0.19
Hapln4	0.0	5.29	0.0	79.51	87.78	92.43
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hint3	0.0	0.0	0.0	31.02	26.58	29.58
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpd	0.0	0.0	0.0	0.07	0.07	0.15
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Insrr	0.0	0.0	0.0	0.27	0.27	0.3
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif21a	0.0	102.62	9.02	98.02	91.74	93.03
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Mageb16-ps1	0.36	1.65	0.87	2.5	2.43	2.74
Mical3	0.0	0.0	0.0	31.45	29.99	36.22
Mip	0.0	0.0	0.0	0.09	0.09	0.24
Mpz	0.0	0.0	0.0	0.1	0.14	0.1
Ms4a8a	0.0	0.0	0.0	0.09	0.09	0.1
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Odz4	0.0	0.0	0.04	30.76	27.31	33.46
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Pfdn2	0.0	3.92	0.76	149.41	155.64	151.45
