	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_25	Chat_tdTpositive_cell_2	Chat_tdTpositive_cell_5	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_11	Rbp4_tdTnegative_cell_4	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23
1500004A13Rik	0.11	230.08	60.38	63.27	90.62	0.0	0.0	0.0	0.0	0.0	90.49	34.52	1.11	0.0	138.4	15.66	0.0	0.16	56.09	11.3	44.09	8.95	0.05	0.0	0.0	42.4	31.89	1.56	0.26	52.72
2310003C23Rik	2.26	7.14	5.88	8.66	58.3	0.0	0.33	1.38	0.27	3.42	2.63	1.26	1.87	2.72	4.39	3.08	1.41	4.0	100.64	3.51	4.85	2.68	0.0	0.07	1.76	2.28	3.68	3.5	3.57	2.79
2700062C07Rik	0.0	370.7	176.47	603.8	103.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.62	0.0	0.0	120.9	0.0	0.0	162.66	53.79	0.0	34.76	0.0	0.0	0.0	2.49	0.0	122.11	0.0	1.19
Amy2a2	0.1	1.24	0.22	0.39	0.36	0.0	0.0	0.12	0.24	0.04	0.15	0.02	0.24	0.81	0.16	0.07	0.0	1.65	0.23	0.1	0.15	0.1	0.06	0.06	0.02	1.43	0.21	0.15	0.08	0.33
Amy2a3	0.1	1.24	0.22	0.39	0.36	0.0	0.0	0.12	0.24	0.04	0.15	0.02	0.24	0.81	0.16	0.07	0.0	1.65	0.23	0.1	0.15	0.1	0.06	0.06	0.02	1.43	0.21	0.15	0.08	0.33
Amy2a4	0.1	1.24	0.22	0.39	0.36	0.0	0.0	0.12	0.24	0.04	0.15	0.02	0.24	0.81	0.16	0.07	0.0	1.65	0.23	0.1	0.15	0.1	0.06	0.06	0.02	1.43	0.21	0.15	0.08	0.33
Ano4	65.87	278.39	41.51	30.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.7	80.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brwd1	0.35	261.28	262.26	203.9	46.18	0.0	0.0	0.0	0.0	34.36	3.65	16.45	3.17	33.22	16.8	0.0	0.0	194.17	0.49	3.51	29.82	8.95	0.0	0.0	0.0	38.27	86.69	3.13	0.0	108.11
Cd3d	2.04	34.59	13.47	4.56	4.12	10.86	13.52	0.0	1.18	0.41	2.52	1.84	0.85	7.79	1.36	1.34	6.31	2.87	1.5	2.45	2.24	0.74	0.13	0.0	1.05	3.34	6.46	3.22	1.43	4.08
Cebpz	0.05	99.1	98.5	8.64	24.15	0.0	0.0	0.0	0.0	0.0	7.11	23.99	0.05	0.12	4.74	7.13	0.11	10.1	36.56	0.88	1.83	31.86	0.0	0.0	0.0	0.28	0.0	3.44	0.0	1.64
Cnnm3	0.88	28.35	1.48	19.16	0.47	0.0	0.0	0.51	0.34	0.66	0.0	0.05	23.14	0.07	1.82	1.0	0.06	0.8	0.05	28.97	2.31	2.61	0.0	0.1	0.22	0.88	0.62	0.6	0.98	12.46
