	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_18	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_5	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_4
2210403K04Rik	7.32	0.76	0.26	0.99	0.0	88.88	70.04	2.83	0.0	0.0	0.0	328.32	250.1	65.1	3.82	76.7	0.0	38.37	0.0	19.69	0.44	0.29	43.39	0.0	0.0	0.0	0.0	63.84	0.0	45.57	0.0	68.0	30.22	88.55
2410091C18Rik	1.95	2.69	0.57	5.67	106.26	8.6	78.33	1.69	7.89	4.04	9.55	212.17	306.29	28.13	55.15	74.42	4.12	120.3	99.82	126.27	12.8	37.46	94.03	93.3	2.31	4.26	5.24	362.28	0.65	4.0	2.34	38.52	40.56	70.3
Actr10	8.81	5.35	6.73	124.71	1.31	222.26	439.15	118.87	178.67	7.39	44.18	461.98	350.14	126.13	312.68	379.61	233.07	382.42	92.73	49.31	89.09	255.06	183.01	31.61	224.58	6.65	11.34	2.71	2.44	55.84	128.84	138.0	93.31	209.62
Adra1a	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	54.38	12.17	14.11	10.19	2.11	0.0	21.26	30.63	0.0	0.12	66.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.84
Alkbh5	0.08	6.92	14.65	31.86	43.98	41.74	10.55	12.96	52.67	0.2	1.2	34.31	33.57	39.09	46.78	24.91	35.08	37.6	35.56	45.16	33.79	31.66	22.82	21.8	24.68	127.84	0.29	4.93	5.55	6.04	0.17	43.35	20.02	4.17
Atp5f1	880.86	641.98	351.01	1044.73	0.55	383.74	539.67	463.58	5.29	1488.43	18.4	2258.26	2011.33	1284.49	939.6	1246.59	1415.21	1343.65	1467.04	1097.06	1410.08	1465.27	1728.28	2.5	713.37	5.52	0.0	478.46	629.68	53.85	152.58	573.96	664.97	576.95
Brp44l	1432.13	1083.89	717.79	1024.73	0.0	667.58	990.23	791.16	13.07	897.57	15.76	2082.47	3644.28	961.39	1111.83	1813.83	2373.07	1479.43	1449.81	3337.63	2442.5	2116.42	2059.45	4.12	599.6	331.12	0.0	634.89	746.05	1433.37	592.89	692.85	528.86	1137.31
Cadps	0.0	0.0	0.0	84.5	0.0	193.83	5.98	1.1	0.23	0.0	0.76	167.94	116.58	192.69	14.55	71.18	121.44	50.79	124.44	41.09	140.83	68.64	116.63	0.22	0.0	0.0	0.0	0.0	0.0	0.0	3.77	31.84	68.33	27.84
Cbx3	1083.84	685.27	98.2	1760.33	788.38	1234.34	1025.24	689.35	20.5	467.98	14.15	1239.7	1845.06	1355.39	1071.15	1197.66	1244.56	1006.49	1028.27	1457.56	1470.61	2412.14	2021.55	193.88	185.8	318.86	0.0	3.44	295.7	238.59	410.07	556.29	323.39	539.71
Ddit3	0.0	0.0	0.0	2.77	0.0	128.23	102.17	108.68	0.0	133.75	0.0	884.95	691.23	132.33	75.04	73.66	92.49	216.99	225.33	124.03	186.32	212.89	269.66	40.36	0.0	0.0	0.0	14.73	0.51	19.66	7.11	61.56	54.11	98.3
Dnajc5	162.87	0.0	0.0	0.16	0.0	66.52	32.42	0.7	1.02	0.0	2.91	105.69	125.59	93.74	3.11	48.6	48.42	70.5	86.55	3.65	1.04	4.47	2.46	12.29	0.0	0.0	0.16	0.0	0.0	0.0	0.46	372.37	101.7	184.17
Dusp14	0.0	0.0	0.0	161.55	0.11	182.93	320.94	0.0	13.36	0.0	0.74	217.34	166.64	28.36	12.79	58.19	66.54	118.68	42.33	58.6	1.45	1.43	2.05	2.53	0.0	0.0	0.0	0.0	0.0	0.0	0.61	233.95	162.26	268.97
Dynlrb1	444.8	0.0	0.0	722.15	954.92	511.28	681.06	514.03	753.57	277.22	21.32	1959.17	1618.58	1155.08	825.33	846.17	1663.94	1181.39	1143.7	1428.39	1773.86	1763.03	1415.0	1030.69	526.0	76.28	0.93	607.87	0.66	0.0	1139.78	606.78	516.57	725.14
Dyrk1a	0.0	1.73	3.01	64.16	0.0	16.12	30.19	0.08	0.87	0.0	0.36	36.19	62.13	31.54	19.33	36.16	7.15	15.04	19.18	0.59	6.86	18.54	37.16	2.25	0.0	62.28	0.0	0.35	8.63	0.0	24.84	16.33	20.32	0.0
Fam160a2	0.0	0.0	0.0	3.04	0.0	0.08	1.67	0.13	0.0	0.0	0.22	0.0	23.9	0.34	6.99	6.78	0.74	6.06	2.63	0.13	0.79	0.08	4.32	27.25	0.0	0.0	0.06	0.0	0.81	0.0	21.11	15.64	1.12	1.81
Fgf12	0.0	0.0	0.0	18.46	0.31	116.25	88.6	0.35	0.17	0.0	2.4	371.8	311.71	507.51	206.71	135.64	204.28	156.73	335.23	275.73	474.47	638.8	280.29	1.85	0.0	0.0	0.0	0.0	0.0	0.0	92.45	79.09	103.98	151.63
Gabra1	0.0	0.0	0.0	69.01	0.04	206.44	243.92	65.71	0.0	0.21	4.53	698.71	823.62	375.85	165.49	373.26	556.68	491.33	441.39	498.48	484.2	667.24	466.73	1.43	0.0	0.16	0.14	0.0	0.0	0.0	136.59	206.01	175.54	149.57
Gabrb2	0.0	0.0	0.0	141.25	0.04	418.6	278.29	64.94	0.0	0.12	3.71	618.31	559.91	441.47	259.38	293.95	266.01	367.7	278.64	61.0	344.98	120.89	187.35	1.96	0.0	0.0	0.0	0.0	0.0	0.0	24.31	76.74	142.84	75.53
Gabrg2	0.27	0.0	0.0	105.28	0.04	561.75	185.44	1.79	3.0	0.0	9.04	718.13	597.61	590.04	264.86	420.61	719.39	1022.24	214.17	216.66	455.79	470.36	292.51	3.22	0.0	0.0	0.0	0.0	0.0	0.0	167.06	394.56	326.05	160.3
Gm14430	0.0	0.07	1.53	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.06	12.3	10.3	8.24	0.0	3.4	0.0	12.07	23.92	6.94	0.0	0.1	13.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.34	6.2	6.64
Gm14434	0.0	0.07	1.53	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.06	12.3	10.3	8.24	0.0	3.4	0.0	12.07	23.92	6.94	0.0	0.1	13.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.34	6.2	6.64
Gm4724	0.0	0.07	1.53	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.06	12.3	10.3	8.24	0.0	3.4	0.0	12.07	23.92	6.94	0.0	0.1	13.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.34	6.2	6.64
Grm5	0.0	0.0	0.0	34.31	0.0	93.28	36.09	1.23	0.15	0.1	0.37	75.65	54.26	125.67	28.51	72.54	21.58	82.64	30.97	55.13	140.26	26.63	110.48	112.91	0.0	0.08	0.0	0.0	0.0	0.0	49.43	33.88	34.4	25.02
Hsf2	0.0	0.0	0.0	28.8	0.06	109.11	18.99	2.79	17.79	0.0	0.4	40.07	43.78	26.4	25.46	30.92	55.46	17.17	34.92	78.81	52.36	62.35	88.79	35.02	27.44	0.0	0.0	0.0	77.11	0.0	25.77	28.18	0.0	10.38
Idh3a	0.0	0.19	0.0	134.84	0.07	143.22	669.23	212.01	1.05	0.74	4.82	1567.36	1212.4	914.61	598.54	729.64	605.34	896.52	804.09	536.14	667.16	377.22	423.23	43.76	0.0	0.28	0.0	0.0	0.0	0.0	381.37	532.41	636.45	336.81
Iqsec1	4.36	0.0	0.0	32.32	7.5	79.27	19.55	21.74	13.53	1.36	1.15	75.67	69.35	25.13	54.48	32.06	58.51	47.21	40.65	33.06	80.83	39.72	47.43	42.56	0.0	1.21	0.0	0.0	6.1	0.0	130.78	21.91	16.66	23.56
Kitl	0.0	0.0	0.0	0.0	267.03	0.0	113.07	16.69	0.23	0.0	0.19	14.09	19.47	0.0	38.69	6.4	0.0	9.39	82.19	0.0	0.05	0.06	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	38.75	23.04	28.01
Mreg	0.0	0.0	0.0	2.08	0.0	0.0	3.75	0.0	0.0	0.0	0.0	8.26	23.73	3.17	0.0	0.0	16.45	0.0	20.29	6.13	0.1	0.88	11.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ndufv2	156.63	0.0	0.0	435.68	0.22	610.02	625.79	118.1	23.55	0.62	728.27	869.71	1020.73	1031.48	667.35	676.32	1549.73	778.39	494.09	1495.36	1802.89	1166.43	1387.34	1.65	293.44	0.0	0.0	0.0	225.61	0.0	1535.48	273.18	442.37	310.0
Pam	15.92	0.11	0.0	184.35	43.15	289.31	15.81	5.8	0.0	136.27	48.82	96.28	81.28	116.42	20.83	44.14	76.92	51.78	149.95	97.49	131.39	232.31	160.79	27.4	0.0	0.0	0.0	0.0	18.18	0.0	79.03	23.11	22.0	38.8
Pdlim3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	500.44	182.53	0.0	0.0	46.22	0.0	143.04	0.0	59.05	12.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.72	0.09	0.09
Ppm1h	0.24	0.15	0.0	180.79	0.17	267.03	251.32	26.94	1.95	0.14	5.54	301.03	180.28	301.18	152.15	154.41	41.31	266.15	238.15	28.83	46.44	97.34	19.89	1.84	0.56	114.66	317.33	0.0	0.45	242.02	80.39	71.91	75.71	89.96
Psmg4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.73	52.12	50.71	0.0	17.83	0.0	0.0	0.0	38.68	0.0	0.34	0.0	17.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	40.96	24.29
Ptges3	381.17	1585.17	590.33	1107.95	968.87	1244.13	242.15	627.95	588.67	659.06	13.56	1437.08	1346.12	604.4	848.36	945.04	1316.41	882.65	1026.07	1606.54	1430.09	1349.63	1300.37	2.46	876.43	0.34	560.73	34.83	391.71	411.29	1151.61	347.09	230.92	265.56
Rangrf	0.0	0.0	0.0	0.0	0.0	0.0	2.89	0.0	0.0	0.0	0.0	217.64	153.6	94.73	77.17	35.12	96.99	53.69	74.13	0.0	138.89	0.22	94.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	73.03
Rdh13	227.41	0.0	0.0	0.0	0.05	65.81	40.55	3.17	518.0	7.86	0.4	497.47	365.75	333.13	28.42	164.01	123.92	105.82	197.69	17.02	27.56	22.94	43.98	426.42	0.2	12.34	1.35	0.0	0.28	0.0	161.63	28.5	53.35	0.05
Scg2	0.0	0.0	0.0	265.34	0.25	931.42	198.83	21.04	8.13	0.0	250.47	2966.54	1260.03	2524.76	322.36	458.92	280.55	1143.81	1352.69	802.46	319.55	1584.26	802.08	5.77	0.0	0.53	0.0	0.0	0.0	0.0	40.64	549.31	270.99	181.37
Set	109.17	501.06	2.92	673.97	163.52	290.1	394.86	234.68	2.82	0.99	9.02	581.88	810.24	342.95	316.61	451.76	385.92	434.62	474.29	328.34	67.62	205.36	194.34	687.65	363.18	0.25	0.22	68.69	347.12	420.95	160.22	150.36	208.35	239.74
Slc35f3	0.0	0.0	0.12	1.66	0.29	4.79	0.11	0.0	0.0	0.0	0.0	60.08	150.21	56.03	0.0	15.19	0.38	11.65	53.24	0.29	107.3	1.11	1.94	0.44	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	12.55	0.09
Snurf	0.01	0.0	0.0	70.84	14.62	40.97	115.07	25.51	0.53	0.04	2.94	107.46	230.97	288.56	112.63	174.06	103.06	176.99	83.53	119.94	101.5	141.43	95.72	3.01	1.43	0.01	0.01	0.0	0.0	0.0	34.48	39.65	58.07	90.15
