	Ctgf_tdTpositive_cell_3	Sst_tdTpositive_cell_106	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930539J05Rik	0.0	0.0	0.0	9.48	12.7	11.31
4933407C03Rik	0.0	29.73	41.88	170.94	165.8	181.82
5033404E19Rik	0.0	0.0	0.0	0.58	0.96	0.9
5430411K18Rik	0.9	0.04	1.41	20.29	18.73	19.51
9530026F06Rik	0.0	0.41	0.0	1.52	1.53	1.86
Adat3	0.0	0.0	0.5	4.12	5.31	4.5
Agpat3	0.0	2.02	2.68	136.22	137.97	147.24
Aifm3	0.0	0.0	4.97	70.87	73.98	75.26
Aldh1l2	0.0	0.0	1.54	3.07	2.82	3.45
Arhgap29	0.16	0.0	5.74	15.25	12.61	13.94
Atg16l1	0.0	31.55	15.74	49.31	48.42	49.31
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Atxn3	0.0	0.06	7.92	16.35	16.71	16.67
B230209K01Rik	0.0	0.0	0.22	1.7	2.02	2.15
B4galt7	0.0	0.22	11.49	22.85	24.47	27.31
B630019K06Rik	0.0	0.0	1.6	29.13	33.03	30.07
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cbln4	0.0	0.0	0.87	14.34	14.47	15.32
Cdkl2	0.0	0.09	18.09	29.92	27.86	26.47
Cecr5	0.0	0.0	8.45	29.07	29.94	31.01
Chdh	0.0	0.0	0.99	2.76	2.32	2.15
Cnn3	0.0	0.0	0.0	71.84	78.31	72.56
Cntnap1	0.0	16.22	6.09	146.45	139.24	144.43
Coq2	0.0	1.65	8.01	82.05	91.76	88.39
Cyp2u1	0.0	0.0	0.75	6.28	5.0	6.0
Dock7	0.0	6.11	5.11	19.14	18.02	19.98
Dok4	0.0	0.0	2.42	14.66	16.64	12.91
Efna3	0.0	0.0	3.49	71.12	76.72	69.78
Entpd6	0.0	19.14	29.65	50.91	52.94	49.15
Erf	0.0	0.0	0.3	38.32	41.49	35.94
Fam124a	0.0	0.11	3.69	16.6	18.12	18.55
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Ftcd	0.0	0.13	0.42	0.66	0.81	0.71
Ftsj2	0.0	0.25	15.21	14.26	13.3	14.86
Gm13298	0.0	0.17	9.1	17.51	16.53	12.37
Gm14430	0.0	0.0	4.22	7.67	5.07	7.49
Gm14431	0.34	0.0	1.65	8.87	7.17	8.34
Gm14434	0.0	0.0	4.22	7.67	5.07	7.49
Gm16576	0.0	0.0	0.0	0.45	0.68	0.54
Gm4724	0.0	0.0	4.22	7.67	5.07	7.49
Gm8898	0.34	0.0	1.65	8.87	7.17	8.34
Hacl1	0.25	0.0	3.15	5.44	6.21	5.62
Hap1	0.0	0.0	1.75	112.51	131.43	121.78
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hmg20b	0.0	0.0	0.49	18.62	23.12	22.34
Homer2	0.14	0.03	1.6	19.88	19.26	21.72
Hook2	0.0	0.0	1.99	14.98	15.85	14.02
Hsd17b7	0.23	0.0	13.7	16.8	15.36	15.83
Ints5	0.0	0.0	3.15	17.06	18.81	15.83
Kctd10	0.0	0.11	12.8	45.34	45.15	41.67
Kdm6b	0.0	8.26	10.44	17.07	15.97	13.26
Klc2	0.0	10.38	6.43	196.16	207.95	205.42
Kpna4	13.79	0.0	21.05	58.6	57.09	56.33
Limk2	0.0	0.23	8.51	57.26	55.73	52.28
Lrp10	0.0	0.0	0.46	18.03	22.06	21.75
Mblac1	0.0	0.0	1.09	4.14	5.92	6.56
Mcat	0.0	0.0	4.07	18.77	20.14	19.87
Mex3a	0.07	0.0	0.24	2.15	2.48	2.14
Mkrn1	0.0	0.0	39.68	102.18	106.45	102.49
Mpzl2	0.38	0.0	0.0	1.55	2.17	1.26
Ndnl2	0.0	0.0	5.61	37.88	42.12	41.26
Nek6	0.0	0.06	4.04	19.46	22.32	19.56
Nfe2l3	0.0	0.0	3.69	4.15	4.68	4.25
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nol6	0.0	0.0	10.45	71.62	76.65	71.89
Npnt	0.0	0.09	0.47	16.04	17.87	16.6
Ormdl3	0.0	0.0	4.32	55.18	59.41	54.34
Otud1	0.0	0.83	5.09	27.69	27.04	25.24
Parp12	0.0	0.0	0.0	6.89	7.28	6.96
Parp8	0.0	0.0	2.8	16.76	16.19	16.46
Pcm1	0.05	10.95	15.48	35.87	28.05	34.56
Pde3b	0.0	0.0	2.6	7.08	5.78	6.78
Pdxdc1	5.29	1.16	39.54	77.77	73.56	80.44
Phip	0.0	0.03	8.95	15.73	12.23	16.44
Plag1	0.08	0.35	1.86	2.69	2.08	2.71
Plxnb2	0.0	0.0	0.91	24.32	26.83	26.91
Prrt2	0.0	5.89	91.96	264.19	282.46	274.77
Pycr2	0.0	0.0	8.16	29.29	31.46	30.59
Qtrt1	0.0	0.27	39.82	16.68	16.92	15.02
Rabep2	0.0	0.0	2.88	9.77	11.34	10.72
Rara	0.0	0.0	0.11	7.44	8.33	7.77
Rcl1	0.0	0.0	13.63	18.35	20.3	15.53
Rela	0.0	0.26	6.28	18.69	20.45	18.76
Rif1	0.0	0.04	2.62	10.09	7.03	9.28
Rnaset2b	0.0	0.0	4.63	18.72	21.85	27.23
Rnf141	0.0	0.0	32.31	52.12	46.2	57.54
Rxra	0.0	7.8	1.44	14.03	15.47	15.08
Setd2	0.05	0.12	11.07	28.44	23.75	28.97
Sez6	0.0	0.08	41.01	153.01	159.71	158.47
Sh3yl1	0.0	0.0	7.49	10.54	11.28	11.53
Shisa6	0.0	0.0	0.09	13.03	11.8	13.47
Slc9a1	0.0	0.08	0.52	33.34	33.99	36.04
Spdef	0.0	0.0	0.0	0.16	0.31	0.22
Stk19	0.0	0.0	39.65	39.39	42.36	41.6
Tbl2	0.0	0.08	2.15	16.84	16.74	16.2
Tgfa	0.0	0.0	0.73	24.02	24.04	24.52
Tmem134	0.0	0.0	3.85	28.74	31.09	31.77
Tob2	0.0	0.0	4.66	22.9	23.09	15.82
Trim3	0.0	0.0	18.89	93.7	101.21	96.21
Trim62	0.0	0.11	0.43	17.43	19.99	16.33
Ubtd1	0.0	0.0	0.0	11.82	12.31	14.9
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Ydjc	0.0	0.0	0.81	25.72	30.3	28.23
Yy1	0.0	0.0	4.35	46.68	50.96	49.38
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	26.94	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
