	Gad2_tdTpositive_cell_77	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTpositive_cell_79	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_42	Rbp4_tdTpositive_cell_175	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_7	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22
1700029F12Rik	0.0	8.25	0.0	0.0	0.0	12.09	1.14	1.15	0.0	0.0	0.0
2810049E08Rik	0.0	25.43	1.9	3.04	2.53	26.01	0.0	0.0	0.84	0.0	0.0
4921515E04Rik	4.27	133.08	83.46	10.21	4.21	216.14	18.22	8.52	12.81	8.47	0.0
4930451C15Rik	15.49	126.87	80.38	25.35	32.71	213.34	19.6	29.0	3.66	5.13	8.68
5730577I03Rik	13.7	315.07	190.52	29.86	63.83	397.15	87.2	42.23	9.78	17.79	8.45
6030408B16Rik	5.88	137.6	17.8	38.49	9.88	207.21	8.29	22.02	6.15	0.28	0.18
A630075F10Rik	4.83	74.35	46.73	29.76	18.3	179.33	13.96	14.7	13.84	3.99	0.0
A630089N07Rik	265.93	3936.75	1778.04	222.41	475.1	5145.26	812.89	734.37	103.13	168.13	65.9
A730017L22Rik	212.33	620.72	352.99	74.2	90.41	740.9	80.85	77.9	14.15	28.43	3.85
AU023762	5.1	55.52	22.61	6.87	8.5	81.53	21.4	4.04	2.39	8.83	1.57
AW549542	0.24	2.08	0.0	0.23	0.79	4.41	0.81	0.0	0.0	0.0	0.0
Adam28	1.5	26.0	10.04	1.53	1.57	35.08	7.82	3.77	0.26	0.11	0.0
Ahi1	0.0	688.94	626.93	0.0	0.0	687.66	0.23	4.65	0.0	0.0	443.81
Amy2a2	0.07	0.5	1.91	0.02	0.03	1.87	0.19	0.0	0.0	0.04	0.0
Amy2a3	0.07	0.5	1.91	0.02	0.03	1.87	0.19	0.0	0.0	0.04	0.0
Amy2a4	0.07	0.5	1.91	0.02	0.03	1.87	0.19	0.0	0.0	0.04	0.0
B020004C17Rik	0.5	2.13	1.35	0.0	0.0	3.65	0.0	0.0	0.28	0.0	0.0
B020014A21Rik	8.38	87.16	79.07	10.56	11.34	167.12	17.03	14.24	7.27	5.67	2.33
BC031361	0.2	2.34	0.4	0.71	1.03	3.97	0.44	0.22	0.0	0.0	0.0
Brip1	3.98	53.46	20.17	6.16	11.69	78.81	18.96	7.94	1.85	6.77	1.44
Cbln3	0.95	7.69	3.01	2.48	1.94	10.25	1.96	2.94	0.24	0.22	0.15
Ccdc82	91.22	920.55	381.39	98.01	152.97	1444.03	128.22	120.96	48.04	63.38	8.86
Celf2	18.1	149.44	188.88	0.08	26.58	436.0	0.37	26.7	0.0	0.0	8.54
Cep63	0.0	302.87	272.11	0.0	0.0	288.12	1.26	0.0	145.65	0.0	0.0
Cx3cr1	0.69	10.98	6.89	0.8	1.39	13.34	0.23	0.0	0.0	0.22	0.12
Cxcr2	41.74	249.97	191.91	51.74	50.43	465.16	44.92	32.81	2.97	78.25	27.61
Dtx3l	0.89	4.08	4.27	0.31	0.56	7.32	2.8	0.41	0.2	0.24	0.47
