	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_24	Cux2_tdTpositive_cell_70	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Rbp4_CTX_250ng_2
1110008L16Rik	0.0	0.0	0.0	0.0	0.0	164.45	0.0	0.0	0.0	0.15	0.0	7.82	0.0	8.53	0.0	5.99	1.48	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	4.84
1200011I18Rik	1.54	0.75	1.12	2.07	84.77	52.63	1.1	1.45	22.82	54.12	1.38	4.41	4.82	1.79	2.14	1.87	6.01	14.07	6.0	7.86	6.44	3.85	6.11	2.7	1.77	23.85
1810027O10Rik	0.0	1306.58	0.0	0.0	463.71	592.4	0.0	0.0	132.05	581.24	509.88	112.17	355.73	389.28	300.98	591.43	139.39	385.01	0.0	0.0	2.01	1001.65	0.0	161.25	0.0	83.1
1810031K17Rik	0.0	167.49	0.0	0.0	55.35	140.89	0.0	0.0	0.0	0.0	27.35	0.14	20.25	9.96	80.57	0.25	0.0	0.0	877.64	1.07	0.28	0.0	0.0	0.55	0.0	21.79
2210408F21Rik	0.0	0.0	0.0	0.0	27.26	59.19	0.0	0.0	0.0	24.91	92.0	0.0	58.83	28.01	0.0	0.0	0.0	31.32	0.0	0.0	0.0	0.0	0.0	54.27	0.0	20.68
2310045N01Rik	0.0	0.0	0.0	0.0	183.42	121.35	0.0	0.0	51.66	106.58	44.38	102.12	0.0	48.05	52.59	130.5	147.16	126.74	172.19	1.31	0.0	0.0	0.0	53.13	0.0	32.74
2410089E03Rik	0.0	0.0	0.0	62.97	29.56	25.99	0.0	0.0	10.31	1.86	10.2	7.15	1.75	6.6	17.65	2.88	6.89	48.57	0.03	96.71	0.0	1.34	0.0	6.09	107.26	20.01
4930500J02Rik	0.0	1.36	0.0	0.89	0.0	1.48	0.0	0.0	1.31	1.11	0.41	0.0	0.93	1.57	1.91	0.82	0.53	0.4	9.62	9.65	0.0	0.0	1.37	0.83	0.0	1.97
4933404O12Rik	0.44	0.68	0.35	1.15	109.1	16.56	0.32	0.27	0.88	1.1	0.78	0.87	0.55	1.28	1.56	1.01	1.05	0.57	1.88	3.09	1.77	0.75	1.21	0.57	1.03	9.87
AI414108	0.1	0.0	0.0	0.0	54.7	119.28	0.0	0.0	32.58	2.69	27.78	0.53	7.85	6.76	15.07	47.04	7.3	0.07	0.0	0.3	0.15	0.0	0.0	0.24	0.08	32.14
