	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_2	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_5	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_29	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810026J23Rik	0.0	0.0	642.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.11	51.84	46.45
1810063B05Rik	0.0	0.0	899.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	36.74	37.64	36.54
Acss3	0.0	0.0	278.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.65	1.06
Adam6b	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agbl2	0.0	0.0	680.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	0.88	1.14
Alx3	0.0	0.89	368.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.75	0.6
Amotl2	0.66	0.0	259.13	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	13.61	15.01	13.33
Anpep	0.0	0.0	195.94	0.0	0.69	165.15	0.0	0.0	229.42	0.0	0.0	0.0	0.0	2.41	2.92	2.91
Antxr2	0.0	0.0	609.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	1.36	1.33
Arhgap29	695.91	0.16	828.37	0.0	553.17	293.34	0.0	0.0	188.48	0.0	6.98	0.0	0.0	15.25	12.61	13.94
Ascc2	0.0	0.0	1103.68	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	18.34	16.82	17.46
Atpbd4	41.94	0.31	788.64	1.26	583.14	0.96	0.76	0.2	1.08	1.12	433.18	0.96	0.32	19.08	18.76	16.64
Axin2	0.0	0.0	214.51	0.0	68.98	17.68	0.0	0.0	0.0	3.61	0.0	0.0	0.0	17.5	16.6	15.16
Bfsp1	0.0	0.0	293.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.71	0.77
C1qtnf7	0.0	0.0	1137.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	1.26	1.46
